,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,0.01,50,90,1,0.7904,0.7936507936507936,0.7,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.8253968253968254,0.8095238095238095,0.8095238095238095,0.7777777777777778,0.8032786885245902,0.0331635600763195,0.00093841552734375,0.10049176216125488,0.002424955368041992,ITML+kNN,balance-scale
1,,0.01,50,180,1,0.7952,0.8412698412698413,0.8,0.8253968253968254,0.8095238095238095,0.7936507936507936,0.7619047619047619,0.7777777777777778,0.8095238095238095,0.7142857142857143,0.819672131147541,0.034681513900330634,0.00093841552734375,0.15490269660949707,0.0024285316467285156,ITML+kNN,balance-scale
2,,0.01,50,360,1,0.7872,0.8095238095238095,0.7166666666666667,0.7777777777777778,0.7777777777777778,0.8095238095238095,0.7777777777777778,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.819672131147541,0.0281436169586385,0.00093841552734375,0.477658748626709,0.002404928207397461,ITML+kNN,balance-scale
3,,0.01,50,720,1,0.7984,0.746031746031746,0.8166666666666667,0.7619047619047619,0.8095238095238095,0.8412698412698413,0.8571428571428571,0.7777777777777778,0.7936507936507936,0.7936507936507936,0.7868852459016393,0.03228504814086528,0.00093841552734375,0.997408390045166,0.0024323463439941406,ITML+kNN,balance-scale
4,,0.01,250,90,1,0.768,0.8412698412698413,0.7,0.7777777777777778,0.8095238095238095,0.7777777777777778,0.746031746031746,0.746031746031746,0.7777777777777778,0.7777777777777778,0.7213114754098361,0.03904089490255458,0.00093841552734375,0.08419489860534668,0.002726316452026367,ITML+kNN,balance-scale
5,,0.01,250,180,1,0.7744,0.746031746031746,0.7333333333333333,0.746031746031746,0.7936507936507936,0.8412698412698413,0.8095238095238095,0.7777777777777778,0.8095238095238095,0.7619047619047619,0.7213114754098361,0.036864787640390584,0.00093841552734375,0.16770434379577637,0.0023899078369140625,ITML+kNN,balance-scale
6,,0.01,250,360,1,0.76,0.7936507936507936,0.7166666666666667,0.746031746031746,0.7777777777777778,0.7936507936507936,0.7619047619047619,0.7619047619047619,0.746031746031746,0.7142857142857143,0.7868852459016393,0.027692102517269182,0.00093841552734375,0.30347609519958496,0.0023987293243408203,ITML+kNN,balance-scale
7,,0.01,250,720,1,0.784,0.7619047619047619,0.7166666666666667,0.746031746031746,0.7936507936507936,0.8412698412698413,0.8412698412698413,0.7777777777777778,0.8095238095238095,0.7301587301587301,0.819672131147541,0.04239989028788363,0.00093841552734375,0.9068028926849365,0.0024449825286865234,ITML+kNN,balance-scale
8,,0.01,500,90,1,0.7728,0.7936507936507936,0.75,0.7777777777777778,0.7777777777777778,0.8095238095238095,0.7936507936507936,0.7777777777777778,0.7301587301587301,0.7301587301587301,0.7868852459016393,0.025782229065004224,0.00093841552734375,0.09499835968017578,0.0024261474609375,ITML+kNN,balance-scale
9,,0.01,500,180,1,0.7936,0.8253968253968254,0.7333333333333333,0.8253968253968254,0.7777777777777778,0.7777777777777778,0.8253968253968254,0.8095238095238095,0.8253968253968254,0.746031746031746,0.7868852459016393,0.03276790028143567,0.00093841552734375,0.11162662506103516,0.0024271011352539062,ITML+kNN,balance-scale
10,,0.01,500,360,1,0.7888,0.7777777777777778,0.75,0.7777777777777778,0.7777777777777778,0.7936507936507936,0.8412698412698413,0.8095238095238095,0.7619047619047619,0.8095238095238095,0.7868852459016393,0.024964236553447604,0.00093841552734375,0.3803369998931885,0.0024518966674804688,ITML+kNN,balance-scale
11,,0.01,500,720,1,0.784,0.7936507936507936,0.7166666666666667,0.7777777777777778,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7936507936507936,0.7777777777777778,0.7619047619047619,0.7868852459016393,0.02692105884179818,0.00093841552734375,0.7826056480407715,0.002405881881713867,ITML+kNN,balance-scale
12,,0.01,1000,90,1,0.792,0.7777777777777778,0.8166666666666667,0.7777777777777778,0.8095238095238095,0.7936507936507936,0.8412698412698413,0.7936507936507936,0.746031746031746,0.7936507936507936,0.7704918032786885,0.025162318820771738,0.00093841552734375,0.1157376766204834,0.002431631088256836,ITML+kNN,balance-scale
13,,0.01,1000,180,1,0.7904,0.7936507936507936,0.7166666666666667,0.8412698412698413,0.8253968253968254,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8253968253968254,0.7619047619047619,0.8032786885245902,0.034553301897113746,0.00093841552734375,0.2168712615966797,0.002391815185546875,ITML+kNN,balance-scale
14,,0.01,1000,360,1,0.7856,0.8095238095238095,0.7,0.8095238095238095,0.8095238095238095,0.8412698412698413,0.7936507936507936,0.7777777777777778,0.8412698412698413,0.7936507936507936,0.6721311475409836,0.05320034857956879,0.00093841552734375,0.3020052909851074,0.0024137496948242188,ITML+kNN,balance-scale
15,,0.01,1000,720,1,0.784,0.8253968253968254,0.7,0.7619047619047619,0.7777777777777778,0.7777777777777778,0.7936507936507936,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.819672131147541,0.03534299721795753,0.00093841552734375,0.7188742160797119,0.002005338668823242,ITML+kNN,balance-scale
16,,0.1,50,90,1,0.784,0.7777777777777778,0.7833333333333333,0.7619047619047619,0.7936507936507936,0.8253968253968254,0.746031746031746,0.7777777777777778,0.746031746031746,0.8095238095238095,0.819672131147541,0.02679539572037557,0.00093841552734375,0.17206954956054688,0.0010330677032470703,ITML+kNN,balance-scale
17,,0.1,50,180,1,0.776,0.7301587301587301,0.7666666666666667,0.7619047619047619,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.7619047619047619,0.7936507936507936,0.746031746031746,0.819672131147541,0.026723125736309424,0.00093841552734375,0.37613368034362793,0.0010411739349365234,ITML+kNN,balance-scale
18,,0.1,50,360,1,0.7456,0.7777777777777778,0.7833333333333333,0.8095238095238095,0.7619047619047619,0.7936507936507936,0.7777777777777778,0.7777777777777778,0.38095238095238093,0.7777777777777778,0.819672131147541,0.12275148278664243,0.00093841552734375,0.7151534557342529,0.0010325908660888672,ITML+kNN,balance-scale
19,,0.1,50,720,1,0.7664,0.746031746031746,0.6833333333333333,0.746031746031746,0.8253968253968254,0.7936507936507936,0.8095238095238095,0.746031746031746,0.7777777777777778,0.7777777777777778,0.7540983606557377,0.038256910055638145,0.00093841552734375,1.9426863193511963,0.001279592514038086,ITML+kNN,balance-scale
20,,0.1,250,90,1,0.7824,0.7777777777777778,0.7,0.8095238095238095,0.8412698412698413,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.8412698412698413,0.6984126984126984,0.7704918032786885,0.04695924282269887,0.00093841552734375,0.05630636215209961,0.0010437965393066406,ITML+kNN,balance-scale
21,,0.1,250,180,1,0.7872,0.8253968253968254,0.7333333333333333,0.7619047619047619,0.8253968253968254,0.7936507936507936,0.8412698412698413,0.7936507936507936,0.8095238095238095,0.7142857142857143,0.7704918032786885,0.03944526100920079,0.00093841552734375,0.2341325283050537,0.0010404586791992188,ITML+kNN,balance-scale
22,,0.1,250,360,1,0.7808,0.7777777777777778,0.6833333333333333,0.7936507936507936,0.8412698412698413,0.746031746031746,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.8095238095238095,0.7704918032786885,0.03995464585649779,0.00093841552734375,0.8460149765014648,0.0010433197021484375,ITML+kNN,balance-scale
23,,0.1,250,720,1,0.7776,0.7936507936507936,0.7,0.8095238095238095,0.8095238095238095,0.8253968253968254,0.8095238095238095,0.7619047619047619,0.8571428571428571,0.7301587301587301,0.6721311475409836,0.05618194715042836,0.00093841552734375,4.019976615905762,0.001031637191772461,ITML+kNN,balance-scale
24,,0.1,500,90,1,0.7888,0.7777777777777778,0.7333333333333333,0.8095238095238095,0.7777777777777778,0.8412698412698413,0.8095238095238095,0.8095238095238095,0.7777777777777778,0.8095238095238095,0.7377049180327869,0.0324359344319915,0.00093841552734375,0.11922192573547363,0.0010259151458740234,ITML+kNN,balance-scale
25,,0.1,500,180,1,0.8016,0.7936507936507936,0.8,0.7936507936507936,0.8253968253968254,0.7936507936507936,0.8253968253968254,0.7777777777777778,0.8253968253968254,0.7936507936507936,0.7868852459016393,0.016547443798808827,0.00093841552734375,0.40292882919311523,0.001035928726196289,ITML+kNN,balance-scale
26,,0.1,500,360,1,0.7792,0.8253968253968254,0.6833333333333333,0.746031746031746,0.8253968253968254,0.8253968253968254,0.8571428571428571,0.7619047619047619,0.7777777777777778,0.7619047619047619,0.7213114754098361,0.05168687916458525,0.00093841552734375,0.7165207862854004,0.0010178089141845703,ITML+kNN,balance-scale
27,,0.1,500,720,1,0.7792,0.7619047619047619,0.7666666666666667,0.7936507936507936,0.8412698412698413,0.7936507936507936,0.746031746031746,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.7049180327868853,0.0353185190570425,0.00093841552734375,3.639421224594116,0.0010399818420410156,ITML+kNN,balance-scale
28,,0.1,1000,90,1,0.7792,0.7619047619047619,0.65,0.7936507936507936,0.7777777777777778,0.8412698412698413,0.8095238095238095,0.7936507936507936,0.8412698412698413,0.7619047619047619,0.7540983606557377,0.05192368535165771,0.00093841552734375,0.05104565620422363,0.0010380744934082031,ITML+kNN,balance-scale
29,,0.1,1000,180,1,0.8016,0.7936507936507936,0.8,0.8253968253968254,0.8571428571428571,0.8095238095238095,0.8253968253968254,0.8095238095238095,0.8253968253968254,0.746031746031746,0.7213114754098361,0.038090140486986154,0.00093841552734375,0.36212801933288574,0.0021021366119384766,ITML+kNN,balance-scale
30,,0.1,1000,360,1,0.7952,0.8253968253968254,0.8333333333333334,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.7936507936507936,0.8095238095238095,0.7936507936507936,0.7936507936507936,0.7213114754098361,0.030914030684518902,0.00093841552734375,0.7452213764190674,0.0010771751403808594,ITML+kNN,balance-scale
31,,0.1,1000,720,1,0.7648,0.7619047619047619,0.6833333333333333,0.746031746031746,0.7936507936507936,0.7936507936507936,0.7777777777777778,0.746031746031746,0.8253968253968254,0.7619047619047619,0.7540983606557377,0.03602215548285658,0.00093841552734375,3.974055051803589,0.0010755062103271484,ITML+kNN,balance-scale
32,,1.0,50,90,1,0.784,0.8253968253968254,0.75,0.746031746031746,0.7936507936507936,0.7777777777777778,0.8095238095238095,0.7777777777777778,0.8253968253968254,0.7936507936507936,0.7377049180327869,0.030137079802406257,0.00093841552734375,0.35234808921813965,0.0010521411895751953,ITML+kNN,balance-scale
33,,1.0,50,180,1,0.7024,0.8095238095238095,0.7166666666666667,0.746031746031746,0.4126984126984127,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.42857142857142855,0.7142857142857143,0.819672131147541,0.14538365822202012,0.00093841552734375,0.6351780891418457,0.001043558120727539,ITML+kNN,balance-scale
34,,1.0,50,360,1,0.6752,0.49206349206349204,0.6666666666666666,0.7301587301587301,0.8253968253968254,0.7936507936507936,0.4603174603174603,0.7777777777777778,0.8095238095238095,0.7301587301587301,0.45901639344262296,0.14061012013183863,0.00093841552734375,1.198349952697754,0.0010404586791992188,ITML+kNN,balance-scale
35,,1.0,50,720,1,0.432,0.4603174603174603,0.5166666666666667,0.3333333333333333,0.36507936507936506,0.4126984126984127,0.4603174603174603,0.42857142857142855,0.4603174603174603,0.3968253968253968,0.4918032786885246,0.05383496729200543,0.00093841552734375,2.1637771129608154,0.0010387897491455078,ITML+kNN,balance-scale
