,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,1,weighted,0.8768,0.8888888888888888,0.8666666666666667,0.9047619047619048,0.8412698412698413,0.8253968253968254,0.8888888888888888,0.8888888888888888,0.873015873015873,0.9523809523809523,0.8360655737704918,0.03551539519021878,0.0044392824172973635,0.3032111883163452,0.0007300376892089844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,balance-scale
1,,1,1,orthonormalized,0.7984,0.7777777777777778,0.8,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.8360655737704918,0.020300393309695602,0.008878564834594727,0.39295597076416017,0.0013942956924438477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,balance-scale
2,,1,2,weighted,0.8896,0.9206349206349206,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.9206349206349206,0.9206349206349206,0.8888888888888888,0.8412698412698413,0.8888888888888888,0.8688524590163934,0.0248664786198545,0.01331784725189209,0.4591719150543213,0.0020586490631103516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,balance-scale
3,,1,2,orthonormalized,0.7872,0.7936507936507936,0.7833333333333333,0.8571428571428571,0.8095238095238095,0.746031746031746,0.8253968253968254,0.7936507936507936,0.7619047619047619,0.7619047619047619,0.7377049180327869,0.03517315463180508,0.017757129669189454,0.49257218837738037,0.0027166366577148437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,balance-scale
4,,1,3,weighted,0.8912,0.9047619047619048,0.9,0.8888888888888888,0.9365079365079365,0.873015873015873,0.873015873015873,0.8888888888888888,0.8571428571428571,0.9523809523809523,0.8360655737704918,0.03305874685353894,0.022196412086486816,0.52934730052948,0.0033895492553710936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,balance-scale
5,,1,3,orthonormalized,0.776,0.8571428571428571,0.65,0.746031746031746,0.8095238095238095,0.8095238095238095,0.8412698412698413,0.7777777777777778,0.7936507936507936,0.7301587301587301,0.7377049180327869,0.05808919260708025,0.02663569450378418,0.6048789262771607,0.004046583175659179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,balance-scale
6,,2,1,weighted,0.8736,0.9047619047619048,0.8666666666666667,0.8571428571428571,0.8412698412698413,0.8253968253968254,0.8888888888888888,0.8888888888888888,0.873015873015873,0.9365079365079365,0.8524590163934426,0.030872073189643023,0.03107497692108154,0.9080901145935059,0.004707837104797363,0.9397333333333333,0.9306049822064056,0.9415929203539823,0.9430604982206405,0.9288256227758007,0.9483985765124555,0.9537366548042705,0.9252669039145908,0.9359430604982206,0.9448398576512456,0.9450354609929078,0.008751258762327881,LFDA+kNN,balance-scale
7,,2,1,orthonormalized,0.7328,0.7619047619047619,0.7166666666666667,0.6666666666666666,0.7936507936507936,0.7619047619047619,0.7619047619047619,0.746031746031746,0.6984126984126984,0.6666666666666666,0.7540983606557377,0.04130712470764513,0.03551425933837891,0.9978348970413208,0.005358982086181641,0.8915555555555555,0.8861209964412812,0.911504424778761,0.8754448398576512,0.9181494661921709,0.8576512455516014,0.891459074733096,0.8896797153024911,0.895017793594306,0.8896797153024911,0.900709219858156,0.016268395392678013,LFDA+kNN,balance-scale
8,,2,2,weighted,0.8832,0.8888888888888888,0.85,0.9047619047619048,0.9047619047619048,0.873015873015873,0.8571428571428571,0.9206349206349206,0.8888888888888888,0.873015873015873,0.8688524590163934,0.021424323739140202,0.03995354175567627,1.064050841331482,0.006022047996520996,0.9441777777777778,0.9483985765124555,0.95929203539823,0.9519572953736655,0.9341637010676157,0.9519572953736655,0.9537366548042705,0.9306049822064056,0.9377224199288257,0.9217081850533808,0.9521276595744681,0.011631534854230519,LFDA+kNN,balance-scale
9,,2,2,orthonormalized,0.7376,0.7619047619047619,0.65,0.7936507936507936,0.8095238095238095,0.6984126984126984,0.746031746031746,0.7936507936507936,0.7301587301587301,0.7142857142857143,0.6721311475409836,0.05119456100381633,0.04439282417297363,1.097451114654541,0.006678056716918945,0.8967111111111111,0.8879003558718861,0.9185840707964602,0.8843416370106761,0.895017793594306,0.896797153024911,0.8772241992882562,0.900355871886121,0.9039145907473309,0.8861209964412812,0.9166666666666666,0.012912086287165827,LFDA+kNN,balance-scale
