,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033679962158203124,0.03258769512176514,0.0033694028854370115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,balance-scale
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006735992431640625,0.041838216781616214,0.004705023765563965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,balance-scale
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010103988647460937,0.0583078145980835,0.0060008525848388675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,balance-scale
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01347198486328125,0.14642415046691895,0.007318544387817383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,balance-scale
4,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016839981079101562,0.19112250804901124,0.007318544387817383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,balance-scale
5,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.7792,2,10,0.8095238095238095,0.8333333333333334,0.873015873015873,0.873015873015873,0.7619047619047619,0.873015873015873,0.6349206349206349,0.8095238095238095,0.6666666666666666,0.6557377049180327,0.08955216835807846,0.020207977294921874,0.19509966373443605,0.00885770320892334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,balance-scale
6,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.8112,2,50,0.873015873015873,0.65,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.9047619047619048,0.8095238095238095,0.8571428571428571,0.8888888888888888,0.7377049180327869,0.08787063012845263,0.023575973510742188,0.20604968070983887,0.01033031940460205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,balance-scale
7,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.7808,2,100,0.8253968253968254,0.6666666666666666,0.873015873015873,0.6507936507936508,0.873015873015873,0.8888888888888888,0.7619047619047619,0.6984126984126984,0.7777777777777778,0.7868852459016393,0.0823382060583081,0.0269439697265625,0.23118195533752442,0.011814570426940918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,balance-scale
8,Cascading:Unable to make 500 chunks of 2 examples each,1,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030311965942382814,0.2593082427978516,0.011814570426940918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,balance-scale
9,Cascading:Unable to make 1000 chunks of 2 examples each,1,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033679962158203125,0.28094327449798584,0.011814570426940918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,balance-scale
