,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.7904,0.7777777777777778,0.7,0.7936507936507936,0.7936507936507936,0.746031746031746,0.7936507936507936,0.7777777777777778,0.8253968253968254,0.8888888888888888,0.8032786885245902,0.1,10000,0.01,True,0.0464545237316745,0.004176807403564453,0.7800538539886475,0.0008657932281494141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
1,,1,0.7712,0.7777777777777778,0.6833333333333333,0.7777777777777778,0.7777777777777778,0.8095238095238095,0.746031746031746,0.746031746031746,0.8253968253968254,0.8253968253968254,0.7377049180327869,0.1,10000,0.01,False,0.041928161991792466,0.008353614807128906,1.2045270204544067,0.001634526252746582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
2,,1,0.76,0.7619047619047619,0.7,0.8095238095238095,0.7777777777777778,0.746031746031746,0.7777777777777778,0.7619047619047619,0.7936507936507936,0.7777777777777778,0.6885245901639344,0.1,10000,0.05,True,0.03666279659408294,0.01253042221069336,1.63300461769104,0.0023739099502563476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
3,,1,0.7792,0.7619047619047619,0.7166666666666667,0.7619047619047619,0.8095238095238095,0.746031746031746,0.8095238095238095,0.7619047619047619,0.8253968253968254,0.8412698412698413,0.7540983606557377,0.1,10000,0.05,False,0.03789785329941844,0.016707229614257812,2.004437065124512,0.003098583221435547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
4,,1,0.792,0.7936507936507936,0.75,0.7619047619047619,0.8253968253968254,0.8571428571428571,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.7868852459016393,0.1,10000,0.1,True,0.03237699166878141,0.020884037017822266,2.3749419927597044,0.003822469711303711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
5,,1,0.7808,0.8095238095238095,0.7333333333333333,0.746031746031746,0.8095238095238095,0.7777777777777778,0.8412698412698413,0.7936507936507936,0.8095238095238095,0.7142857142857143,0.7704918032786885,0.1,10000,0.1,False,0.03781230703496013,0.02506084442138672,2.745366621017456,0.004733657836914063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
6,,1,0.768,0.8095238095238095,0.8166666666666667,0.7142857142857143,0.7777777777777778,0.7619047619047619,0.7777777777777778,0.7619047619047619,0.7936507936507936,0.7301587301587301,0.7377049180327869,0.1,10000,0.25,True,0.032017093149015144,0.029237651824951173,3.1142536640167235,0.006304812431335449,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.797153024911032,0.7777777777777778,0.7,0.7777777777777778,0.0,0.8412698412698413,0.8095238095238095,0.7936507936507936,0.8253968253968254,0.8095238095238095,0.8360655737704918,0.1,10000,0.25,False,0.24210161299957966,0.033414459228515624,3.48674955368042,0.007708287239074707,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.30000000000000004,SDML+kNN,balance-scale
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7792,0.7777777777777778,0.6833333333333333,0.7619047619047619,0.7777777777777778,0.7936507936507936,0.8095238095238095,0.8095238095238095,0.7777777777777778,0.7777777777777778,0.819672131147541,0.1,100000,0.01,True,0.03630763498728912,0.03759126663208008,9.451358675956726,0.00926504135131836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.784,0.8095238095238095,0.7166666666666667,0.746031746031746,0.8253968253968254,0.7777777777777778,0.8412698412698413,0.7936507936507936,0.7301587301587301,0.7142857142857143,0.8852459016393442,0.1,100000,0.01,False,0.05455448033178171,0.04176807403564453,15.45393795967102,0.010808062553405762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
10,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7664,0.7777777777777778,0.6833333333333333,0.7619047619047619,0.7936507936507936,0.7619047619047619,0.7619047619047619,0.7777777777777778,0.7936507936507936,0.7777777777777778,0.7704918032786885,0.1,100000,0.05,True,0.029748184629118386,0.04594488143920898,21.428456377983093,0.012360596656799316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
11,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7952,0.7936507936507936,0.7833333333333333,0.8253968253968254,0.8095238095238095,0.7777777777777778,0.8412698412698413,0.7777777777777778,0.8253968253968254,0.746031746031746,0.7704918032786885,0.1,100000,0.05,False,0.02815921496049214,0.05012168884277344,27.35232033729553,0.013898587226867676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
12,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7824,0.7777777777777778,0.7166666666666667,0.7936507936507936,0.7936507936507936,0.7619047619047619,0.7777777777777778,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.819672131147541,0.1,100000,0.1,True,0.028839393319613004,0.05429849624633789,33.28282573223114,0.01544642448425293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
13,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7792,0.8095238095238095,0.6666666666666666,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.8095238095238095,0.7936507936507936,0.7936507936507936,0.7301587301587301,0.8032786885245902,0.1,100000,0.1,False,0.04476759938463629,0.058475303649902347,39.1814466714859,0.017002296447753907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
14,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7776,0.7936507936507936,0.7166666666666667,0.7777777777777778,0.8253968253968254,0.7777777777777778,0.7619047619047619,0.7777777777777778,0.7936507936507936,0.7301587301587301,0.819672131147541,0.1,100000,0.25,True,0.03283228894783646,0.0626521110534668,45.09928834438324,0.018561673164367676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
15,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7872,0.7619047619047619,0.6833333333333333,0.7619047619047619,0.8412698412698413,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7936507936507936,0.7142857142857143,0.8852459016393442,0.1,100000,0.25,False,0.05608685782279911,0.06682891845703125,51.03662109375,0.02010312080383301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
16,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7888,0.7777777777777778,0.7666666666666667,0.7301587301587301,0.8412698412698413,0.8571428571428571,0.7777777777777778,0.7619047619047619,0.8253968253968254,0.7936507936507936,0.7540983606557377,0.25,10000,0.01,True,0.0385816573943368,0.0710057258605957,51.404884457588196,0.021668267250061036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
17,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.768,0.746031746031746,0.6666666666666666,0.7619047619047619,0.7777777777777778,0.7619047619047619,0.8412698412698413,0.7619047619047619,0.8253968253968254,0.7777777777777778,0.7540983606557377,0.25,10000,0.01,False,0.04461732985614143,0.07518253326416016,51.78816258907318,0.023001646995544432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
18,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.792,0.746031746031746,0.7,0.8095238095238095,0.7777777777777778,0.8888888888888888,0.8095238095238095,0.8412698412698413,0.7936507936507936,0.7936507936507936,0.7540983606557377,0.25,10000,0.05,True,0.04964610762784701,0.07935934066772461,52.17231330871582,0.02366499900817871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SDML+kNN,balance-scale
