,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.01,50,90,1,0.7808,0.8253968253968254,0.6833333333333333,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.8412698412698413,0.7936507936507936,0.746031746031746,0.746031746031746,0.8360655737704918,0.04724468549240838,0.0048778772354125975,0.48030819892883303,0.0018487215042114259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,balance-scale
1,,0.01,50,180,1,0.7824,0.7301587301587301,0.6833333333333333,0.7777777777777778,0.8095238095238095,0.8095238095238095,0.7936507936507936,0.7936507936507936,0.8412698412698413,0.7777777777777778,0.8032786885245902,0.04267385760453343,0.009755754470825195,0.8831800699234009,0.0034987211227416994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,balance-scale
2,,0.01,50,360,1,0.7952,0.8253968253968254,0.7666666666666667,0.8095238095238095,0.8253968253968254,0.7936507936507936,0.8253968253968254,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.7704918032786885,0.026056900106818763,0.014633631706237793,1.5302586555480957,0.0050858259201049805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,balance-scale
3,,0.01,50,720,1,0.784,0.8253968253968254,0.7666666666666667,0.7777777777777778,0.7936507936507936,0.7619047619047619,0.873015873015873,0.7936507936507936,0.7619047619047619,0.7619047619047619,0.7213114754098361,0.039441876194641866,0.01951150894165039,2.811119723320007,0.006674933433532715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,balance-scale
4,,0.01,250,90,1,0.7968,0.8095238095238095,0.7666666666666667,0.8095238095238095,0.7936507936507936,0.7936507936507936,0.8412698412698413,0.7777777777777778,0.7619047619047619,0.7777777777777778,0.8360655737704918,0.025908221613501675,0.02438938617706299,2.9273941278457642,0.008224964141845703,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,balance-scale
5,,0.01,250,180,1,0.7904,0.7936507936507936,0.8333333333333334,0.7936507936507936,0.7619047619047619,0.7777777777777778,0.8095238095238095,0.7777777777777778,0.7936507936507936,0.7777777777777778,0.7868852459016393,0.018821833479129257,0.029267263412475587,3.206467604637146,0.00979158878326416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,balance-scale
6,,0.01,250,360,1,0.8016,0.7777777777777778,0.7833333333333333,0.7777777777777778,0.7777777777777778,0.7936507936507936,0.8095238095238095,0.8412698412698413,0.8253968253968254,0.7777777777777778,0.8524590163934426,0.027306061832410303,0.034145140647888185,3.845309019088745,0.011354207992553711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,balance-scale
7,,0.01,250,720,1,0.7936,0.7777777777777778,0.7333333333333333,0.7936507936507936,0.8095238095238095,0.7936507936507936,0.8253968253968254,0.7936507936507936,0.8253968253968254,0.746031746031746,0.8360655737704918,0.03197483020004781,0.03902301788330078,5.217990350723267,0.012914037704467774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,balance-scale
8,,0.01,500,90,1,0.7856,0.8253968253968254,0.75,0.7619047619047619,0.8095238095238095,0.7619047619047619,0.7619047619047619,0.7936507936507936,0.7619047619047619,0.7777777777777778,0.8524590163934426,0.03203976507929003,0.04390089511871338,5.377300429344177,0.014434146881103515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,balance-scale
9,,0.01,500,180,1,0.7984,0.8095238095238095,0.75,0.7936507936507936,0.8412698412698413,0.8253968253968254,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.746031746031746,0.8360655737704918,0.03046994803185824,0.04877877235412598,5.716906809806824,0.015979528427124023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,balance-scale
