,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004346895217895508,0.03754158020019531,0.0012988567352294922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008693790435791016,0.048279738426208495,0.002543044090270996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013040685653686523,0.06546947956085206,0.0037363529205322265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017387580871582032,0.16052486896514892,0.0049560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
4,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02173447608947754,0.205565881729126,0.0049560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
5,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.8448,2,10,0.9206349206349206,0.7,0.8095238095238095,0.9206349206349206,0.873015873015873,0.8412698412698413,0.7619047619047619,0.7936507936507936,0.9206349206349206,0.9016393442622951,0.07279342958971474,0.026081371307373046,0.20999412536621093,0.00637056827545166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
6,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.8176,2,50,0.7936507936507936,0.7,0.7936507936507936,0.8412698412698413,0.9047619047619048,0.8412698412698413,0.873015873015873,0.9047619047619048,0.7619047619047619,0.7540983606557377,0.06441377455249388,0.030428266525268553,0.22211081981658937,0.0077373266220092775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
7,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.7728,2,100,0.7777777777777778,0.7,0.7936507936507936,0.8412698412698413,0.746031746031746,0.7936507936507936,0.7777777777777778,0.746031746031746,0.746031746031746,0.8032786885245902,0.03739648522182181,0.034775161743164064,0.24042932987213134,0.009107089042663575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+RCA+kNN,balance-scale
8,Cascading:Unable to make 500 chunks of 2 examples each,1,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03912205696105957,0.26969523429870607,0.009107089042663575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
9,Cascading:Unable to make 1000 chunks of 2 examples each,1,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04346895217895508,0.29194591045379636,0.009107089042663575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,balance-scale
