,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7793594306049823,0.7777777777777778,0.7333333333333333,0.746031746031746,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7619047619047619,0.7936507936507936,0.0,0.7704918032786885,0.1,10000,0.01,True,0.23512204095466174,0.004821181297302246,0.6768042325973511,0.0008461236953735352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.30000000000000004,stand+SDML+kNN,balance-scale
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7882562277580071,0.7777777777777778,0.8333333333333334,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.8095238095238095,0.8412698412698413,0.0,0.746031746031746,0.8032786885245902,0.1,10000,0.01,False,0.23856283632051925,0.009642362594604492,1.052738404273987,0.0015918731689453125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.30000000000000004,stand+SDML+kNN,balance-scale
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.792,0.7619047619047619,0.8333333333333334,0.7619047619047619,0.8253968253968254,0.7777777777777778,0.7777777777777778,0.8412698412698413,0.7777777777777778,0.7936507936507936,0.7704918032786885,0.1,10000,0.05,True,0.02852145435156091,0.014463543891906738,1.4227073907852172,0.002389693260192871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.792,0.7936507936507936,0.8833333333333333,0.7619047619047619,0.8253968253968254,0.7777777777777778,0.8253968253968254,0.7619047619047619,0.7777777777777778,0.746031746031746,0.7704918032786885,0.1,10000,0.05,False,0.03919888692040438,0.019284725189208984,1.7936356782913208,0.0031794071197509765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8064,0.8571428571428571,0.7166666666666667,0.8095238095238095,0.8253968253968254,0.8571428571428571,0.7936507936507936,0.7936507936507936,0.8253968253968254,0.746031746031746,0.8360655737704918,0.1,10000,0.1,True,0.04333775525456469,0.02410590648651123,2.1720587015151978,0.00452578067779541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7872,0.8571428571428571,0.7833333333333333,0.7619047619047619,0.7936507936507936,0.8095238095238095,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.8095238095238095,0.6721311475409836,0.1,10000,0.1,False,0.045225250776966014,0.028927087783813477,2.5442012548446655,0.006135320663452149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7744,0.7619047619047619,0.65,0.7936507936507936,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8095238095238095,0.7777777777777778,0.8360655737704918,0.1,10000,0.25,True,0.04592807733455712,0.03374826908111572,2.916146755218506,0.00771627426147461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7744,0.7301587301587301,0.7166666666666667,0.7619047619047619,0.8253968253968254,0.8095238095238095,0.746031746031746,0.7619047619047619,0.7936507936507936,0.7936507936507936,0.8032786885245902,0.1,10000,0.25,False,0.03437533228974423,0.03856945037841797,3.2859315395355226,0.0092972993850708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7744,0.7777777777777778,0.7,0.746031746031746,0.7936507936507936,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.746031746031746,0.746031746031746,0.8524590163934426,0.1,100000,0.01,True,0.04005048942867064,0.043390631675720215,9.238842177391053,0.010889077186584472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.784,0.7936507936507936,0.7333333333333333,0.7619047619047619,0.8253968253968254,0.7619047619047619,0.7619047619047619,0.7777777777777778,0.7936507936507936,0.7619047619047619,0.8688524590163934,0.1,100000,0.01,False,0.036957448557588694,0.04821181297302246,15.212432408332825,0.012437891960144044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
10,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7808,0.7936507936507936,0.6666666666666666,0.7301587301587301,0.8253968253968254,0.7619047619047619,0.8095238095238095,0.7777777777777778,0.7936507936507936,0.8095238095238095,0.8360655737704918,0.1,100000,0.05,True,0.047936756255869774,0.05303299427032471,21.190674662590027,0.014015293121337891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
11,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7952,0.7936507936507936,0.7333333333333333,0.7619047619047619,0.7777777777777778,0.7936507936507936,0.8253968253968254,0.7777777777777778,0.8253968253968254,0.7936507936507936,0.8688524590163934,0.1,100000,0.05,False,0.035775228018262495,0.05785417556762695,27.159218287467958,0.015561532974243165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
12,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7792,0.7619047619047619,0.7333333333333333,0.7619047619047619,0.7936507936507936,0.7777777777777778,0.7619047619047619,0.8412698412698413,0.8253968253968254,0.7301587301587301,0.8032786885245902,0.1,100000,0.1,True,0.03490474859622227,0.0626753568649292,33.08269259929657,0.01712081432342529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
13,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7808,0.7619047619047619,0.7166666666666667,0.8253968253968254,0.8095238095238095,0.7619047619047619,0.8253968253968254,0.7619047619047619,0.7936507936507936,0.7777777777777778,0.7704918032786885,0.1,100000,0.1,False,0.03204118880656869,0.06749653816223145,39.019815349578856,0.018665194511413574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
14,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7744,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.7936507936507936,0.7936507936507936,0.7777777777777778,0.7619047619047619,0.7936507936507936,0.7936507936507936,0.7868852459016393,0.1,100000,0.25,True,0.03847055645750601,0.07231771945953369,44.94238607883453,0.020205044746398927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
15,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7936,0.7619047619047619,0.7166666666666667,0.7619047619047619,0.8253968253968254,0.7619047619047619,0.8571428571428571,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.8688524590163934,0.1,100000,0.25,False,0.044886432341071786,0.07713890075683594,50.83677065372467,0.02176213264465332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
16,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8032,0.8412698412698413,0.7333333333333333,0.8095238095238095,0.8253968253968254,0.7777777777777778,0.7936507936507936,0.8571428571428571,0.7936507936507936,0.7936507936507936,0.8032786885245902,0.25,10000,0.01,True,0.03269852866151281,0.08196008205413818,51.20879642963409,0.022533416748046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
17,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7758007117437722,0.7936507936507936,0.7,0.746031746031746,0.8253968253968254,0.7777777777777778,0.8095238095238095,0.0,0.8253968253968254,0.8095238095238095,0.6885245901639344,0.25,10000,0.01,False,0.23716063765219056,0.08678126335144043,51.57797594070435,0.02316131591796875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.30000000000000004,stand+SDML+kNN,balance-scale
18,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7744,0.8095238095238095,0.75,0.7936507936507936,0.7777777777777778,0.8888888888888888,0.8095238095238095,0.746031746031746,0.7777777777777778,0.7301587301587301,0.6557377049180327,0.25,10000,0.05,True,0.057796366745378476,0.09160244464874268,51.947939133644105,0.023845195770263672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
19,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7888,0.8095238095238095,0.7833333333333333,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.7936507936507936,0.7936507936507936,0.8253968253968254,0.7777777777777778,0.7213114754098361,0.25,10000,0.05,False,0.028466942462669887,0.09642362594604492,52.319583082199095,0.024522733688354493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
20,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7776,0.7936507936507936,0.7333333333333333,0.7619047619047619,0.7777777777777778,0.7936507936507936,0.8253968253968254,0.7777777777777778,0.8571428571428571,0.7777777777777778,0.6721311475409836,0.25,10000,0.1,True,0.04738515966300754,0.10124480724334717,52.698469042778015,0.02520177364349365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
21,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7808,0.7936507936507936,0.7166666666666667,0.8253968253968254,0.7936507936507936,0.7936507936507936,0.7777777777777778,0.7777777777777778,0.8253968253968254,0.8095238095238095,0.6885245901639344,0.25,10000,0.1,False,0.04235653776302762,0.10606598854064941,53.072660374641416,0.025875377655029296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,balance-scale
