,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003520083427429199,0.11822428703308105,0.0008495092391967773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007040166854858398,0.1677989959716797,0.0014881372451782226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010560250282287598,0.23654518127441407,0.00208430290222168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014080333709716796,0.47856075763702394,0.0026895284652709963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
4,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017600417137145996,0.5441029071807861,0.0026895284652709963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
5,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.5736766809728183,2,10,0.7183098591549296,0.5217391304347826,0.5714285714285714,0.4857142857142857,0.8,0.4,0.6714285714285714,0.5285714285714286,0.5714285714285714,0.463768115942029,0.11679789477044358,0.021120500564575196,0.549509072303772,0.003487253189086914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
6,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.4792560801144492,2,50,0.5211267605633803,0.5507246376811594,0.4,0.45714285714285713,0.4142857142857143,0.5714285714285714,0.5571428571428572,0.45714285714285713,0.4714285714285714,0.391304347826087,0.06379686382236555,0.024640583992004396,0.5749568939208984,0.004236292839050293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
7,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.5164520743919886,2,100,0.5492957746478874,0.5362318840579711,0.45714285714285713,0.44285714285714284,0.6428571428571429,0.5428571428571428,0.5142857142857142,0.5,0.5571428571428572,0.42028985507246375,0.061852444015115374,0.028160667419433592,0.6492716789245605,0.004973649978637695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,RCA+kNN,breast-cancer-wisconsin
8,Cascading:Unable to make 500 chunks of 2 examples each,1,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031680750846862796,0.7133203268051147,0.004973649978637695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
9,Cascading:Unable to make 1000 chunks of 2 examples each,1,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03520083427429199,0.7760020732879639,0.004973649978637695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RCA+kNN,breast-cancer-wisconsin
