,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.01,True,0.0,0.005867862701416015,1.247653341293335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits6
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9969230769230769,1.0,1.0,0.9819819819819819,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.1,10000,0.01,False,0.48845447788525326,0.01173572540283203,3.2814831256866457,0.002930021286010742,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.48989794855663565,SDML+kNN,digits6
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.05,True,0.0,0.017603588104248048,4.206069302558899,0.002930021286010742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits6
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9925512104283054,0.0,1.0,0.0,0.9908256880733946,1.0,0.0,0.0,0.9907407407407407,0.0,0.9811320754716981,0.1,10000,0.05,False,0.4962947979361606,0.02347145080566406,5.579263377189636,0.005290913581848145,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,SDML+kNN,digits6
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.1,True,0.0,0.029339313507080078,6.627425646781921,0.005290913581848145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits6
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9867549668874173,0.0,1.0,0.9819819819819819,0.9908256880733946,0.0,1.0,0.0,0.9722222222222222,0.9906542056074766,0.9716981132075472,0.1,10000,0.1,False,0.45228755054203074,0.035207176208496095,8.646995568275452,0.008571624755859375,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.45825756949558394,SDML+kNN,digits6
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.25,True,0.0,0.04107503890991211,9.559592175483704,0.008571624755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits6
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9948822927328557,1.0,0.0,0.990990990990991,0.981651376146789,1.0,0.9907407407407407,0.9907407407407407,1.0,1.0,1.0,0.1,10000,0.25,False,0.29853033507534754,0.04694290161132812,10.93361029624939,0.012814974784851075,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,SDML+kNN,digits6
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100000,0.01,True,0.0,0.05281076431274414,16.926577925682068,0.012814974784851075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits6
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9986789960369881,0.0,0.0,0.990990990990991,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.1,100000,0.01,False,0.45767539158377163,0.058678627014160156,23.833739256858827,0.01608879566192627,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.45825756949558405,SDML+kNN,digits6
