,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,Cascading:singular matrix,1,50,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.003058981895446777,0.03398890495300293,0.0,LSML+kNN,ionosphere
1,Cascading:singular matrix,1,50,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.006117963790893554,0.042157888412475586,0.0,LSML+kNN,ionosphere
2,Cascading:singular matrix,1,50,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.009176945686340332,0.05620415210723877,0.0,LSML+kNN,ionosphere
3,Cascading:singular matrix,1,50,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.012235927581787109,0.08163936138153076,0.0,LSML+kNN,ionosphere
4,Cascading:singular matrix,1,250,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.015294909477233887,0.0869818925857544,0.0,LSML+kNN,ionosphere
5,Cascading:singular matrix,1,250,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.018353891372680665,0.0950174331665039,0.0,LSML+kNN,ionosphere
6,Cascading:singular matrix,1,250,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.021412873268127443,0.10942444801330567,0.0,LSML+kNN,ionosphere
7,Cascading:singular matrix,1,250,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.024471855163574217,0.14310085773468018,0.0,LSML+kNN,ionosphere
8,Cascading:singular matrix,1,500,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.027530837059020995,0.14842019081115723,0.0,LSML+kNN,ionosphere
9,Cascading:singular matrix,1,500,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.030589818954467773,0.15651018619537355,0.0,LSML+kNN,ionosphere
10,Cascading:singular matrix,1,500,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03364880084991455,0.17030069828033448,0.0,LSML+kNN,ionosphere
11,Cascading:singular matrix,1,500,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03670778274536133,0.2002025365829468,0.0,LSML+kNN,ionosphere
12,Cascading:singular matrix,1,1000,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.039766764640808104,0.20624895095825196,0.0,LSML+kNN,ionosphere
13,Cascading:singular matrix,1,1000,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.042825746536254886,0.21566011905670165,0.0,LSML+kNN,ionosphere
14,Cascading:singular matrix,1,1000,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.04588472843170166,0.23046269416809081,0.0,LSML+kNN,ionosphere
15,Cascading:singular matrix,1,1000,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.048943710327148435,0.25562319755554197,0.0,LSML+kNN,ionosphere
16,Cascading:singular matrix,2,50,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.052002692222595216,0.2896121025085449,0.0,LSML+kNN,ionosphere
17,Cascading:singular matrix,2,50,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05506167411804199,0.29778108596801756,0.0,LSML+kNN,ionosphere
18,Cascading:singular matrix,2,50,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.05812065601348877,0.31182734966278075,0.0,LSML+kNN,ionosphere
19,Cascading:singular matrix,2,50,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.06117963790893555,0.33726255893707274,0.0,LSML+kNN,ionosphere
20,Cascading:singular matrix,2,250,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.06423861980438232,0.34260509014129636,0.0,LSML+kNN,ionosphere
21,Cascading:singular matrix,2,250,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0672976016998291,0.3506406307220459,0.0,LSML+kNN,ionosphere
22,Cascading:singular matrix,2,250,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07035658359527588,0.36504764556884767,0.0,LSML+kNN,ionosphere
23,Cascading:singular matrix,2,250,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07341556549072266,0.39872405529022215,0.0,LSML+kNN,ionosphere
24,Cascading:singular matrix,2,500,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07647454738616943,0.40404338836669923,0.0,LSML+kNN,ionosphere
25,Cascading:singular matrix,2,500,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07953352928161621,0.4121333837509155,0.0,LSML+kNN,ionosphere
26,Cascading:singular matrix,2,500,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.08259251117706298,0.4259238958358765,0.0,LSML+kNN,ionosphere
27,Cascading:singular matrix,2,500,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.08565149307250977,0.45582573413848876,0.0,LSML+kNN,ionosphere
28,Cascading:singular matrix,2,1000,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.08871047496795655,0.46187214851379393,0.0,LSML+kNN,ionosphere
29,Cascading:singular matrix,2,1000,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09176945686340332,0.47128331661224365,0.0,LSML+kNN,ionosphere
30,Cascading:singular matrix,2,1000,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0948284387588501,0.4860858917236328,0.0,LSML+kNN,ionosphere
31,Cascading:singular matrix,2,1000,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09788742065429687,0.5112463951110839,0.0,LSML+kNN,ionosphere
32,Cascading:singular matrix,4,50,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10094640254974366,0.5452353000640869,0.0,LSML+kNN,ionosphere
33,Cascading:singular matrix,4,50,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10400538444519043,0.5534042835235595,0.0,LSML+kNN,ionosphere
34,Cascading:singular matrix,4,50,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10706436634063721,0.5674505472183228,0.0,LSML+kNN,ionosphere
35,Cascading:singular matrix,4,50,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.11012334823608398,0.5928857564926148,0.0,LSML+kNN,ionosphere
36,Cascading:singular matrix,4,250,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.11318233013153076,0.5982282876968383,0.0,LSML+kNN,ionosphere
37,Cascading:singular matrix,4,250,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.11624131202697754,0.6062638282775878,0.0,LSML+kNN,ionosphere
38,Cascading:singular matrix,4,250,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.11930029392242432,0.6206708431243897,0.0,LSML+kNN,ionosphere
39,Cascading:singular matrix,4,250,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1223592758178711,0.6543472528457641,0.0,LSML+kNN,ionosphere
40,Cascading:singular matrix,4,500,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12541825771331788,0.6596665859222413,0.0,LSML+kNN,ionosphere
41,Cascading:singular matrix,4,500,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12847723960876464,0.6677565813064575,0.0,LSML+kNN,ionosphere
42,Cascading:singular matrix,4,500,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.13153622150421143,0.6815470933914185,0.0,LSML+kNN,ionosphere
43,Cascading:singular matrix,4,500,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1345952033996582,0.7114489316940308,0.0,LSML+kNN,ionosphere
44,Cascading:singular matrix,4,1000,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.13765418529510498,0.717495346069336,0.0,LSML+kNN,ionosphere
45,Cascading:singular matrix,4,1000,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14071316719055177,0.7269065141677856,0.0,LSML+kNN,ionosphere
46,Cascading:singular matrix,4,1000,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14377214908599853,0.7417090892791748,0.0,LSML+kNN,ionosphere
47,Cascading:singular matrix,4,1000,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14683113098144532,0.766869592666626,0.0,LSML+kNN,ionosphere
48,Cascading:singular matrix,8,50,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14989011287689208,0.8008584976196289,0.0,LSML+kNN,ionosphere
49,Cascading:singular matrix,8,50,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.15294909477233887,0.8090274810791016,0.0,LSML+kNN,ionosphere
50,Cascading:singular matrix,8,50,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.15600807666778566,0.8230737447738647,0.0,LSML+kNN,ionosphere
51,Cascading:singular matrix,8,50,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.15906705856323242,0.8485089540481567,0.0,LSML+kNN,ionosphere
52,Cascading:singular matrix,8,250,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1621260404586792,0.8538514852523804,0.0,LSML+kNN,ionosphere
53,Cascading:singular matrix,8,250,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.16518502235412597,0.8618870258331299,0.0,LSML+kNN,ionosphere
54,Cascading:singular matrix,8,250,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.16824400424957275,0.8762940406799317,0.0,LSML+kNN,ionosphere
55,Cascading:singular matrix,8,250,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.17130298614501954,0.9099704504013062,0.0,LSML+kNN,ionosphere
56,Cascading:singular matrix,8,500,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1743619680404663,0.9152897834777832,0.0,LSML+kNN,ionosphere
57,Cascading:singular matrix,8,500,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1774209499359131,0.9233797788619995,0.0,LSML+kNN,ionosphere
58,Cascading:singular matrix,8,500,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18047993183135985,0.9371702909469605,0.0,LSML+kNN,ionosphere
59,Cascading:singular matrix,8,500,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18353891372680664,0.9670721292495728,0.0,LSML+kNN,ionosphere
60,Cascading:singular matrix,8,1000,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.18659789562225343,0.9731185436248779,0.0,LSML+kNN,ionosphere
61,Cascading:singular matrix,8,1000,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1896568775177002,0.9825297117233276,0.0,LSML+kNN,ionosphere
62,Cascading:singular matrix,8,1000,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.19271585941314698,0.9973322868347168,0.0,LSML+kNN,ionosphere
63,Cascading:singular matrix,8,1000,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.19577484130859374,1.0224927902221679,0.0,LSML+kNN,ionosphere
64,Cascading:singular matrix,16,50,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.19883382320404053,1.056481695175171,0.0,LSML+kNN,ionosphere
65,Cascading:singular matrix,16,50,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.20189280509948732,1.0646506786346435,0.0,LSML+kNN,ionosphere
66,Cascading:singular matrix,16,50,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.20495178699493408,1.0786969423294068,0.0,LSML+kNN,ionosphere
67,Cascading:singular matrix,16,50,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.20801076889038086,1.1041321516036988,0.0,LSML+kNN,ionosphere
68,Cascading:singular matrix,16,250,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21106975078582763,1.1094746828079223,0.0,LSML+kNN,ionosphere
69,Cascading:singular matrix,16,250,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.21412873268127441,1.1175102233886718,0.0,LSML+kNN,ionosphere
70,Cascading:singular matrix,16,250,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2171877145767212,1.1319172382354736,0.0,LSML+kNN,ionosphere
71,Cascading:singular matrix,16,250,320,0,0,0,0,0,0,0,0,0,0,0,0.0,0.22024669647216796,1.165593647956848,0.0,LSML+kNN,ionosphere
72,Cascading:singular matrix,16,500,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0.22330567836761475,1.1709129810333252,0.0,LSML+kNN,ionosphere
73,Cascading:singular matrix,16,500,80,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2263646602630615,1.1790029764175416,0.0,LSML+kNN,ionosphere
74,Cascading:singular matrix,16,500,160,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2294236421585083,1.1927934885025024,0.0,LSML+kNN,ionosphere
