,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.003917169570922851,153.23251550197602,0.0007400274276733399,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.007834339141845703,881.38550157547,0.0013942480087280273,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.011751508712768555,2312.695356655121,0.002023601531982422,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.015668678283691406,5211.414800906181,0.002668023109436035,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
4,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.019585847854614258,5362.258297967911,0.003290748596191406,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
5,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.02350301742553711,6088.066111779213,0.003914594650268555,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.027420186996459962,7545.689176177979,0.004543471336364746,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
7,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.03133735656738281,10019.865094375611,0.005175495147705078,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
8,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.03525452613830567,10173.097609877586,0.005784797668457031,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
9,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.039171695709228516,10901.25059595108,0.006403088569641113,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
10,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.043088865280151364,12332.560451030731,0.007009172439575195,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
11,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.04700603485107422,15231.279895281792,0.007625579833984375,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
12,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.05092320442199707,15382.123392343521,0.008240842819213867,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
13,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.054840373992919925,16107.931206154823,0.008846426010131836,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
14,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.05875754356384277,17565.554270553588,0.009437036514282227,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,ionosphere
