,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007123231887817382,0.0016118288040161133,0.0005367755889892578,RCA+kNN,ionosphere
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014246463775634765,0.006928467750549316,0.0010532617568969726,RCA+kNN,ionosphere
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002136969566345215,0.0164309024810791,0.001538562774658203,RCA+kNN,ionosphere
3,Cascading:low >= high,1,0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002849292755126953,0.02532658576965332,0.001538562774658203,RCA+kNN,ionosphere
4,Cascading:low >= high,1,0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035616159439086914,0.032834219932556155,0.001538562774658203,RCA+kNN,ionosphere
5,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00427393913269043,0.03446056842803955,0.0020409107208251955,RCA+kNN,ionosphere
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,2,50,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.7647058823529411,0.0,0.7352941176470589,0.34807235412521176,0.004986262321472168,0.03984553813934326,0.002541971206665039,RCA+kNN,ionosphere
7,Cascading:low >= high,1,0,2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005698585510253906,0.04380340576171875,0.002541971206665039,RCA+kNN,ionosphere
8,Cascading:low >= high,1,0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006410908699035644,0.04776263236999512,0.002541971206665039,RCA+kNN,ionosphere
9,Cascading:low >= high,1,0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007123231887817383,0.051834702491760254,0.002541971206665039,RCA+kNN,ionosphere
10,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00783555507659912,0.05358731746673584,0.0030518293380737303,RCA+kNN,ionosphere
11,Cascading:low >= high,1,0,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00854787826538086,0.05651407241821289,0.0030518293380737303,RCA+kNN,ionosphere
12,Cascading:low >= high,1,0,3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009260201454162597,0.059386801719665525,0.0030518293380737303,RCA+kNN,ionosphere
13,Cascading:low >= high,1,0,3,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009972524642944337,0.0622553825378418,0.0030518293380737303,RCA+kNN,ionosphere
14,Cascading:low >= high,1,0,3,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010684847831726074,0.0651470422744751,0.0030518293380737303,RCA+kNN,ionosphere
15,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,5,10,0.0,0.9117647058823529,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.3392341035462719,0.011397171020507812,0.06698288917541503,0.003564333915710449,RCA+kNN,ionosphere
16,Cascading:low >= high,1,0,5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012109494209289551,0.0690690040588379,0.003564333915710449,RCA+kNN,ionosphere
17,Cascading:low >= high,1,0,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012821817398071289,0.07159566879272461,0.003564333915710449,RCA+kNN,ionosphere
18,Cascading:low >= high,1,0,5,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013534140586853028,0.07361559867858887,0.003564333915710449,RCA+kNN,ionosphere
19,Cascading:low >= high,1,0,5,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014246463775634766,0.07559607028961182,0.003564333915710449,RCA+kNN,ionosphere
20,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,7,10,0.7777777777777778,0.0,0.75,0.5833333333333334,0.8333333333333334,0.0,0.7714285714285715,0.8235294117647058,0.8235294117647058,0.0,0.3574297311806758,0.014958786964416503,0.07741143703460693,0.004062008857727051,RCA+kNN,ionosphere
21,Cascading:low >= high,1,0,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01567111015319824,0.07901475429534913,0.004062008857727051,RCA+kNN,ionosphere
22,Cascading:low >= high,1,0,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016383433341979982,0.0806494951248169,0.004062008857727051,RCA+kNN,ionosphere
23,Cascading:low >= high,1,0,7,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01709575653076172,0.08231170177459717,0.004062008857727051,RCA+kNN,ionosphere
24,Cascading:low >= high,1,0,7,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017808079719543457,0.08391454219818115,0.004062008857727051,RCA+kNN,ionosphere
25,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,10,10,0.0,0.8529411764705882,0.0,0.7777777777777778,0.75,0.0,0.0,0.0,0.0,0.0,0.3644399330770746,0.018520402908325195,0.08620932102203369,0.004793810844421387,RCA+kNN,ionosphere
26,Cascading:low >= high,1,0,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019232726097106932,0.08763315677642822,0.004793810844421387,RCA+kNN,ionosphere
