,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,Cascading:singular matrix,1,50,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.00610661506652832,0,stand+LSML+kNN,ionosphere
1,Cascading:singular matrix,1,50,80,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.00931692123413086,0,stand+LSML+kNN,ionosphere
2,Cascading:singular matrix,1,50,160,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.01648545265197754,0,stand+LSML+kNN,ionosphere
3,Cascading:singular matrix,1,50,320,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.030686378479003906,0,stand+LSML+kNN,ionosphere
4,Cascading:singular matrix,1,250,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.005589723587036133,0,stand+LSML+kNN,ionosphere
5,Cascading:singular matrix,1,250,80,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.009477376937866211,0,stand+LSML+kNN,ionosphere
6,Cascading:singular matrix,1,250,160,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.016533851623535156,0,stand+LSML+kNN,ionosphere
7,Cascading:singular matrix,1,250,320,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.03060626983642578,0,stand+LSML+kNN,ionosphere
8,Cascading:singular matrix,1,500,40,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.005671262741088867,0,stand+LSML+kNN,ionosphere
9,Cascading:singular matrix,1,500,80,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.009248495101928711,0,stand+LSML+kNN,ionosphere
10,Cascading:singular matrix,1,500,160,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.016307830810546875,0,stand+LSML+kNN,ionosphere
11,Cascading:singular matrix,1,500,320,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.003397226333618164,0.03037238121032715,0,stand+LSML+kNN,ionosphere
