,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.0028256654739379885,148.61010746955873,0.0007984638214111328,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.005651330947875977,856.2600335359573,0.0013963699340820313,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.008476996421813964,2257.486782312393,0.0019761800765991213,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.011302661895751954,5088.062873959541,0.002566671371459961,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
4,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.014128327369689941,5229.416154026985,0.0031444072723388673,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
5,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.01695399284362793,5934.080487632751,0.003731060028076172,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.019779658317565917,7310.399142193794,0.0043467521667480465,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
7,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.022605323791503908,9680.953639030457,0.005007243156433106,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
8,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.025430989265441895,9829.563746500015,0.005585932731628418,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
9,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.028256654739379883,10537.213672566413,0.006174921989440918,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
10,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.03108232021331787,11938.44042134285,0.006752419471740723,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
11,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.03390798568725586,14769.016512989998,0.007956933975219727,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
12,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.03673365116119385,14910.369793057442,0.009334874153137208,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
13,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.03955931663513183,15615.034126663208,0.010686969757080078,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
14,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.042384982109069824,16991.35278122425,0.012060213088989257,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
15,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.045210647583007815,19361.907278060913,0.013397884368896485,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
16,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.0480363130569458,19510.51738553047,0.014762616157531739,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
17,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.05086197853088379,20218.16731159687,0.01609623432159424,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
18,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.053687644004821775,21619.394060373306,0.01751382350921631,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
19,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.056513309478759766,24449.970152020454,0.01885957717895508,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
20,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.05933897495269776,24591.3234320879,0.02023131847381592,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
21,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.06216464042663574,25295.987765693666,0.02156336307525635,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
22,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.06499030590057372,26672.306420254707,0.02292654514312744,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
23,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.06781597137451172,29042.86091709137,0.024045896530151368,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+NCA+kNN,ionosphere
