,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004028987884521484,0.16646888256072997,0.0008142709732055664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008057975769042968,0.208520245552063,0.0019080400466918944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012086963653564453,0.2510984420776367,0.00297398567199707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
3,Cascading:Unable to make 500 chunks of 1 examples each,1,0.0,1,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016115951538085937,0.2906721830368042,0.00297398567199707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
4,Cascading:Unable to make 1000 chunks of 1 examples each,1,0.0,1,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020144939422607422,0.30923991203308104,0.00297398567199707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
5,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024173927307128907,0.31707034111022947,0.00405876636505127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.8373205741626795,2,50,0.0,0.7941176470588235,0.0,0.9166666666666666,0.9166666666666666,0.0,0.8285714285714286,0.7941176470588235,0.0,0.7647058823529411,0.4120969486033782,0.028202915191650392,0.34627997875213623,0.005351758003234864,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.48989794855663565,stand+RCA+kNN,ionosphere
7,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.8811475409836066,2,100,0.0,0.9411764705882353,0.0,0.8611111111111112,0.8888888888888888,0.8611111111111112,0.0,0.7941176470588235,0.9705882352941176,0.8529411764705882,0.40648800234266247,0.032231903076171874,0.39004323482513426,0.0065556526184082035,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.45825756949558394,stand+RCA+kNN,ionosphere
8,Cascading:Unable to make 500 chunks of 2 examples each,1,0.0,2,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03626089096069336,0.4040250301361084,0.0065556526184082035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
9,Cascading:Unable to make 1000 chunks of 2 examples each,1,0.0,2,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040289878845214844,0.4147620677947998,0.0065556526184082035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
10,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044318866729736325,0.4187402486801147,0.00762627124786377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
11,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.8612099644128114,3,50,0.8611111111111112,0.9117647058823529,0.8611111111111112,0.0,0.9166666666666666,0.8333333333333334,0.8285714285714286,0.7647058823529411,0.9117647058823529,0.0,0.3472478062901529,0.048347854614257814,0.4391063451766968,0.008832454681396484,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,stand+RCA+kNN,ionosphere
12,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.8706624605678234,3,100,0.8888888888888888,0.0,0.8333333333333334,0.8888888888888888,0.8611111111111112,0.8888888888888888,0.8571428571428571,0.8235294117647058,0.9411764705882353,0.8529411764705882,0.26313666387999035,0.052376842498779295,0.4852254629135132,0.010064697265625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,stand+RCA+kNN,ionosphere
13,Cascading:Unable to make 500 chunks of 3 examples each,1,0.0,3,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056405830383300784,0.49759788513183595,0.010064697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
14,Cascading:Unable to make 1000 chunks of 3 examples each,1,0.0,3,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060434818267822266,0.5035696506500245,0.010064697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
15,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.8436018957345972,5,10,0.0,0.0,0.7777777777777778,0.8888888888888888,0.8611111111111112,0.0,0.8857142857142857,0.7941176470588235,0.0,0.8529411764705882,0.4145211490223787,0.06446380615234375,0.5172776699066162,0.011258888244628906,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.4898979485566356,stand+RCA+kNN,ionosphere
16,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.8142857142857143,5,50,0.0,0.0,0.0,0.0,0.8611111111111112,0.0,0.0,0.7647058823529411,0.0,0.0,0.3258771766418375,0.06849279403686523,0.5683663129806519,0.012366819381713866,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4000000000000001,stand+RCA+kNN,ionosphere
17,Cascading:Unable to make 100 chunks of 5 examples each,1,0.0,5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07252178192138672,0.5755558729171752,0.012366819381713866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
18,Cascading:Unable to make 500 chunks of 5 examples each,1,0.0,5,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765507698059082,0.5823180437088012,0.012366819381713866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
19,Cascading:Unable to make 1000 chunks of 5 examples each,1,0.0,5,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08057975769042969,0.5870942115783692,0.012366819381713866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
20,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.838150289017341,7,10,0.0,0.8235294117647058,0.0,0.0,0.0,0.8333333333333334,0.8857142857142857,0.0,0.8529411764705882,0.7941176470588235,0.41951895798581335,0.08460874557495117,0.5912992477416992,0.013533449172973633,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,stand+RCA+kNN,ionosphere
21,Cascading:Unable to make 50 chunks of 7 examples each,1,0.0,7,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08863773345947265,0.597426962852478,0.013533449172973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
22,Cascading:Unable to make 100 chunks of 7 examples each,1,0.0,7,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09266672134399415,0.6016370534896851,0.013533449172973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
23,Cascading:Unable to make 500 chunks of 7 examples each,1,0.0,7,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09669570922851563,0.6063089609146118,0.013533449172973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
24,Cascading:Unable to make 1000 chunks of 7 examples each,1,0.0,7,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10072469711303711,0.609926438331604,0.013533449172973633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
25,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.8365384615384616,10,10,0.0,0.9411764705882353,0.0,0.0,0.8333333333333334,0.8333333333333334,0.0,0.6764705882352942,0.9411764705882353,0.7941176470588235,0.41582498610543905,0.10475368499755859,0.6139204025268554,0.014216184616088867,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.48989794855663565,stand+RCA+kNN,ionosphere
26,Cascading:Unable to make 50 chunks of 10 examples each,1,0.0,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10878267288208007,0.6191914796829223,0.014216184616088867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
27,Cascading:Unable to make 100 chunks of 10 examples each,1,0.0,10,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11281166076660157,0.6267880439758301,0.014216184616088867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
28,Cascading:Unable to make 500 chunks of 10 examples each,1,0.0,10,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11684064865112305,0.63184814453125,0.014216184616088867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
29,Cascading:Unable to make 1000 chunks of 10 examples each,1,0.0,10,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12086963653564453,0.6352099895477294,0.014216184616088867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
30,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0.8773584905660378,16,10,0.8333333333333334,0.9411764705882353,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.0,0.0,0.0,0.9117647058823529,0.0,0.4317247336842545,0.12489862442016601,0.6388383626937866,0.014851593971252441,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.48989794855663565,stand+RCA+kNN,ionosphere
31,Cascading:Unable to make 50 chunks of 16 examples each,1,0.0,16,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1289276123046875,0.6425594568252564,0.014851593971252441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+RCA+kNN,ionosphere
