,error,knn__n_neighbors,lmnn__k,lmnn__learn_rate,lmnn__max_iter,lmnn__regularization,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,1,1,1e-07,50,0.1,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.052541255950927734,0.0012443065643310547,LMNN+kNN,iris
1,,1,1,1e-07,50,0.5,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.03940153121948242,0.0012485980987548828,LMNN+kNN,iris
2,,1,1,1e-07,50,0.9,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.02405095100402832,0.001140594482421875,LMNN+kNN,iris
3,,1,1,1e-07,250,0.1,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.233504056930542,0.0011570453643798828,LMNN+kNN,iris
4,,1,1,1e-07,250,0.5,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.17240142822265625,0.0011489391326904297,LMNN+kNN,iris
5,,1,1,1e-07,250,0.9,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.05286455154418945,0.0011394023895263672,LMNN+kNN,iris
6,,1,1,1e-07,500,0.1,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.22597932815551758,0.001142740249633789,LMNN+kNN,iris
7,,1,1,1e-07,500,0.5,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.2284235954284668,0.0011525154113769531,LMNN+kNN,iris
8,,1,1,1e-07,500,0.9,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.040888309478759766,0.0011227130889892578,LMNN+kNN,iris
9,,1,1,1e-07,1000,0.1,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.45743441581726074,0.0011403560638427734,LMNN+kNN,iris
10,,1,1,1e-07,1000,0.5,0.9533333333333334,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.030550504633038926,0.0019719600677490234,0.4531083106994629,0.0011417865753173828,LMNN+kNN,iris
11,,1,1,1e-07,1000,0.9,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.024738788604736328,0.0011401176452636719,LMNN+kNN,iris
12,,1,2,1e-07,50,0.1,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.04015183448791504,0.00115203857421875,LMNN+kNN,iris
13,,1,2,1e-07,50,0.5,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.04017210006713867,0.0011479854583740234,LMNN+kNN,iris
14,,1,2,1e-07,50,0.9,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.040196895599365234,0.001142263412475586,LMNN+kNN,iris
15,,1,2,1e-07,250,0.1,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.19641613960266113,0.0011544227600097656,LMNN+kNN,iris
16,,1,2,1e-07,250,0.5,0.96,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,0.03265986323710903,0.0019719600677490234,0.19438409805297852,0.0011584758758544922,LMNN+kNN,iris
