,cmaes__knn_weights,cmaes__metric,cmaes__n_gen,cmaes__n_neighbors,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,uniform,diagonal,100,1,,1,0.9981481481481481,0.990990990990991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,1.0,0.0037083507775448102,0.005374455451965332,109.10350465774536,0.005110526084899902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,mice-protein
1,uniform,diagonal,100,4,,1,0.9962962962962963,0.990990990990991,1.0,1.0,0.990990990990991,1.0,1.0,1.0,1.0,0.9904761904761905,0.9904761904761905,0.004542512930441341,0.010748910903930663,230.61758620738982,0.010080957412719726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,mice-protein
2,uniform,diagonal,100,8,,1,0.9962962962962963,1.0,1.0,1.0,0.990990990990991,1.0,1.0,1.0,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.004604803557027194,0.016123366355895997,360.6638620138168,0.015032577514648437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,mice-protein
3,uniform,diagonal,100,16,,1,0.9972222222222222,1.0,1.0,1.0,0.990990990990991,1.0,1.0,1.0,0.9904761904761905,0.9904761904761905,1.0,0.004287781491928173,0.021497821807861327,494.42507140636445,0.019979095458984374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,mice-protein
4,uniform,diagonal,250,1,,1,0.9944444444444445,1.0,0.9904761904761905,1.0,0.9819819819819819,1.0,0.990990990990991,1.0,0.9904761904761905,0.9904761904761905,1.0,0.0060729007374244045,0.02687227725982666,765.8472462177276,0.024927616119384766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,mice-protein
5,uniform,diagonal,250,4,,1,0.9972222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.004364357804719833,0.032246732711791994,1068.0183516979218,0.029860925674438477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,mice-protein
6,uniform,diagonal,250,8,,1,0.9990740740740741,1.0,1.0,1.0,0.990990990990991,1.0,1.0,1.0,1.0,1.0,1.0,0.0027027027027027085,0.03762118816375733,1397.396770477295,0.034749722480773924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,mice-protein
7,uniform,diagonal,250,16,,1,0.9981481481481481,1.0,1.0,1.0,0.990990990990991,1.0,0.990990990990991,1.0,1.0,1.0,1.0,0.003603603603603611,0.042995643615722653,1714.204840159416,0.039624261856079104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,mice-protein
8,uniform,diagonal,1000,1,,1,0.9962962962962963,1.0,1.0,1.0,0.990990990990991,1.0,1.0,1.0,1.0,0.9809523809523809,0.9904761904761905,0.006272543771706301,0.04837009906768799,2808.654304218292,0.04462563991546631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,mice-protein
9,uniform,diagonal,1000,4,,1,0.9981481481481481,1.0,1.0,1.0,0.990990990990991,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,0.0037083507775448107,0.05374455451965332,4027.1929768800737,0.04959061145782471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,mice-protein
