,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,0.01,50,640,1,0.9592592592592593,0.954954954954955,0.9523809523809523,0.963963963963964,0.9459459459459459,0.972972972972973,0.972972972972973,0.9523809523809523,0.9714285714285714,0.9333333333333333,0.9714285714285714,0.01287217485058393,0.005409693717956543,16.913445544242858,0.0023498773574829102,ITML+kNN,mice-protein
1,,0.01,50,1280,1,0.9481481481481482,0.9459459459459459,0.9428571428571428,0.954954954954955,0.918918918918919,0.963963963963964,0.972972972972973,0.9333333333333333,0.9523809523809523,0.9333333333333333,0.9619047619047619,0.0156396023597686,0.010819387435913087,62.89696047306061,0.004569578170776367,ITML+kNN,mice-protein
2,,0.01,50,2560,1,0.9296296296296296,0.9369369369369369,0.9142857142857143,0.9369369369369369,0.918918918918919,0.9459459459459459,0.954954954954955,0.9238095238095239,0.9333333333333333,0.9047619047619048,0.9238095238095239,0.01436570184101606,0.016229081153869628,227.34896078109742,0.00671839714050293,ITML+kNN,mice-protein
3,,0.01,50,5120,1,0.9185185185185185,0.9369369369369369,0.9142857142857143,0.9279279279279279,0.8918918918918919,0.9279279279279279,0.954954954954955,0.9047619047619048,0.9238095238095239,0.8761904761904762,0.9238095238095239,0.02146390970379765,0.021638774871826173,942.6730964899064,0.008879399299621582,ITML+kNN,mice-protein
4,,0.01,250,640,1,0.9592592592592593,0.9459459459459459,0.9523809523809523,0.954954954954955,0.963963963963964,0.972972972972973,0.972972972972973,0.9523809523809523,0.9714285714285714,0.9333333333333333,0.9714285714285714,0.01287217485058393,0.027048468589782715,959.8060517787933,0.011013245582580567,ITML+kNN,mice-protein
5,,0.01,250,1280,1,0.950925925925926,0.9459459459459459,0.9428571428571428,0.954954954954955,0.9279279279279279,0.963963963963964,0.972972972972973,0.9523809523809523,0.9523809523809523,0.9333333333333333,0.9619047619047619,0.013135208526537904,0.032458162307739256,1005.769932961464,0.013171744346618653,ITML+kNN,mice-protein
6,,0.01,250,2560,1,0.9333333333333333,0.9459459459459459,0.9238095238095239,0.9369369369369369,0.9099099099099099,0.954954954954955,0.954954954954955,0.9238095238095239,0.9428571428571428,0.9047619047619048,0.9333333333333333,0.01656418155737091,0.0378678560256958,1174.3288726091384,0.015306210517883301,ITML+kNN,mice-protein
7,,0.01,250,5120,1,0.9157407407407407,0.918918918918919,0.9142857142857143,0.9279279279279279,0.8918918918918919,0.918918918918919,0.954954954954955,0.9047619047619048,0.9333333333333333,0.8761904761904762,0.9142857142857143,0.020672125402326443,0.043277549743652347,1884.975903391838,0.017463374137878417,ITML+kNN,mice-protein
8,,0.01,500,640,1,0.9574074074074074,0.9459459459459459,0.9523809523809523,0.954954954954955,0.954954954954955,0.963963963963964,0.972972972972973,0.9523809523809523,0.9714285714285714,0.9428571428571428,0.9619047619047619,0.009527426354163829,0.04868724346160889,1900.4556194782258,0.019597673416137697,ITML+kNN,mice-protein
9,,0.01,500,1280,1,0.95,0.954954954954955,0.9428571428571428,0.954954954954955,0.918918918918919,0.963963963963964,0.972972972972973,0.9523809523809523,0.9523809523809523,0.9238095238095239,0.9619047619047619,0.01621057694432085,0.05409693717956543,1945.8910997390747,0.021713876724243165,ITML+kNN,mice-protein
