,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,1,weighted,0,0.0,0.9809523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29428571428571426,0.006568646430969239,0.2037172794342041,0.0006444931030273437,LFDA+kNN,mice-protein
1,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,1,orthonormalized,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45825756949558405,0.013137292861938477,0.27448124885559083,0.0013443946838378907,LFDA+kNN,mice-protein
2,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,weighted,0,0.0,0.9904761904761905,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4568094021930512,0.019705939292907714,0.3435039758682251,0.002190518379211426,LFDA+kNN,mice-protein
3,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,orthonormalized,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9904761904761905,0.0,0.0,0.49905488907827084,0.026274585723876955,0.41963460445404055,0.003322935104370117,LFDA+kNN,mice-protein
4,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,weighted,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03284323215484619,0.5098730087280273,0.003322935104370117,LFDA+kNN,mice-protein
5,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,orthonormalized,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03941187858581543,0.571513032913208,0.003322935104370117,LFDA+kNN,mice-protein
6,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,weighted,0,0.0,0.9809523809523809,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.4875930052569563,0.045980525016784665,0.7326759338378906,0.004244399070739746,LFDA+kNN,mice-protein
7,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,orthonormalized,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9904761904761905,1.0,0.48873848438858275,0.05254917144775391,0.8601197481155396,0.005153656005859375,LFDA+kNN,mice-protein
8,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,weighted,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059117817878723146,0.9502956151962281,0.005314493179321289,LFDA+kNN,mice-protein
9,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,orthonormalized,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809523809523809,0.0,0.9904761904761905,0.0,0.3942914653364795,0.06568646430969238,1.015355157852173,0.005827784538269043,LFDA+kNN,mice-protein
