,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,Cascading:Matrix is not positive definite,1,50,640,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.0055427074432373045,9.844587993621825,0.002615690231323242,LSML+kNN,mice-protein
1,Cascading:Matrix is not positive definite,1,50,1280,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.011085414886474609,23.24692804813385,0.004932475090026855,LSML+kNN,mice-protein
2,Cascading:Matrix is not positive definite,1,50,2560,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.016628122329711913,42.9706728219986,0.007280921936035157,LSML+kNN,mice-protein
3,Cascading:Matrix is not positive definite,1,50,5120,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.022170829772949218,77.03703413009643,0.009507846832275391,LSML+kNN,mice-protein
4,Cascading:Matrix is not positive definite,1,250,640,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.027713537216186523,118.56404874324798,0.011670088768005371,LSML+kNN,mice-protein
5,Cascading:Matrix is not positive definite,1,250,1280,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.033256244659423825,180.81668877601624,0.013862967491149902,LSML+kNN,mice-protein
6,Cascading:Matrix is not positive definite,1,250,2560,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.038798952102661134,276.03730165958405,0.01625208854675293,LSML+kNN,mice-protein
7,Cascading:Matrix is not positive definite,1,250,5120,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.044341659545898436,431.8620509386063,0.01835634708404541,LSML+kNN,mice-protein
8,Cascading:Matrix is not positive definite,1,500,640,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.049884366989135745,506.2582943677902,0.020573759078979494,LSML+kNN,mice-protein
9,Cascading:Matrix is not positive definite,1,500,1280,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.05542707443237305,630.2369508981704,0.022769355773925783,LSML+kNN,mice-protein
10,Cascading:Matrix is not positive definite,1,500,2560,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.06096978187561035,813.3591434240341,0.02495880126953125,LSML+kNN,mice-protein
11,Cascading:Matrix is not positive definite,1,500,5120,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.06651248931884765,1126.4786264657973,0.026988983154296875,LSML+kNN,mice-protein
12,Cascading:Matrix is not positive definite,1,1000,640,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.07205519676208497,1281.7180824041366,0.02916133403778076,LSML+kNN,mice-protein
13,Cascading:Matrix is not positive definite,1,1000,1280,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.07759790420532227,1528.8769191026688,0.03134810924530029,LSML+kNN,mice-protein
14,Cascading:Matrix is not positive definite,1,1000,2560,0,0.963963963963964,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29652386873226433,0.08314061164855957,1888.5242835998536,0.033559536933898924,LSML+kNN,mice-protein
15,Cascading:Matrix is not positive definite,1,1000,5120,0,0.990990990990991,1.0,0.990990990990991,0.990990990990991,0.9819819819819819,1.0,1.0,0,0.9809523809523809,0.9809523809523809,0.29731708191590944,0.08868331909179687,2317.6327312469484,0.03761265277862549,LSML+kNN,mice-protein
16,Cascading:Matrix is not positive definite,2,50,640,0,0.972972972972973,1.0,0.9819819819819819,0.9819819819819819,1.0,1.0,1.0,0,0.9809523809523809,0.9714285714285714,0.29651263402418176,0.09422602653503417,2327.47731924057,0.042168402671813966,LSML+kNN,mice-protein
17,Cascading:Matrix is not positive definite,2,50,1280,0,0.9819819819819819,1.0,0.9819819819819819,0.9819819819819819,1.0,1.0,1.0,0,0.9809523809523809,0.9714285714285714,0.2967801750364881,0.09976873397827149,2340.879659295082,0.04670140743255615,LSML+kNN,mice-protein
