,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,technique,dataset
0,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9819819819819819,1.0,1.0,0.990990990990991,0.0,1.0,0.9904761904761905,0.9904761904761905,0.9809523809523809,0.9809523809523809,0.1,10000,0.01,True,0.2972827621845885,0.005218243598937989,1.5080417394638062,0.002130436897277832,SDML+kNN,mice-protein
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714285714285714,0.0,0.0,0.0,0.1,10000,0.01,False,0.2914285714285714,0.010436487197875977,3.9340341091156006,0.00237274169921875,SDML+kNN,mice-protein
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.990990990990991,0.9904761904761905,1.0,0.990990990990991,0.0,1.0,1.0,1.0,1.0,0.9904761904761905,0.1,10000,0.05,True,0.2987964552708256,0.015654730796813964,5.092770051956177,0.0043757915496826175,SDML+kNN,mice-protein
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.9809523809523809,0.0,0.954954954954955,0.0,0.0,0.0,0.9714285714285714,0.0,0.0,0.1,10000,0.05,False,0.44414184685395836,0.020872974395751955,8.819286894798278,0.005069279670715332,SDML+kNN,mice-protein
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9819819819819819,0.9904761904761905,1.0,0.9819819819819819,1.0,1.0,1.0,1.0,1.0,0.9809523809523809,0.1,10000,0.1,True,0.008278890248842487,0.02609121799468994,10.581003284454345,0.007331538200378418,SDML+kNN,mice-protein
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.972972972972973,0.972972972972973,0.972972972972973,0.0,0.0,0.0,0.9619047619047619,0.0,0.1,10000,0.1,False,0.4753115552159938,0.03130946159362793,14.877287244796753,0.008270764350891113,SDML+kNN,mice-protein
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9819819819819819,1.0,1.0,1.0,0.9819819819819819,1.0,1.0,0.9904761904761905,0.9904761904761905,1.0,0.1,10000,0.25,True,0.0072614250429880985,0.036527705192565915,16.539364886283874,0.010605621337890624,SDML+kNN,mice-protein
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.9714285714285714,0.0,0.9819819819819819,0.0,0.0,0.0,0.0,0.9523809523809523,0.9809523809523809,0.1,10000,0.25,False,0.47608626638090645,0.04174594879150391,18.72643268108368,0.011542940139770507,SDML+kNN,mice-protein
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.990990990990991,1.0,1.0,0.990990990990991,0.0,1.0,1.0,0.9904761904761905,1.0,1.0,0.1,100000,0.01,True,0.2991101480558115,0.046964192390441896,27.220831966400148,0.01362016201019287,SDML+kNN,mice-protein
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100000,0.01,False,0.0,0.05218243598937988,34.46966438293457,0.01362016201019287,SDML+kNN,mice-protein
10,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.990990990990991,1.0,1.0,0.990990990990991,1.0,1.0,1.0,1.0,1.0,1.0,0.1,100000,0.05,True,0.003603603603603611,0.05740067958831787,41.17525489330292,0.01591916084289551,SDML+kNN,mice-protein
11,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.9819819819819819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100000,0.05,False,0.2945945945945946,0.06261892318725586,48.77400004863739,0.016147541999816894,SDML+kNN,mice-protein
