,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,1,weighted,0.9938837920489296,0.990990990990991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9904761904761905,0.0,0.45543293388916745,0.0070549964904785155,0.2748861789703369,0.0007676362991333007,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45825756949558394,stand+LFDA+kNN,mice-protein
1,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,1,orthonormalized,0.9908256880733946,0.990990990990991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9809523809523809,0.0,0.45399184764901207,0.014109992980957031,0.35703837871551514,0.0015176773071289063,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45825756949558394,stand+LFDA+kNN,mice-protein
2,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,weighted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021164989471435545,0.47438755035400393,0.003654074668884277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+LFDA+kNN,mice-protein
3,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,2,orthonormalized,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.30000000000000004,0.028219985961914062,0.5447924375534058,0.003908991813659668,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.30000000000000004,stand+LFDA+kNN,mice-protein
4,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,weighted,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.03527498245239258,0.6229959964752197,0.004455399513244629,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,stand+LFDA+kNN,mice-protein
5,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,3,orthonormalized,0.9875389408099688,0.990990990990991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809523809523809,0.9904761904761905,0.45252412481999976,0.04232997894287109,0.7013977527618408,0.005233001708984375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.45825756949558394,stand+LFDA+kNN,mice-protein
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,4,weighted,0.9907407407407407,0.0,0.9809523809523809,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3962133693019525,0.04938497543334961,0.8209743976593018,0.005938005447387695,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,stand+LFDA+kNN,mice-protein
7,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,4,orthonormalized,0.9968847352024922,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9904761904761905,0.4568094021930512,0.056439971923828124,0.9658515691757202,0.006785106658935547,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45825756949558405,stand+LFDA+kNN,mice-protein
8,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,weighted,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.06349496841430664,1.0733847141265869,0.007337546348571778,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,stand+LFDA+kNN,mice-protein
9,Cascading:the leading minor of order 71 of 'b' is not positive definite. The factorization of 'b' could not be completed and no eigenvalues or eigenvectors were computed.,1,5,orthonormalized,0.997716894977169,0.990990990990991,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4888008014731749,0.07054996490478516,1.178873872756958,0.00839979648590088,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.48989794855663565,stand+LFDA+kNN,mice-protein
