,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,technique,dataset
0,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9714285714285714,0.0,0.1,10000,0.01,True,0.39433747072314407,0.010106539726257325,1.7127333402633667,0.0010461091995239257,stand+SDML+kNN,mice-protein
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.9819819819819819,0.0,0.0,0.9809523809523809,0.9809523809523809,0.1,10000,0.01,False,0.44968620662038794,0.02021307945251465,5.663429021835327,0.0024747133255004885,stand+SDML+kNN,mice-protein
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.990990990990991,0.9904761904761905,0.0,1.0,1.0,0.990990990990991,0.0,0.0,0.9809523809523809,1.0,0.1,10000,0.05,True,0.45524115736814247,0.030319619178771972,9.728095173835754,0.005735039710998535,stand+SDML+kNN,mice-protein
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,10000,0.05,False,0.30000000000000004,0.0404261589050293,11.86555106639862,0.00619194507598877,stand+SDML+kNN,mice-protein
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.990990990990991,0.9904761904761905,1.0,0.0,1.0,0.990990990990991,1.0,1.0,0.9714285714285714,0.9904761904761905,0.1,10000,0.1,True,0.29792647102045083,0.05053269863128662,14.96787850856781,0.010367298126220703,stand+SDML+kNN,mice-protein
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.9904761904761905,0.0,0.0,1.0,0.0,0.0,0.9904761904761905,0.9714285714285714,0.9904761904761905,0.1,10000,0.1,False,0.48528832863027105,0.060639238357543944,20.733794689178467,0.013149166107177734,stand+SDML+kNN,mice-protein
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.990990990990991,0.9904761904761905,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1,10000,0.25,True,0.45705774553498185,0.07074577808380127,23.417883706092834,0.016373610496520995,stand+SDML+kNN,mice-protein
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.990990990990991,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.25,False,0.3982032937589263,0.0808523178100586,25.494954109191895,0.017298960685729982,stand+SDML+kNN,mice-protein
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.990990990990991,0.9904761904761905,1.0,1.0,0.0,0.972972972972973,0.0,0.9904761904761905,0.0,0.0,0.1,100000,0.01,True,0.4854505827946109,0.09095885753631591,34.011517834663394,0.020093894004821776,stand+SDML+kNN,mice-protein
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9904761904761905,0.1,100000,0.01,False,0.39810093411281594,0.10106539726257324,42.40317485332489,0.020972943305969237,stand+SDML+kNN,mice-protein
10,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9904761904761905,0.9809523809523809,0.0,0.1,100000,0.05,True,0.39861551784364796,0.11117193698883057,49.752313590049745,0.024570369720458986,stand+SDML+kNN,mice-protein
