,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,0.01,50,40,1,0.6614583333333334,0.7142857142857143,0.6710526315789473,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.6753246753246753,0.7142857142857143,0.6883116883116883,0.6623376623376623,0.6710526315789473,0.04625589371266896,0.004438138008117676,0.43806140422821044,0.002196502685546875,ITML+kNN,pima-indians-diabetes
1,,0.01,50,80,1,0.6588541666666666,0.7012987012987013,0.6710526315789473,0.5974025974025974,0.6753246753246753,0.6233766233766234,0.6753246753246753,0.7402597402597403,0.6753246753246753,0.5974025974025974,0.631578947368421,0.043527258133931726,0.008876276016235352,0.745122742652893,0.0041190385818481445,ITML+kNN,pima-indians-diabetes
2,,0.01,50,160,1,0.6549479166666666,0.7012987012987013,0.6578947368421053,0.5974025974025974,0.6753246753246753,0.6363636363636364,0.6753246753246753,0.7402597402597403,0.6623376623376623,0.5974025974025974,0.6052631578947368,0.04444891515167722,0.013314414024353027,1.1565288782119751,0.00588226318359375,ITML+kNN,pima-indians-diabetes
3,,0.01,50,320,1,0.6497395833333334,0.7012987012987013,0.6710526315789473,0.5584415584415584,0.6493506493506493,0.6233766233766234,0.6363636363636364,0.7402597402597403,0.6753246753246753,0.6103896103896104,0.631578947368421,0.04800907783803044,0.017752552032470705,1.8606853008270263,0.007639646530151367,ITML+kNN,pima-indians-diabetes
4,,0.01,250,40,1,0.65234375,0.7272727272727273,0.6447368421052632,0.6233766233766234,0.6623376623376623,0.5974025974025974,0.6623376623376623,0.7142857142857143,0.6753246753246753,0.6233766233766234,0.5921052631578947,0.04308389476232243,0.02219069004058838,1.998945713043213,0.009365248680114745,ITML+kNN,pima-indians-diabetes
5,,0.01,250,80,1,0.64453125,0.7012987012987013,0.6710526315789473,0.5714285714285714,0.6493506493506493,0.6103896103896104,0.6233766233766234,0.7142857142857143,0.6493506493506493,0.6103896103896104,0.6447368421052632,0.041183636177837865,0.026628828048706053,2.197757434844971,0.011098837852478028,ITML+kNN,pima-indians-diabetes
6,,0.01,250,160,1,0.6458333333333334,0.7142857142857143,0.6447368421052632,0.5844155844155844,0.6493506493506493,0.5974025974025974,0.6493506493506493,0.7272727272727273,0.6753246753246753,0.5974025974025974,0.618421052631579,0.04629084097917733,0.03106696605682373,2.6162144422531126,0.012919116020202636,ITML+kNN,pima-indians-diabetes
7,,0.01,250,320,1,0.6471354166666666,0.6753246753246753,0.6447368421052632,0.5974025974025974,0.6493506493506493,0.6233766233766234,0.6363636363636364,0.7662337662337663,0.6623376623376623,0.5974025974025974,0.618421052631579,0.04655377145953375,0.03550510406494141,3.3421210289001464,0.014826703071594238,ITML+kNN,pima-indians-diabetes
8,,0.01,500,40,1,0.6653645833333334,0.7142857142857143,0.6842105263157895,0.5454545454545454,0.6493506493506493,0.6623376623376623,0.7272727272727273,0.7272727272727273,0.6623376623376623,0.6493506493506493,0.631578947368421,0.05144393304795408,0.03994324207305908,3.481482005119324,0.016559743881225587,ITML+kNN,pima-indians-diabetes
9,,0.01,500,80,1,0.6497395833333334,0.7142857142857143,0.6710526315789473,0.5454545454545454,0.6363636363636364,0.6103896103896104,0.6493506493506493,0.7142857142857143,0.7012987012987013,0.6103896103896104,0.6447368421052632,0.050617481900391934,0.04438138008117676,3.713020157814026,0.018137145042419433,ITML+kNN,pima-indians-diabetes
