,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.003690171241760254,81.16248166561127,0.004498600959777832,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.007380342483520508,489.33929600715635,0.00513606071472168,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.011070513725280761,1367.7379724025727,0.0057469367980957035,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.014760684967041016,3027.167137885094,0.006373691558837891,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
4,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.01845085620880127,3110.2714327096937,0.006986379623413086,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
5,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.022141027450561523,3529.5601675271987,0.007610106468200683,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.025831198692321776,4341.728597521782,0.008237981796264648,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
7,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.029521369934082033,5853.189484167099,0.008871746063232423,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
8,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.03321154117584228,5934.35196583271,0.009483432769775391,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
9,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.03690171241760254,6342.528780174255,0.010091423988342285,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
10,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.040591883659362796,7220.927456569671,0.010705208778381348,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
11,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.044282054901123045,8880.356622052193,0.011278271675109863,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
12,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.0479722261428833,8963.460916876793,0.011853814125061035,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
13,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.05166239738464355,9382.749651694297,0.012417292594909668,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
14,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.05535256862640381,10194.91808168888,0.012990641593933105,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
15,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.059042739868164065,11706.378968334198,0.013555550575256347,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
16,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.06273291110992432,11787.54144999981,0.014128375053405761,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
17,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.06642308235168456,12195.718264341354,0.01469128131866455,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
18,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.07011325359344482,13074.11694073677,0.015286135673522949,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
19,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.07380342483520508,14733.546106219292,0.015848875045776367,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
20,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.07749359607696533,14816.650401043891,0.016420507431030275,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,pima-indians-diabetes
