,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.6940104166666666,0.1,50,0.7272727272727273,0.7236842105263158,0.6493506493506493,0.6753246753246753,0.7012987012987013,0.7402597402597403,0.6623376623376623,0.6753246753246753,0.7402597402597403,0.6447368421052632,0.035273056318896504,0.0030269384384155273,93.29933393001556,0.0009133815765380859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,pima-indians-diabetes
1,,1,0.6744791666666666,0.1,250,0.6493506493506493,0.6842105263157895,0.6493506493506493,0.6753246753246753,0.7272727272727273,0.7012987012987013,0.7012987012987013,0.6753246753246753,0.6753246753246753,0.6052631578947368,0.03221220248275153,0.0060538768768310545,581.1947158575058,0.0016448497772216797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,pima-indians-diabetes
2,,1,0.6875,0.1,500,0.6623376623376623,0.6578947368421053,0.6623376623376623,0.6883116883116883,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6883116883116883,0.6883116883116883,0.6842105263157895,0.02075562682698427,0.009080815315246581,1587.0844241142272,0.002345705032348633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,pima-indians-diabetes
3,,1,0.6861979166666666,0.1,1000,0.6623376623376623,0.6578947368421053,0.6493506493506493,0.6883116883116883,0.7402597402597403,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.7142857142857143,0.6842105263157895,0.02541950893773921,0.012107753753662109,3608.7871148586273,0.0030451059341430665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,pima-indians-diabetes
4,,1,0.6940104166666666,0.01,50,0.7272727272727273,0.7236842105263158,0.6493506493506493,0.6753246753246753,0.7012987012987013,0.7402597402597403,0.6623376623376623,0.6753246753246753,0.7402597402597403,0.6447368421052632,0.035273056318896504,0.015134692192077637,3702.6855194807054,0.003748011589050293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,pima-indians-diabetes
5,,1,0.6744791666666666,0.01,250,0.6493506493506493,0.6842105263157895,0.6493506493506493,0.6753246753246753,0.7272727272727273,0.7012987012987013,0.7012987012987013,0.6753246753246753,0.6753246753246753,0.6052631578947368,0.03221220248275153,0.018161630630493163,4196.667543625832,0.0044476985931396484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,pima-indians-diabetes
6,,1,0.6875,0.01,500,0.6623376623376623,0.6578947368421053,0.6623376623376623,0.6883116883116883,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6883116883116883,0.6883116883116883,0.6842105263157895,0.02075562682698427,0.021188569068908692,5168.221158123017,0.005162620544433593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,pima-indians-diabetes
7,,1,0.6861979166666666,0.01,1000,0.6623376623376623,0.6578947368421053,0.6493506493506493,0.6883116883116883,0.7402597402597403,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.7142857142857143,0.6842105263157895,0.02541950893773921,0.024215507507324218,6811.269774460792,0.005875396728515625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,pima-indians-diabetes
8,,2,0.7109375,0.1,50,0.7532467532467533,0.7236842105263158,0.6623376623376623,0.7272727272727273,0.7272727272727273,0.7402597402597403,0.6753246753246753,0.7012987012987013,0.7272727272727273,0.6710526315789473,0.029877714961865077,0.027242445945739747,6904.569108390808,0.00657801628112793,0.8628472222222222,0.8639652677279306,0.8583815028901735,0.8625180897250362,0.8712011577424024,0.8769898697539797,0.869753979739508,0.8335745296671491,0.8567293777134588,0.8668596237337193,0.8684971098265896,0.011318772754970488,stand+NCA+kNN,pima-indians-diabetes
9,,2,0.69921875,0.1,250,0.7402597402597403,0.6842105263157895,0.6233766233766234,0.7142857142857143,0.7012987012987013,0.7012987012987013,0.7272727272727273,0.7272727272727273,0.7532467532467533,0.618421052631579,0.04349539417341195,0.030269384384155273,7392.464490318298,0.007271504402160645,0.9016203703703703,0.9059334298118669,0.9075144508670521,0.9044862518089725,0.8885672937771346,0.8986975397973951,0.9044862518089725,0.8900144717800289,0.8958031837916064,0.9044862518089725,0.9161849710982659,0.00798481240543405,stand+NCA+kNN,pima-indians-diabetes
10,,2,0.7083333333333334,0.1,500,0.7662337662337663,0.6973684210526315,0.6623376623376623,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7272727272727273,0.6578947368421053,0.029441695676664277,0.0332963228225708,8398.35419857502,0.00796647071838379,0.9091435185185185,0.9088277858176556,0.9060693641618497,0.9073806078147613,0.894356005788712,0.91027496382055,0.9117221418234442,0.9073806078147613,0.9073806078147613,0.918958031837916,0.9190751445086706,0.006636531704181209,stand+NCA+kNN,pima-indians-diabetes
11,,2,0.70703125,0.1,1000,0.7272727272727273,0.6710526315789473,0.6753246753246753,0.7272727272727273,0.7142857142857143,0.7272727272727273,0.7272727272727273,0.7142857142857143,0.7272727272727273,0.6578947368421053,0.02620664822617695,0.036323261260986325,10420.05688931942,0.008658576011657714,0.9120370370370371,0.91027496382055,0.9147398843930635,0.9117221418234442,0.894356005788712,0.9117221418234442,0.9131693198263386,0.91027496382055,0.9131693198263386,0.9232995658465991,0.9176300578034682,0.006978702763137578,stand+NCA+kNN,pima-indians-diabetes
