,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,technique,dataset
0,,0.01,50,40,1,0.8221153846153846,0.9545454545454546,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9523809523809523,0.8571428571428571,0.8,0.9,0.10607057997099628,0.00404965877532959,0.6955740690231323,0.0008283376693725586,ITML+kNN,sonar
1,,0.01,50,80,1,0.8221153846153846,1.0,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9523809523809523,0.8095238095238095,0.8,0.9,0.11204550419957895,0.00809931755065918,1.3759220600128175,0.0015601873397827148,ITML+kNN,sonar
2,,0.01,50,160,1,0.8173076923076923,0.9545454545454546,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9047619047619048,0.8571428571428571,0.8,0.9,0.10102183090004521,0.01214897632598877,2.9466662645339965,0.00225677490234375,ITML+kNN,sonar
3,,0.01,50,320,1,0.8125,1.0,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9047619047619048,0.8571428571428571,0.75,0.85,0.10708040507920875,0.01619863510131836,6.679746055603028,0.0029598474502563477,ITML+kNN,sonar
4,,0.01,250,40,1,0.8173076923076923,0.9545454545454546,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.9523809523809523,0.8571428571428571,0.8,0.9,0.1156720082517828,0.02024829387664795,6.9426604270935055,0.0036559104919433594,ITML+kNN,sonar
5,,0.01,250,80,1,0.8173076923076923,0.9545454545454546,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9047619047619048,0.8571428571428571,0.8,0.9,0.10102183090004521,0.02429795265197754,7.810537910461425,0.0043426513671875,ITML+kNN,sonar
6,,0.01,250,160,1,0.8221153846153846,1.0,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9047619047619048,0.8571428571428571,0.8,0.9,0.10792203451047344,0.02834761142730713,9.366276621818542,0.0050199031829833984,ITML+kNN,sonar
7,,0.01,250,320,1,0.8221153846153846,1.0,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9047619047619048,0.8095238095238095,0.85,0.9,0.10756240608044271,0.03239727020263672,13.090427112579345,0.005698204040527344,ITML+kNN,sonar
8,,0.01,500,40,1,0.8269230769230769,1.0,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9523809523809523,0.8571428571428571,0.8,0.9,0.11246969861512017,0.03644692897796631,13.37954044342041,0.0063689231872558595,ITML+kNN,sonar
9,,0.01,500,80,1,0.8173076923076923,0.9545454545454546,0.75,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.9047619047619048,0.8571428571428571,0.8,0.9,0.10675979667291054,0.0404965877532959,14.18594138622284,0.007044267654418945,ITML+kNN,sonar
10,,0.01,500,160,1,0.8173076923076923,0.9545454545454546,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9047619047619048,0.8571428571428571,0.8,0.9,0.10102183090004521,0.04454624652862549,15.382791113853454,0.007718896865844727,ITML+kNN,sonar
11,,0.01,500,320,1,0.8173076923076923,1.0,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9047619047619048,0.8095238095238095,0.85,0.85,0.10491222981005989,0.04859590530395508,19.155373430252077,0.00839850902557373,ITML+kNN,sonar
12,,0.01,1000,40,1,0.8221153846153846,0.9545454545454546,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9523809523809523,0.8571428571428571,0.8,0.9,0.10607057997099628,0.05264556407928467,19.590988874435425,0.00906360149383545,ITML+kNN,sonar
13,,0.01,1000,80,1,0.8173076923076923,1.0,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9047619047619048,0.8095238095238095,0.8,0.9,0.10726870915471493,0.05669522285461426,20.157702136039735,0.010484981536865234,ITML+kNN,sonar
14,,0.01,1000,160,1,0.8173076923076923,0.9545454545454546,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9047619047619048,0.8571428571428571,0.8,0.9,0.10102183090004521,0.06074488162994385,21.760383653640748,0.01191415786743164,ITML+kNN,sonar
15,,0.01,1000,320,1,0.8221153846153846,1.0,0.7,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6190476190476191,0.9047619047619048,0.8571428571428571,0.85,0.85,0.10558013796581163,0.06479454040527344,25.14344379901886,0.01335437297821045,ITML+kNN,sonar
16,,0.1,50,40,1,0.8125,0.9090909090909091,0.75,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.9047619047619048,0.8095238095238095,0.8,0.85,0.07629873507106802,0.06884419918060303,25.53906829357147,0.014789938926696777,ITML+kNN,sonar
17,,0.1,50,80,1,0.7980769230769231,0.9545454545454546,0.7,0.7619047619047619,0.8095238095238095,0.8095238095238095,0.6190476190476191,0.9047619047619048,0.8095238095238095,0.75,0.85,0.091776535556626,0.07289385795593262,26.776306128501894,0.01622152328491211,ITML+kNN,sonar
