,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,technique,dataset
0,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9090909090909091,0.7,0.0,0.8095238095238095,0.0,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.0,0.9,0.1,10000,0.01,True,0.3718092681659239,0.0026644468307495117,1.8516862630844115,0.0012248992919921876,SDML+kNN,sonar
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.8095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.01,False,0.24285714285714283,0.0053288936614990234,3.1404369831085206,0.0013835668563842774,SDML+kNN,sonar
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8181818181818182,0.85,0.7142857142857143,0.7619047619047619,0.0,0.8095238095238095,0.8571428571428571,0.8095238095238095,0.95,0.0,0.1,10000,0.05,True,0.3336534725102471,0.007993340492248535,4.226330995559692,0.002630782127380371,SDML+kNN,sonar
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.05,False,0.0,0.010657787322998047,5.430610108375549,0.002630782127380371,SDML+kNN,sonar
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8181818181818182,0.8,0.7142857142857143,0.7142857142857143,0.0,0.0,0.8095238095238095,0.7142857142857143,0.9,0.85,0.1,10000,0.1,True,0.3213893521921337,0.013322234153747559,6.762608575820923,0.0038057565689086914,SDML+kNN,sonar
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.7,0.7142857142857143,0.8095238095238095,0.0,0.6190476190476191,0.9523809523809523,0.0,0.0,0.0,0.1,10000,0.1,False,0.3879947284397717,0.01598668098449707,8.814020895957947,0.0045702457427978516,SDML+kNN,sonar
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8636363636363636,0.8,0.6190476190476191,0.0,0.9523809523809523,0.6190476190476191,0.7142857142857143,0.7142857142857143,0.95,0.9,0.1,10000,0.25,True,0.2654669922856296,0.018651127815246582,9.79144365787506,0.005946135520935059,SDML+kNN,sonar
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,0.75,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.8,0.0,0.1,10000,0.25,False,0.4214654947505266,0.021315574645996094,11.757818365097046,0.006628775596618652,SDML+kNN,sonar
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8636363636363636,0.0,0.6666666666666666,0.7142857142857143,0.9523809523809523,0.7142857142857143,0.0,0.0,0.0,0.95,0.1,100000,0.01,True,0.40707117773392404,0.023980021476745605,38.00773503780365,0.007551908493041992,SDML+kNN,sonar
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100000,0.01,False,0.0,0.026644468307495117,63.7053768157959,0.007551908493041992,SDML+kNN,sonar
