,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.875,0.9090909090909091,0.85,0.8571428571428571,0.8571428571428571,0.9523809523809523,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.9,1.0,0.1,10000,0.01,True,0.07150365003474611,0.005705595016479492,1.6032776594161988,0.0015035152435302734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,sonar
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8837209302325582,0.9090909090909091,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.01,False,0.3534376871308894,0.011411190032958984,3.409812879562378,0.0017861127853393555,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,stand+SDML+kNN,sonar
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8288770053475936,0.9090909090909091,0.65,0.8571428571428571,0.8095238095238095,0.9047619047619048,0.7619047619047619,0.8571428571428571,0.0,0.7,1.0,0.1,10000,0.05,True,0.26704883592818796,0.017116785049438477,4.374850797653198,0.003122115135192871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.30000000000000004,stand+SDML+kNN,sonar
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.819047619047619,0.8636363636363636,0.0,0.8095238095238095,0.0,0.0,0.7619047619047619,0.8095238095238095,0.0,0.85,0.0,0.1,10000,0.05,False,0.410238775891406,0.02282238006591797,6.228413105010986,0.003828763961791992,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,stand+SDML+kNN,sonar
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8846153846153846,1.0,0.75,0.8571428571428571,0.9047619047619048,1.0,0.8571428571428571,0.8095238095238095,0.8571428571428571,0.9,0.9,0.1,10000,0.1,True,0.07315725614718015,0.02852797508239746,7.25451397895813,0.005243134498596191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,sonar
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8235294117647058,0.9545454545454546,0.0,0.0,0.7619047619047619,0.8571428571428571,0.7142857142857143,0.0,0.0,0.0,0.0,0.1,10000,0.1,False,0.40688317215287795,0.03423357009887695,9.015480661392212,0.005820846557617188,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48989794855663565,stand+SDML+kNN,sonar
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8670212765957447,1.0,0.75,0.8095238095238095,0.9047619047619048,0.9047619047619048,0.7619047619047619,1.0,0.8095238095238095,0.85,0.0,0.1,10000,0.25,True,0.2727989632979151,0.039939165115356445,9.959571194648742,0.007087874412536621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3,stand+SDML+kNN,sonar
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8313253012048193,0.0,0.0,0.7619047619047619,0.0,0.9047619047619048,0.0,0.0,0.8571428571428571,0.8,0.0,0.1,10000,0.25,False,0.40853590699176895,0.04564476013183594,11.469190764427186,0.007654881477355957,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.48989794855663565,stand+SDML+kNN,sonar
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.8690476190476191,1.0,0.7,0.8095238095238095,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.1,100000,0.01,True,0.43056704688051833,0.05135035514831543,36.70392048358917,0.008221244812011719,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4898979485566356,stand+SDML+kNN,sonar
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.7936507936507936,0.0,0.0,0.0,0.8571428571428571,0.0,0.7619047619047619,0.0,0.7619047619047619,0.0,0.0,0.1,100000,0.01,False,0.3645268420762788,0.05705595016479492,62.237054634094235,0.008647418022155762,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.45825756949558394,stand+SDML+kNN,sonar
