,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.01,50,90,1,0.7078651685393258,0.6842105263157895,0.8125,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.6470588235294118,0.06656791595385833,0.003703594207763672,0.5259555578231812,0.0012997865676879882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
1,,0.01,50,180,1,0.7134831460674157,0.6842105263157895,0.8125,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.6470588235294118,0.06969909228588377,0.007407188415527344,1.0076823472976684,0.0025153875350952147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
2,,0.01,50,360,1,0.7134831460674157,0.6842105263157895,0.8125,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.5555555555555556,0.8333333333333334,0.6470588235294118,0.08191346236930773,0.011110782623291016,1.6944244384765625,0.0037443876266479493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
3,,0.01,50,720,1,0.7134831460674157,0.6842105263157895,0.8125,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.6470588235294118,0.06969909228588377,0.014814376831054688,3.774085831642151,0.00495460033416748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
4,,0.01,250,90,1,0.702247191011236,0.6842105263157895,0.8125,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.5,0.8333333333333334,0.6470588235294118,0.09090583404085247,0.01851797103881836,3.9772415161132812,0.006169414520263672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
5,,0.01,250,180,1,0.7134831460674157,0.6842105263157895,0.8125,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.6470588235294118,0.06969909228588377,0.02222156524658203,4.37445592880249,0.007370638847351074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
6,,0.01,250,360,1,0.7078651685393258,0.6842105263157895,0.8125,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.5555555555555556,0.8333333333333334,0.6470588235294118,0.07926625565959199,0.025925159454345703,5.072707748413086,0.008563351631164551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
7,,0.01,250,720,1,0.7134831460674157,0.6842105263157895,0.8125,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.6470588235294118,0.06969909228588377,0.029628753662109375,7.085878801345825,0.009760236740112305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
8,,0.01,500,90,1,0.7134831460674157,0.6842105263157895,0.8125,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.6470588235294118,0.06969909228588377,0.03333234786987305,7.237330675125122,0.010955405235290528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
9,,0.01,500,180,1,0.7078651685393258,0.6842105263157895,0.8125,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.6470588235294118,0.06656791595385833,0.03703594207763672,7.624481558799744,0.01214585304260254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
10,,0.01,500,360,1,0.7078651685393258,0.6842105263157895,0.8125,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6111111111111112,0.8333333333333334,0.6470588235294118,0.06656791595385833,0.04073953628540039,8.310590457916259,0.013342547416687011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,wine
