,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,technique,dataset
0,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9473684210526315,1.0,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.0,0.8888888888888888,1.0,0.0,0.1,10000,0.01,True,0.3771526339541958,0.002577948570251465,1.3199811935424806,0.0011727571487426757,stand+SDML+kNN,wine
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.8947368421052632,1.0,0.7777777777777778,1.0,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.8888888888888888,1.0,0.8235294117647058,0.1,10000,0.01,False,0.07627845000887637,0.00515589714050293,2.562977838516235,0.0024499893188476562,stand+SDML+kNN,wine
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9473684210526315,1.0,0.8888888888888888,0.9444444444444444,1.0,0.9444444444444444,1.0,0.7777777777777778,1.0,0.8235294117647058,0.1,10000,0.05,True,0.07513100716686112,0.007733845710754394,3.8184338808059692,0.003701472282409668,stand+SDML+kNN,wine
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.0,1.0,0.9444444444444444,0.9444444444444444,0.7777777777777778,0.9444444444444444,0.9444444444444444,0.8333333333333334,1.0,0.8823529411764706,0.1,10000,0.05,False,0.28363471618928393,0.01031179428100586,5.040603733062744,0.004827189445495606,stand+SDML+kNN,wine
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9473684210526315,1.0,0.7777777777777778,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.8888888888888888,1.0,0.9411764705882353,0.1,10000,0.1,True,0.061117452414454446,0.012889742851257324,6.417090845108032,0.006063532829284668,stand+SDML+kNN,wine
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9473684210526315,1.0,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,1.0,0.8235294117647058,0.1,10000,0.1,False,0.048475184222381715,0.015467691421508788,7.740532326698303,0.007294178009033203,stand+SDML+kNN,wine
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9473684210526315,1.0,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.8888888888888888,1.0,0.8823529411764706,0.1,10000,0.25,True,0.05151851502859804,0.018045639991760253,9.024291491508484,0.008513975143432616,stand+SDML+kNN,wine
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9473684210526315,1.0,0.8333333333333334,1.0,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.8888888888888888,1.0,0.8823529411764706,0.1,10000,0.25,False,0.06164532423972462,0.02062358856201172,10.34594659805298,0.009741258621215821,stand+SDML+kNN,wine
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.01,True,0.05499913591218674,0.023201537132263184,37.33608639240265,0.010971999168395996,stand+SDML+kNN,wine
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.01,False,0.05499913591218674,0.02577948570251465,64.36442775726319,0.012212824821472169,stand+SDML+kNN,wine
10,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.05,True,0.05499913591218674,0.028357434272766113,91.32150497436524,0.01343390941619873,stand+SDML+kNN,wine
11,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.05,False,0.05499913591218674,0.030935382843017577,118.38409869670868,0.014641308784484863,stand+SDML+kNN,wine
12,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.1,True,0.05499913591218674,0.033513331413269044,145.17847182750702,0.01585409641265869,stand+SDML+kNN,wine
13,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.1,False,0.05499913591218674,0.036091279983520505,172.20040862560273,0.017086315155029296,stand+SDML+kNN,wine
14,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.25,True,0.05499913591218674,0.03866922855377197,199.20610704421998,0.018288803100585938,stand+SDML+kNN,wine
15,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,1.0,1.0,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,1.0,0.8823529411764706,0.1,100000,0.25,False,0.05499913591218674,0.04124717712402344,227.1389545917511,0.01951179504394531,stand+SDML+kNN,wine
16,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9473684210526315,1.0,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.8888888888888888,1.0,0.8823529411764706,0.25,10000,0.01,True,0.0398239925277766,0.0438251256942749,228.13896262645721,0.020751404762268066,stand+SDML+kNN,wine
17,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0,0.9473684210526315,1.0,0.8333333333333334,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.0,0.25,10000,0.01,False,0.2806097558791551,0.04640307426452637,229.33809695243835,0.02186274528503418,stand+SDML+kNN,wine
