,cmaesfme__s__n_gen,cmaesfme__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,100,full,,1,0.864,0.9523809523809523,0.8333333333333334,0.8412698412698413,0.7777777777777778,0.8412698412698413,0.9047619047619048,0.873015873015873,0.8888888888888888,0.9047619047619048,0.819672131147541,0.048173826101779,0.004157876968383789,26.271234035491943,0.0016133308410644532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,balance-scale
1,100,diagonal,,1,0.7872,0.7936507936507936,0.8,0.7619047619047619,0.8253968253968254,0.7777777777777778,0.7936507936507936,0.7619047619047619,0.8253968253968254,0.7936507936507936,0.7377049180327869,0.02650437739706152,0.008315753936767579,37.65752501487732,0.003094005584716797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,balance-scale
2,250,full,,1,0.8528,0.746031746031746,0.9,0.9682539682539683,0.7777777777777778,0.8571428571428571,0.8412698412698413,0.8888888888888888,0.8095238095238095,0.9047619047619048,0.8360655737704918,0.062363515115854404,0.012473630905151366,105.3054839849472,0.004537057876586914,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,balance-scale
3,250,diagonal,,1,0.7904,0.873015873015873,0.7166666666666667,0.7936507936507936,0.8253968253968254,0.8095238095238095,0.746031746031746,0.7777777777777778,0.8095238095238095,0.8095238095238095,0.7377049180327869,0.044154772562102866,0.016631507873535158,133.94842987060548,0.006010627746582032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,balance-scale
4,500,full,,1,0.8736,0.873015873015873,0.85,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8253968253968254,0.7619047619047619,0.9841269841269841,0.873015873015873,0.8524590163934426,0.055617479996539286,0.020789384841918945,268.6449321985245,0.007458782196044922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,balance-scale
5,500,diagonal,,1,0.7904,0.7936507936507936,0.6333333333333333,0.7936507936507936,0.8095238095238095,0.8412698412698413,0.8095238095238095,0.8571428571428571,0.8095238095238095,0.7619047619047619,0.7868852459016393,0.05800788993364631,0.024947261810302733,326.2647508144379,0.008930110931396484,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,balance-scale
6,100,full,,2,0.8416,0.9365079365079365,0.7666666666666667,0.8095238095238095,0.7777777777777778,0.8253968253968254,0.9047619047619048,0.8253968253968254,0.8253968253968254,0.9206349206349206,0.819672131147541,0.055881361237482705,0.029105138778686524,352.53598484992983,0.010363006591796875,0.9276444444444445,0.9519572953736655,0.9309734513274336,0.9359430604982206,0.8896797153024911,0.9448398576512456,0.8932384341637011,0.9341637010676157,0.9501779359430605,0.9537366548042705,0.8918439716312057,0.02470743918814334,CMAESFme+kNN,balance-scale
7,100,diagonal,,2,0.696,0.7301587301587301,0.65,0.7936507936507936,0.6984126984126984,0.6666666666666666,0.6825396825396826,0.6666666666666666,0.6507936507936508,0.746031746031746,0.6721311475409836,0.044544392502239065,0.033263015747070315,363.9222758293152,0.01184234619140625,0.8832,0.8879003558718861,0.8831858407079646,0.900355871886121,0.8754448398576512,0.8772241992882562,0.8790035587188612,0.8772241992882562,0.8843416370106761,0.8790035587188612,0.8882978723404256,0.0071448738742101395,CMAESFme+kNN,balance-scale
8,250,full,,2,0.8592,0.7777777777777778,0.8833333333333333,0.9206349206349206,0.8253968253968254,0.8412698412698413,0.7936507936507936,0.9047619047619048,0.8888888888888888,0.9206349206349206,0.8360655737704918,0.04900391863542791,0.0374208927154541,431.57023479938505,0.013288640975952148,0.9344,0.895017793594306,0.9469026548672567,0.9715302491103203,0.9234875444839857,0.9359430604982206,0.9252669039145908,0.9217081850533808,0.9448398576512456,0.9519572953736655,0.9273049645390071,0.01979766879104487,CMAESFme+kNN,balance-scale
9,250,diagonal,,2,0.6992,0.7936507936507936,0.6166666666666667,0.746031746031746,0.6825396825396826,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.746031746031746,0.6666666666666666,0.6885245901639344,0.04889955887241098,0.04157876968383789,460.2131806850433,0.014926433563232422,0.8832,0.8772241992882562,0.9079646017699115,0.8754448398576512,0.8701067615658363,0.8843416370106761,0.8825622775800712,0.8825622775800712,0.8718861209964412,0.8843416370106761,0.8953900709219859,0.010773067116084016,CMAESFme+kNN,balance-scale
10,500,full,,2,0.8464,0.8571428571428571,0.8666666666666667,0.873015873015873,0.9047619047619048,0.8253968253968254,0.7142857142857143,0.7777777777777778,0.9523809523809523,0.8571428571428571,0.8360655737704918,0.06220861807867785,0.04573664665222168,594.9096830129623,0.016460227966308593,0.9333333333333333,0.9199288256227758,0.9362831858407079,0.9359430604982206,0.9537366548042705,0.9359430604982206,0.8861209964412812,0.8932384341637011,0.9750889679715302,0.9359430604982206,0.9609929078014184,0.026401324750448502,CMAESFme+kNN,balance-scale
11,500,diagonal,,2,0.7056,0.8253968253968254,0.5666666666666667,0.6666666666666666,0.746031746031746,0.7619047619047619,0.6825396825396826,0.6984126984126984,0.7301587301587301,0.6349206349206349,0.7377049180327869,0.06869078551214204,0.049894523620605466,652.5295016288758,0.01784539222717285,0.8775111111111111,0.8825622775800712,0.8955752212389381,0.8701067615658363,0.8790035587188612,0.8754448398576512,0.8790035587188612,0.8807829181494662,0.8736654804270463,0.8683274021352313,0.8705673758865248,0.007572476992104432,CMAESFme+kNN,balance-scale
12,100,full,,4,0.8784,0.9365079365079365,0.8833333333333333,0.8412698412698413,0.8253968253968254,0.873015873015873,0.8888888888888888,0.873015873015873,0.8888888888888888,0.9206349206349206,0.8524590163934426,0.032130289450212166,0.05405240058898926,678.8007356643677,0.01902494430541992,0.9303111111111111,0.9572953736654805,0.9504424778761061,0.9110320284697508,0.9039145907473309,0.9199288256227758,0.9626334519572953,0.902135231316726,0.9466192170818505,0.9341637010676157,0.9148936170212766,0.02160273838489598,CMAESFme+kNN,balance-scale
13,100,diagonal,,4,0.784,0.7777777777777778,0.8,0.7936507936507936,0.8571428571428571,0.6984126984126984,0.8412698412698413,0.7777777777777778,0.7619047619047619,0.7777777777777778,0.7540983606557377,0.042192995273088424,0.05821027755737305,690.187026643753,0.020215368270874022,0.8593777777777778,0.8736654804270463,0.8973451327433628,0.8879003558718861,0.8594306049822064,0.8167259786476868,0.8718861209964412,0.8327402135231317,0.8238434163701067,0.8612099644128114,0.8687943262411347,0.025493345691898563,CMAESFme+kNN,balance-scale
14,250,full,,4,0.8784,0.7777777777777778,0.8833333333333333,0.9523809523809523,0.9206349206349206,0.9206349206349206,0.8412698412698413,0.873015873015873,0.873015873015873,0.9047619047619048,0.8360655737704918,0.048076589673467424,0.062368154525756836,757.8349856138229,0.021376681327819825,0.9269333333333334,0.8896797153024911,0.9203539823008849,0.9697508896797153,0.9644128113879004,0.9217081850533808,0.900355871886121,0.9306049822064056,0.9306049822064056,0.9323843416370107,0.9095744680851063,0.024001755604279557,CMAESFme+kNN,balance-scale
