,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.01,50,90,1,0.7776,0.7777777777777778,0.7333333333333333,0.8095238095238095,0.7936507936507936,0.746031746031746,0.7777777777777778,0.7936507936507936,0.7936507936507936,0.7777777777777778,0.7704918032786885,0.021904754485990156,0.0045779705047607425,0.41005673408508303,0.0016749143600463868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,balance-scale
1,,0.01,50,180,1,0.7728,0.7301587301587301,0.7166666666666667,0.8095238095238095,0.8253968253968254,0.8571428571428571,0.8095238095238095,0.7777777777777778,0.7777777777777778,0.746031746031746,0.6721311475409836,0.053332465202472305,0.009155941009521485,0.8708531141281128,0.003215599060058594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,balance-scale
2,,0.01,50,360,1,0.7776,0.7936507936507936,0.6833333333333333,0.7619047619047619,0.7936507936507936,0.7777777777777778,0.8412698412698413,0.7619047619047619,0.8412698412698413,0.7777777777777778,0.7377049180327869,0.04426082588843243,0.013733911514282226,1.4518755674362183,0.00474555492401123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,balance-scale
3,,0.01,50,720,1,0.7776,0.7936507936507936,0.6833333333333333,0.8253968253968254,0.7777777777777778,0.7936507936507936,0.7777777777777778,0.7777777777777778,0.8253968253968254,0.7619047619047619,0.7540983606557377,0.038427275867240006,0.01831188201904297,2.7173540592193604,0.006258201599121094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,balance-scale
4,,0.01,250,90,1,0.7888,0.7936507936507936,0.7333333333333333,0.7936507936507936,0.8253968253968254,0.8253968253968254,0.8095238095238095,0.7777777777777778,0.8253968253968254,0.7619047619047619,0.7377049180327869,0.033203619818589866,0.02288985252380371,2.877860188484192,0.007768368721008301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,balance-scale
5,,0.01,250,180,1,0.7808,0.8095238095238095,0.6666666666666666,0.8095238095238095,0.8412698412698413,0.8253968253968254,0.8095238095238095,0.7777777777777778,0.7936507936507936,0.7301587301587301,0.7377049180327869,0.05073306706341374,0.027467823028564452,3.237779712677002,0.009272027015686034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,balance-scale
6,,0.01,250,360,1,0.7872,0.7777777777777778,0.7333333333333333,0.7936507936507936,0.7777777777777778,0.8253968253968254,0.7936507936507936,0.7777777777777778,0.7777777777777778,0.8095238095238095,0.8032786885245902,0.023569913771247536,0.03204579353332519,3.86914439201355,0.01077430248260498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,balance-scale
7,,0.01,250,720,1,0.7968,0.8412698412698413,0.7833333333333333,0.7777777777777778,0.8253968253968254,0.8412698412698413,0.8412698412698413,0.7777777777777778,0.746031746031746,0.7619047619047619,0.7704918032786885,0.03484611346319317,0.03662376403808594,5.240841102600098,0.012279248237609864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,balance-scale
8,,0.01,500,90,1,0.776,0.7777777777777778,0.7166666666666667,0.746031746031746,0.8571428571428571,0.873015873015873,0.7936507936507936,0.746031746031746,0.8253968253968254,0.7142857142857143,0.7049180327868853,0.05738148976215579,0.04120173454284668,5.377496862411499,0.01376948356628418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,balance-scale
9,,0.01,500,180,1,0.7936,0.8095238095238095,0.7833333333333333,0.7777777777777778,0.7777777777777778,0.7619047619047619,0.8095238095238095,0.7936507936507936,0.7936507936507936,0.8253968253968254,0.8032786885245902,0.017951407721717265,0.04577970504760742,5.6846715927124025,0.015268802642822266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,ITML+kNN,balance-scale
