,error,jdeknn__f__n_neighbors,jdeknn__f__weights,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,uniform,100,full,1,0.9504,0.9682539682539683,0.9166666666666666,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9206349206349206,0.9523809523809523,0.9841269841269841,0.9682539682539683,0.9344262295081968,0.020172622326341417,0.002585601806640625,34.58137753009796,0.0016687631607055664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
1,,1,uniform,100,diagonal,1,0.784,0.8253968253968254,0.6833333333333333,0.7936507936507936,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.8095238095238095,0.7777777777777778,0.7777777777777778,0.6885245901639344,0.05332142944251606,0.00517120361328125,42.94022371768951,0.0031958818435668945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
2,,1,uniform,250,full,1,0.96,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.9523809523809523,0.9682539682539683,0.9206349206349206,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9836065573770492,0.02443991788735455,0.007756805419921875,126.94327352046966,0.004691958427429199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
3,,1,uniform,250,diagonal,1,0.7776,0.8253968253968254,0.65,0.7619047619047619,0.8095238095238095,0.8253968253968254,0.8412698412698413,0.7777777777777778,0.7619047619047619,0.746031746031746,0.7704918032786885,0.05240194054761906,0.0103424072265625,147.76750428676604,0.006214427947998047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
4,,1,uniform,500,full,1,0.9648,0.9682539682539683,0.9166666666666666,0.9682539682539683,0.9682539682539683,0.9523809523809523,0.9841269841269841,0.9523809523809523,0.9841269841269841,1.0,0.9508196721311475,0.02200426923986161,0.012928009033203125,314.6464717388153,0.007708597183227539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
5,,1,uniform,500,diagonal,1,0.768,0.7619047619047619,0.6833333333333333,0.7777777777777778,0.8095238095238095,0.8253968253968254,0.8253968253968254,0.746031746031746,0.746031746031746,0.746031746031746,0.7540983606557377,0.04153707559377747,0.01551361083984375,356.2134636878967,0.00921957492828369,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
6,,1,distance,100,full,1,0.9552,0.9682539682539683,0.9166666666666666,0.9682539682539683,0.9682539682539683,0.9682539682539683,0.9047619047619048,0.9365079365079365,0.9682539682539683,0.9682539682539683,0.9836065573770492,0.02491484380731418,0.018099212646484376,390.7984195709229,0.01070106029510498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
7,,1,distance,100,diagonal,1,0.7712,0.746031746031746,0.8,0.746031746031746,0.8253968253968254,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8412698412698413,0.7301587301587301,0.6885245901639344,0.04311920014286334,0.020684814453125,399.36864097118377,0.01221139430999756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
8,,1,distance,250,full,1,0.9552,0.9841269841269841,0.8833333333333333,0.9523809523809523,0.9682539682539683,0.9523809523809523,0.9206349206349206,0.9523809523809523,0.9841269841269841,1.0,0.9508196721311475,0.0320192277964436,0.023270416259765624,485.3739650249481,0.013703107833862305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
9,,1,distance,250,diagonal,1,0.7808,0.7619047619047619,0.7333333333333333,0.7619047619047619,0.8253968253968254,0.7936507936507936,0.7777777777777778,0.7936507936507936,0.7777777777777778,0.8253968253968254,0.7540983606557377,0.02829392725367991,0.02585601806640625,506.7847062587738,0.015233612060546875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
10,,1,distance,500,full,1,0.9568,0.9682539682539683,0.9166666666666666,0.9523809523809523,0.9682539682539683,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.021091502971289096,0.028441619873046876,678.3611863136291,0.016552209854125977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
11,,1,distance,500,diagonal,1,0.768,0.7936507936507936,0.7,0.7619047619047619,0.8253968253968254,0.7619047619047619,0.7777777777777778,0.746031746031746,0.8095238095238095,0.7777777777777778,0.7213114754098361,0.03636797173981937,0.0310272216796875,721.1141565322876,0.017737054824829103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,balance-scale
