,error,jde__s__n_gen,jde__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,100,full,1,0.8848,0.9365079365079365,0.9,0.873015873015873,0.873015873015873,0.8888888888888888,0.8571428571428571,0.873015873015873,0.873015873015873,0.9365079365079365,0.8360655737704918,0.0304803823293553,0.004891037940979004,114.21569969654084,0.0016242504119873048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,balance-scale
1,,100,diagonal,1,0.7776,0.7619047619047619,0.6666666666666666,0.7936507936507936,0.7936507936507936,0.8095238095238095,0.7936507936507936,0.746031746031746,0.7777777777777778,0.8253968253968254,0.8032786885245902,0.04275871910925113,0.009782075881958008,132.10033254623414,0.0031182289123535155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,balance-scale
2,,250,full,1,0.8912,0.9047619047619048,0.8833333333333333,0.873015873015873,0.873015873015873,0.9047619047619048,0.8888888888888888,0.9206349206349206,0.8571428571428571,0.8888888888888888,0.9180327868852459,0.01961637477441396,0.014673113822937012,412.8607545137405,0.0045893192291259766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,balance-scale
3,,250,diagonal,1,0.7552,0.7619047619047619,0.7166666666666667,0.8095238095238095,0.6666666666666666,0.8571428571428571,0.7936507936507936,0.7619047619047619,0.7619047619047619,0.7777777777777778,0.639344262295082,0.06181341694552718,0.019564151763916016,457.14126496315004,0.006086874008178711,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,balance-scale
4,,500,full,1,0.896,0.9365079365079365,0.8666666666666667,0.8412698412698413,0.9206349206349206,0.8888888888888888,0.873015873015873,0.9365079365079365,0.8888888888888888,0.9047619047619048,0.9016393442622951,0.029124441016333512,0.02445518970489502,1015.5423471212387,0.0075750589370727536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,balance-scale
5,,500,diagonal,1,0.7888,0.8253968253968254,0.7,0.746031746031746,0.8095238095238095,0.8253968253968254,0.8253968253968254,0.7619047619047619,0.8412698412698413,0.7936507936507936,0.7540983606557377,0.0434319624800271,0.029346227645874023,1102.600130367279,0.00906212329864502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,balance-scale
6,,100,full,2,0.8592,0.9206349206349206,0.7166666666666667,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.8888888888888888,0.9365079365079365,0.7213114754098361,0.07334571491806377,0.03423726558685303,1216.81583006382,0.010512590408325195,0.9386666666666666,0.9519572953736655,0.9504424778761061,0.9323843416370107,0.9341637010676157,0.9270462633451957,0.9430604982206405,0.9199288256227758,0.9288256227758007,0.9519572953736655,0.9468085106382979,0.011046613962126032,JDE+kNN,balance-scale
7,,100,diagonal,2,0.7136,0.6984126984126984,0.6333333333333333,0.7301587301587301,0.7777777777777778,0.746031746031746,0.7777777777777778,0.6666666666666666,0.7301587301587301,0.7301587301587301,0.639344262295082,0.049495648992441584,0.03912830352783203,1234.700462913513,0.01197972297668457,0.8871111111111111,0.8861209964412812,0.8920353982300885,0.895017793594306,0.8825622775800712,0.8879003558718861,0.8879003558718861,0.8701067615658363,0.8861209964412812,0.8825622775800712,0.900709219858156,0.007780812171508175,JDE+kNN,balance-scale
8,,250,full,2,0.8672,0.8571428571428571,0.8833333333333333,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8888888888888888,0.873015873015873,0.8571428571428571,0.873015873015873,0.8688524590163934,0.011431250935999851,0.044019341468811035,1515.4608848810196,0.013443565368652344,0.9484444444444444,0.9483985765124555,0.9663716814159292,0.9288256227758007,0.9377224199288257,0.9572953736654805,0.9608540925266904,0.9466192170818505,0.9395017793594306,0.9448398576512456,0.9539007092198581,0.010861176161660198,JDE+kNN,balance-scale
9,,250,diagonal,2,0.696,0.7142857142857143,0.5666666666666667,0.746031746031746,0.6507936507936508,0.7619047619047619,0.7619047619047619,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7049180327868853,0.05694425222704009,0.04891037940979004,1559.741395330429,0.014916324615478515,0.8819555555555556,0.895017793594306,0.8778761061946903,0.8754448398576512,0.8843416370106761,0.8772241992882562,0.8807829181494662,0.8843416370106761,0.8807829181494662,0.8790035587188612,0.8847517730496454,0.005317040066645096,JDE+kNN,balance-scale
