,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.9584,0.1,50,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.022466001550911805,0.0034452199935913084,6.404733467102051,0.0017975568771362305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,balance-scale
1,,1,0.9584,0.1,250,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.022466001550911805,0.006890439987182617,36.44008190631867,0.003397369384765625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,balance-scale
2,,1,0.9584,0.1,500,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.022466001550911805,0.010335659980773926,96.43984491825104,0.004968500137329102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,balance-scale
3,,1,0.96,0.1,1000,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9508196721311475,0.02124163016568996,0.013780879974365234,217.23014295101166,0.0065241575241088865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,balance-scale
4,,1,0.9584,0.01,50,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.022466001550911805,0.017226099967956543,223.17605900764465,0.008087968826293946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,balance-scale
5,,1,0.9584,0.01,250,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.022466001550911805,0.020671319961547852,253.03307971954345,0.00960996150970459,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,balance-scale
6,,1,0.9584,0.01,500,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.022466001550911805,0.02411653995513916,313.09288637638093,0.011146926879882812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,balance-scale
7,,1,0.96,0.01,1000,0.9841269841269841,0.9166666666666666,0.9682539682539683,0.9523809523809523,0.9682539682539683,0.9365079365079365,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9508196721311475,0.02124163016568996,0.027561759948730467,432.85039205551146,0.012993574142456055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,balance-scale
8,,2,0.9536,0.1,50,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.9365079365079365,0.9523809523809523,0.9523809523809523,0.9365079365079365,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.022617625643339676,0.031006979942321777,439.2551255226135,0.014605545997619629,0.9802666666666666,0.9768683274021353,0.9858407079646018,0.9804270462633452,0.9822064056939501,0.9804270462633452,0.9839857651245552,0.9786476868327402,0.9768683274021353,0.9768683274021353,0.9804964539007093,0.0029331824718805324,NCA+kNN,balance-scale
9,,2,0.9552,0.1,250,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.9365079365079365,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.021925413792996624,0.034452199935913086,469.2904739618301,0.016085147857666016,0.9800888888888889,0.9768683274021353,0.9858407079646018,0.9804270462633452,0.9804270462633452,0.9804270462633452,0.9839857651245552,0.9786476868327402,0.9786476868327402,0.9750889679715302,0.9804964539007093,0.00297159008544362,NCA+kNN,balance-scale
10,,2,0.9552,0.1,500,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.9365079365079365,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.021925413792996624,0.03789741992950439,529.2902369737625,0.01757509708404541,0.9804444444444445,0.9768683274021353,0.9858407079646018,0.9804270462633452,0.9804270462633452,0.9804270462633452,0.9839857651245552,0.9786476868327402,0.9786476868327402,0.9786476868327402,0.9804964539007093,0.002532543543782088,NCA+kNN,balance-scale
11,,2,0.9536,0.1,1000,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.9206349206349206,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.023705432211273005,0.041342639923095705,650.0805350065232,0.019049978256225585,0.9808,0.9786476868327402,0.9858407079646018,0.9804270462633452,0.9822064056939501,0.9804270462633452,0.9839857651245552,0.9786476868327402,0.9786476868327402,0.9768683274021353,0.9822695035460993,0.002633035223596754,NCA+kNN,balance-scale
12,,2,0.9536,0.01,50,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.9365079365079365,0.9523809523809523,0.9523809523809523,0.9365079365079365,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.022617625643339676,0.04478785991668701,656.0264510631562,0.020517992973327636,0.9802666666666666,0.9768683274021353,0.9858407079646018,0.9804270462633452,0.9822064056939501,0.9804270462633452,0.9839857651245552,0.9786476868327402,0.9768683274021353,0.9768683274021353,0.9804964539007093,0.0029331824718805324,NCA+kNN,balance-scale
13,,2,0.9552,0.01,250,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.9365079365079365,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.021925413792996624,0.04823307991027832,685.8834717750549,0.02197890281677246,0.9800888888888889,0.9768683274021353,0.9858407079646018,0.9804270462633452,0.9804270462633452,0.9804270462633452,0.9839857651245552,0.9786476868327402,0.9786476868327402,0.9750889679715302,0.9804964539007093,0.00297159008544362,NCA+kNN,balance-scale
14,,2,0.9552,0.01,500,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.9365079365079365,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.021925413792996624,0.05167829990386963,745.9432784318924,0.02343571186065674,0.9804444444444445,0.9768683274021353,0.9858407079646018,0.9804270462633452,0.9804270462633452,0.9804270462633452,0.9839857651245552,0.9786476868327402,0.9786476868327402,0.9786476868327402,0.9804964539007093,0.002532543543782088,NCA+kNN,balance-scale
15,,2,0.9536,0.01,1000,0.9841269841269841,0.9166666666666666,0.9523809523809523,0.9206349206349206,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9841269841269841,0.9841269841269841,0.9344262295081968,0.023705432211273005,0.055123519897460935,865.7007841110229,0.024909615516662598,0.9808,0.9786476868327402,0.9858407079646018,0.9804270462633452,0.9822064056939501,0.9804270462633452,0.9839857651245552,0.9786476868327402,0.9786476868327402,0.9768683274021353,0.9822695035460993,0.002633035223596754,NCA+kNN,balance-scale
