,cmaes__f__n_neighbors,cmaes__s__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,4,250,triangular,,1,0.9296,0.9841269841269841,0.9,0.9682539682539683,0.9523809523809523,0.9206349206349206,0.8571428571428571,0.9365079365079365,0.8888888888888888,0.9523809523809523,0.9344262295081968,0.036660719927480254,0.001951289176940918,13.504037284851075,0.0014010429382324218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,balance-scale
1,4,500,triangular,,1,0.9232,0.9523809523809523,0.8166666666666667,0.9523809523809523,0.9206349206349206,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.9841269841269841,0.9523809523809523,0.8852459016393442,0.04537690948836815,0.003902578353881836,49.1540221452713,0.0024021148681640627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,balance-scale
2,4,1000,triangular,,1,0.9152,0.9206349206349206,0.8333333333333334,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.9206349206349206,0.873015873015873,0.8888888888888888,1.0,0.9508196721311475,0.04392307926687813,0.005853867530822754,118.08829386234284,0.0035027980804443358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,balance-scale
3,8,250,triangular,,1,0.8592,0.9206349206349206,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7619047619047619,0.8253968253968254,0.9047619047619048,0.9841269841269841,0.7213114754098361,0.07564582119989599,0.007805156707763672,148.083394241333,0.004253768920898437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,balance-scale
4,8,500,triangular,,1,0.888,0.9206349206349206,0.9166666666666666,0.9206349206349206,0.9682539682539683,0.7936507936507936,0.8571428571428571,0.7936507936507936,0.9841269841269841,0.8571428571428571,0.8688524590163934,0.06221526610146448,0.00975644588470459,187.52023422718048,0.0051546812057495115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,balance-scale
5,8,1000,triangular,,1,0.9088,0.9682539682539683,0.9,0.9206349206349206,0.9682539682539683,0.9682539682539683,0.9206349206349206,0.873015873015873,0.8888888888888888,0.7936507936507936,0.8852459016393442,0.0514323331543116,0.011707735061645509,263.762202334404,0.006255292892456054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,balance-scale
6,4,250,triangular,,2,0.9088,0.9841269841269841,0.8666666666666667,0.9365079365079365,0.9365079365079365,0.8888888888888888,0.8571428571428571,0.873015873015873,0.8888888888888888,0.9365079365079365,0.9180327868852459,0.038182955920722926,0.013659024238586425,277.2662396192551,0.007155752182006836,0.9637333333333333,0.9804270462633452,0.9575221238938053,0.9750889679715302,0.9804270462633452,0.9537366548042705,0.9555160142348754,0.9466192170818505,0.9590747330960854,0.9483985765124555,0.9804964539007093,0.01312669043295661,stand+CMAES+kNN,balance-scale
7,4,500,triangular,,2,0.9104,0.9365079365079365,0.7666666666666667,0.9365079365079365,0.9206349206349206,0.9206349206349206,0.9047619047619048,0.9365079365079365,0.9523809523809523,0.9523809523809523,0.8688524590163934,0.053094043197456586,0.015610313415527344,312.9162244796753,0.008157157897949218,0.9576888888888889,0.9519572953736655,0.9398230088495575,0.9555160142348754,0.9537366548042705,0.9608540925266904,0.9555160142348754,0.9786476868327402,0.9697508896797153,0.9555160142348754,0.9556737588652482,0.00990286032820232,stand+CMAES+kNN,balance-scale
8,4,1000,triangular,,2,0.9088,0.9365079365079365,0.8333333333333334,0.9365079365079365,0.9206349206349206,0.9047619047619048,0.9047619047619048,0.8571428571428571,0.9206349206349206,0.9682539682539683,0.9016393442622951,0.037143599912084595,0.01756160259246826,381.8504961967468,0.00955805778503418,0.9548444444444445,0.9412811387900356,0.9415929203539823,0.9572953736654805,0.9341637010676157,0.9750889679715302,0.9501779359430605,0.9608540925266904,0.9608540925266904,0.9750889679715302,0.9521276595744681,0.01309326595083797,stand+CMAES+kNN,balance-scale
9,8,250,triangular,,2,0.8256,0.8412698412698413,0.65,0.873015873015873,0.8888888888888888,0.8888888888888888,0.7619047619047619,0.7619047619047619,0.8888888888888888,1.0,0.6885245901639344,0.10131567039815025,0.01951289176940918,411.845596575737,0.010659027099609374,0.9269333333333334,0.9501779359430605,0.8849557522123894,0.9377224199288257,0.9341637010676157,0.9608540925266904,0.8772241992882562,0.9181494661921709,0.9377224199288257,0.9733096085409253,0.8953900709219859,0.030711582654349576,stand+CMAES+kNN,balance-scale
