,error,knn__n_neighbors,lmnn__k,lmnn__learn_rate,lmnn__max_iter,lmnn__regularization,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,1,1e-07,50,0.1,0.7776,0.7936507936507936,0.7,0.8095238095238095,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.7619047619047619,0.8253968253968254,0.7301587301587301,0.7704918032786885,0.03661399596793638,0.0039089441299438475,0.5647422313690186,0.0017386674880981445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
1,,1,1,1e-07,50,0.5,0.7888,0.7936507936507936,0.7333333333333333,0.8095238095238095,0.7777777777777778,0.8253968253968254,0.8412698412698413,0.7619047619047619,0.7936507936507936,0.7777777777777778,0.7704918032786885,0.02990983765903217,0.007817888259887695,0.8666557550430298,0.0033272743225097657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
2,,1,1,1e-07,50,0.9,0.7968,0.8412698412698413,0.7,0.7936507936507936,0.8095238095238095,0.8571428571428571,0.7619047619047619,0.8253968253968254,0.7936507936507936,0.7777777777777778,0.8032786885245902,0.041962045395874226,0.011726832389831543,1.2262004375457765,0.004908919334411621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
3,,1,1,1e-07,250,0.1,0.8016,0.8412698412698413,0.7166666666666667,0.8095238095238095,0.7936507936507936,0.873015873015873,0.8253968253968254,0.7777777777777778,0.7936507936507936,0.7777777777777778,0.8032786885245902,0.039723130999399864,0.01563577651977539,1.9052612781524658,0.006631207466125488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
4,,1,1,1e-07,250,0.5,0.7904,0.8253968253968254,0.6833333333333333,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7936507936507936,0.8095238095238095,0.7777777777777778,0.7704918032786885,0.03883244781395647,0.01954472064971924,2.6024149894714355,0.008206439018249512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
5,,1,1,1e-07,250,0.9,0.7872,0.8571428571428571,0.7,0.7936507936507936,0.8095238095238095,0.8253968253968254,0.7777777777777778,0.746031746031746,0.7619047619047619,0.7936507936507936,0.8032786885245902,0.0414934561211973,0.023453664779663087,3.2963858366012575,0.009772133827209473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
6,,1,1,1e-07,500,0.1,0.8016,0.8253968253968254,0.75,0.7936507936507936,0.8095238095238095,0.8095238095238095,0.7777777777777778,0.8253968253968254,0.8253968253968254,0.8095238095238095,0.7868852459016393,0.023229601740546453,0.027362608909606935,4.319740962982178,0.011356186866760255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
7,,1,1,1e-07,500,0.5,0.7984,0.8095238095238095,0.75,0.7777777777777778,0.8253968253968254,0.8412698412698413,0.7619047619047619,0.8095238095238095,0.8412698412698413,0.7777777777777778,0.7868852459016393,0.030510398961875154,0.03127155303955078,5.3396470785140995,0.01292123794555664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
8,,1,1,1e-07,500,0.9,0.7952,0.8095238095238095,0.7833333333333333,0.8095238095238095,0.7777777777777778,0.8253968253968254,0.7936507936507936,0.7936507936507936,0.8095238095238095,0.7619047619047619,0.7868852459016393,0.017759937478117167,0.03518049716949463,6.441696095466614,0.014484357833862305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
9,,1,1,1e-07,1000,0.1,0.8112,0.8095238095238095,0.7,0.7936507936507936,0.9206349206349206,0.8412698412698413,0.8095238095238095,0.8253968253968254,0.8095238095238095,0.7936507936507936,0.8032786885245902,0.05111872041475342,0.03908944129943848,8.054462933540345,0.016048598289489745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
10,,1,1,1e-07,1000,0.5,0.8,0.8253968253968254,0.7,0.8253968253968254,0.7936507936507936,0.8095238095238095,0.8095238095238095,0.7777777777777778,0.8571428571428571,0.7936507936507936,0.8032786885245902,0.039140441709198386,0.04299838542938232,9.737460064888001,0.017627358436584473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
11,,1,1,1e-07,1000,0.9,0.784,0.8095238095238095,0.75,0.8095238095238095,0.7936507936507936,0.8571428571428571,0.8253968253968254,0.7936507936507936,0.7619047619047619,0.7301587301587301,0.7049180327868853,0.043986491244454626,0.04690732955932617,11.364658856391907,0.019219446182250976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,balance-scale
