,error,knn__n_neighbors,lsml__max_iter,lsml__num_constraints,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,50,90,0.7856,0.7936507936507936,0.8166666666666667,0.7936507936507936,0.8412698412698413,0.7619047619047619,0.8412698412698413,0.7777777777777778,0.7619047619047619,0.7777777777777778,0.6885245901639344,0.042381260191950716,0.004957127571105957,0.16422734260559083,0.0007101774215698242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
1,,1,50,180,0.7696,0.7777777777777778,0.6833333333333333,0.7619047619047619,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8412698412698413,0.8412698412698413,0.7619047619047619,0.6885245901639344,0.04966866732556638,0.009914255142211914,0.2934462070465088,0.001368236541748047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
2,,1,50,360,0.7792,0.7936507936507936,0.7333333333333333,0.7936507936507936,0.7936507936507936,0.7777777777777778,0.8253968253968254,0.8095238095238095,0.7619047619047619,0.7301587301587301,0.7704918032786885,0.02926658315153727,0.01487138271331787,0.45842416286468507,0.002022862434387207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
3,,1,50,720,0.792,0.8253968253968254,0.7333333333333333,0.7619047619047619,0.7777777777777778,0.8253968253968254,0.8095238095238095,0.7936507936507936,0.7936507936507936,0.7619047619047619,0.8360655737704918,0.03152825143932766,0.01982851028442383,0.6535354852676392,0.0026795387268066405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
4,,1,250,90,0.8016,0.8095238095238095,0.7333333333333333,0.7777777777777778,0.8412698412698413,0.8571428571428571,0.7936507936507936,0.8253968253968254,0.7301587301587301,0.7619047619047619,0.8852459016393442,0.04924934035291018,0.024785637855529785,0.7133631467819214,0.0033356189727783204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
5,,1,250,180,0.7696,0.7936507936507936,0.6833333333333333,0.7777777777777778,0.7777777777777778,0.8253968253968254,0.8095238095238095,0.7619047619047619,0.7936507936507936,0.746031746031746,0.7213114754098361,0.040475976119522986,0.02974276542663574,0.7705230712890625,0.003991770744323731,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
6,,1,250,360,0.7776,0.8095238095238095,0.6833333333333333,0.8253968253968254,0.7777777777777778,0.8253968253968254,0.8253968253968254,0.7777777777777778,0.7936507936507936,0.7142857142857143,0.7377049180327869,0.047553799720023895,0.0346998929977417,0.8411048173904419,0.004650187492370605,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
7,,1,250,720,0.784,0.8095238095238095,0.7166666666666667,0.746031746031746,0.7936507936507936,0.7936507936507936,0.8412698412698413,0.7936507936507936,0.7936507936507936,0.746031746031746,0.8032786885245902,0.03477326561944369,0.03965702056884766,0.9642490148544312,0.005312395095825195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
8,,1,500,90,0.7776,0.7936507936507936,0.7666666666666667,0.7936507936507936,0.7777777777777778,0.7777777777777778,0.7619047619047619,0.7777777777777778,0.8253968253968254,0.746031746031746,0.7540983606557377,0.02171286903188344,0.04461414813995361,1.0115538358688354,0.005968141555786133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
9,,1,500,180,0.7792,0.7777777777777778,0.6833333333333333,0.7777777777777778,0.8253968253968254,0.8253968253968254,0.8253968253968254,0.7777777777777778,0.7936507936507936,0.746031746031746,0.7540983606557377,0.041874934870746526,0.04957127571105957,1.066686987876892,0.006626391410827636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
10,,1,500,360,0.768,0.7142857142857143,0.6833333333333333,0.7777777777777778,0.8253968253968254,0.7777777777777778,0.8253968253968254,0.7936507936507936,0.8253968253968254,0.7777777777777778,0.6721311475409836,0.05483380771460235,0.05452840328216553,1.1328496217727662,0.007286620140075683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
11,,1,500,720,0.7936,0.7936507936507936,0.7333333333333333,0.8253968253968254,0.7936507936507936,0.8095238095238095,0.8412698412698413,0.8095238095238095,0.7619047619047619,0.7301587301587301,0.8360655737704918,0.0377559793803566,0.05948553085327148,1.2299309730529786,0.00794360637664795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
12,,1,1000,90,0.7808,0.7936507936507936,0.75,0.746031746031746,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.7936507936507936,0.7777777777777778,0.7301587301587301,0.7868852459016393,0.027519936517653436,0.06444265842437744,1.266111922264099,0.008600330352783203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
13,,1,1000,180,0.7968,0.8095238095238095,0.7666666666666667,0.7777777777777778,0.8571428571428571,0.7936507936507936,0.8571428571428571,0.7777777777777778,0.8253968253968254,0.8095238095238095,0.6885245901639344,0.04667644540793759,0.0693997859954834,1.3095984220504762,0.009261059761047363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
14,,1,1000,360,0.7968,0.7619047619047619,0.8166666666666667,0.7777777777777778,0.7777777777777778,0.8412698412698413,0.8095238095238095,0.8412698412698413,0.7619047619047619,0.7777777777777778,0.8032786885245902,0.028415566507340003,0.07435691356658936,1.3824404954910279,0.009917950630187989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
15,,1,1000,720,0.7872,0.7936507936507936,0.6833333333333333,0.7777777777777778,0.8412698412698413,0.7936507936507936,0.8253968253968254,0.8095238095238095,0.7936507936507936,0.7619047619047619,0.7868852459016393,0.04064516026826523,0.07931404113769532,1.5325436353683473,0.01057727336883545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LSML+kNN,balance-scale
16,,2,50,90,0.7232,0.6984126984126984,0.6666666666666666,0.746031746031746,0.7777777777777778,0.7142857142857143,0.7619047619047619,0.7142857142857143,0.746031746031746,0.7301587301587301,0.6721311475409836,0.03484726376089754,0.08427116870880128,1.696770977973938,0.011231112480163574,0.8890666666666667,0.8861209964412812,0.8955752212389381,0.8879003558718861,0.8754448398576512,0.891459074733096,0.8879003558718861,0.8896797153024911,0.896797153024911,0.8843416370106761,0.8953900709219859,0.006062044756385909,stand+LSML+kNN,balance-scale
17,,2,50,180,0.7168,0.7301587301587301,0.65,0.7301587301587301,0.7619047619047619,0.746031746031746,0.746031746031746,0.6984126984126984,0.6984126984126984,0.7142857142857143,0.6885245901639344,0.03169057195727823,0.08922829627990722,1.825989842414856,0.01187882423400879,0.8871111111111111,0.8825622775800712,0.8884955752212389,0.8896797153024911,0.8825622775800712,0.8861209964412812,0.8896797153024911,0.8879003558718861,0.8825622775800712,0.8879003558718861,0.8936170212765957,0.0034891370103955223,stand+LSML+kNN,balance-scale
18,,2,50,360,0.7184,0.7301587301587301,0.6166666666666667,0.7301587301587301,0.746031746031746,0.746031746031746,0.7619047619047619,0.6825396825396826,0.6825396825396826,0.7142857142857143,0.7704918032786885,0.04398555176363322,0.09418542385101318,1.9909677982330323,0.01253054141998291,0.8903111111111112,0.8896797153024911,0.9008849557522124,0.8843416370106761,0.895017793594306,0.8879003558718861,0.8807829181494662,0.8879003558718861,0.896797153024911,0.8985765124555161,0.8812056737588653,0.006824198162638225,stand+LSML+kNN,balance-scale
19,,2,50,720,0.7136,0.7301587301587301,0.5666666666666667,0.7777777777777778,0.7142857142857143,0.7936507936507936,0.7777777777777778,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.6721311475409836,0.06358160339105451,0.09914255142211914,2.1860791206359864,0.013182711601257325,0.8906666666666667,0.8861209964412812,0.9008849557522124,0.8843416370106761,0.8879003558718861,0.8754448398576512,0.8932384341637011,0.895017793594306,0.8932384341637011,0.9039145907473309,0.8865248226950354,0.0079326006059526,stand+LSML+kNN,balance-scale
20,,2,250,90,0.7232,0.7142857142857143,0.6166666666666667,0.7777777777777778,0.746031746031746,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.746031746031746,0.746031746031746,0.6721311475409836,0.04659680730428525,0.1040996789932251,2.2459067821502687,0.013839030265808105,0.8858666666666667,0.891459074733096,0.8920353982300885,0.891459074733096,0.8790035587188612,0.8701067615658363,0.8896797153024911,0.8843416370106761,0.8843416370106761,0.8896797153024911,0.8865248226950354,0.006559293561103096,stand+LSML+kNN,balance-scale
