,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.9513590844062947,0.1,50,0.9577464788732394,0.9710144927536232,0.9571428571428572,0.9142857142857143,0.9285714285714286,1.0,0.9285714285714286,0.9142857142857143,0.9714285714285714,0.9710144927536232,0.027208538932666195,0.003570222854614258,88.18069219589233,0.0008784294128417969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,breast-cancer-wisconsin
1,,1,0.9370529327610873,0.1,250,0.9577464788732394,0.9565217391304348,0.9428571428571428,0.8857142857142857,0.9285714285714286,0.9714285714285714,0.9285714285714286,0.9142857142857143,0.9714285714285714,0.9130434782608695,0.026605696474852343,0.007140445709228516,532.9633606433869,0.0016453266143798828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,breast-cancer-wisconsin
2,,1,0.9370529327610873,0.1,500,0.971830985915493,0.9420289855072463,0.9428571428571428,0.8857142857142857,0.9285714285714286,0.9714285714285714,0.9285714285714286,0.9142857142857143,0.9714285714285714,0.9130434782608695,0.02739635296705439,0.010710668563842774,1435.3960999011992,0.0024042129516601562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,breast-cancer-wisconsin
3,,1,0.9370529327610873,0.1,1000,0.9577464788732394,0.9420289855072463,0.9428571428571428,0.8857142857142857,0.9285714285714286,0.9714285714285714,0.9285714285714286,0.9142857142857143,0.9714285714285714,0.927536231884058,0.024976931794737995,0.014280891418457032,3230.802899646759,0.003152894973754883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,breast-cancer-wisconsin
4,,1,0.9513590844062947,0.01,50,0.9577464788732394,0.9710144927536232,0.9571428571428572,0.9142857142857143,0.9285714285714286,1.0,0.9285714285714286,0.9142857142857143,0.9714285714285714,0.9710144927536232,0.027208538932666195,0.01785111427307129,3321.899944806099,0.00391082763671875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,breast-cancer-wisconsin
5,,1,0.9370529327610873,0.01,250,0.9577464788732394,0.9565217391304348,0.9428571428571428,0.8857142857142857,0.9285714285714286,0.9714285714285714,0.9285714285714286,0.9142857142857143,0.9714285714285714,0.9130434782608695,0.026605696474852343,0.021421337127685548,3766.5274008274077,0.004949378967285156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,breast-cancer-wisconsin
6,,1,0.9370529327610873,0.01,500,0.971830985915493,0.9420289855072463,0.9428571428571428,0.8857142857142857,0.9285714285714286,0.9714285714285714,0.9285714285714286,0.9142857142857143,0.9714285714285714,0.9130434782608695,0.02739635296705439,0.024991559982299804,4655.665772557259,0.0056939363479614254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,breast-cancer-wisconsin
7,,1,0.9370529327610873,0.01,1000,0.9577464788732394,0.9420289855072463,0.9428571428571428,0.8857142857142857,0.9285714285714286,0.9714285714285714,0.9285714285714286,0.9142857142857143,0.9714285714285714,0.927536231884058,0.024976931794737995,0.028561782836914063,6164.779606127739,0.006451988220214843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NCA+kNN,breast-cancer-wisconsin
8,,2,0.9384835479256081,0.1,50,0.971830985915493,0.9420289855072463,0.9571428571428572,0.8857142857142857,0.9285714285714286,0.9714285714285714,0.9142857142857143,0.9142857142857143,0.9571428571428572,0.9420289855072463,0.026406074056805038,0.03213200569152832,6252.960298323631,0.007182931900024414,0.9933237958989032,0.9936305732484076,0.9936507936507937,0.9984101748807631,0.9984101748807631,0.9888712241653418,0.9841017488076311,0.9904610492845787,1.0,0.9936406995230525,0.9920634920634921,0.004596421460391381,NCA+kNN,breast-cancer-wisconsin
9,,2,0.9298998569384835,0.1,250,0.9436619718309859,0.9420289855072463,0.9428571428571428,0.8857142857142857,0.9142857142857143,0.9714285714285714,0.9285714285714286,0.9142857142857143,0.9571428571428572,0.8985507246376812,0.02528971378913522,0.03570222854614258,6697.742966771126,0.00791623592376709,0.99793355587347,0.9968152866242038,0.9984126984126984,0.9984101748807631,1.0,0.9968203497615262,0.9968203497615262,0.9984101748807631,1.0,0.9968203497615262,0.9968253968253968,0.0012417937694098559,NCA+kNN,breast-cancer-wisconsin
