,cmaes__f__n_neighbors,cmaes__s__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,4,250,triangular,,1,0.9570815450643777,0.9436619718309859,0.9710144927536232,0.9857142857142858,0.9142857142857143,0.9571428571428572,0.9857142857142858,0.9571428571428572,0.9142857142857143,0.9857142857142858,0.9565217391304348,0.025489185949258093,0.001601099967956543,36.34992260932923,0.0007507801055908203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer
1,4,500,triangular,,1,0.9456366237482118,0.9577464788732394,0.9710144927536232,0.9142857142857143,0.9285714285714286,0.9714285714285714,0.9857142857142858,0.9428571428571428,0.9,0.9714285714285714,0.9130434782608695,0.028555535029453842,0.003202199935913086,111.43614211082459,0.001801443099975586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer
2,4,1000,triangular,,1,0.9513590844062947,0.9154929577464789,0.9710144927536232,0.9428571428571428,0.9285714285714286,0.9857142857142858,0.9857142857142858,0.9428571428571428,0.9428571428571428,0.9857142857142858,0.9130434782608695,0.02723556426982402,0.004803299903869629,262.670340681076,0.0029022693634033203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer
3,8,250,triangular,,1,0.9513590844062947,0.9436619718309859,0.9710144927536232,0.9428571428571428,0.9285714285714286,0.9714285714285714,0.9857142857142858,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9130434782608695,0.022458410162797003,0.006404399871826172,303.13466300964353,0.0039028644561767576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer
4,8,500,triangular,,1,0.9542203147353362,0.9577464788732394,0.9565217391304348,0.9714285714285714,0.9571428571428572,0.9571428571428572,0.9714285714285714,0.9714285714285714,0.8857142857142857,0.9571428571428572,0.9565217391304348,0.023727829627311264,0.008005499839782715,383.93832473754884,0.0048035383224487305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer
5,8,1000,triangular,,1,0.9527896995708155,0.9859154929577465,0.9855072463768116,0.9142857142857143,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9142857142857143,0.9428571428571428,0.9714285714285714,0.927536231884058,0.026476646334583895,0.009606599807739258,522.216533279419,0.005754351615905762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,breast-cancer
6,4,250,triangular,,2,0.9313304721030042,0.9154929577464789,0.9565217391304348,0.9571428571428572,0.9,0.9,0.9571428571428572,0.9285714285714286,0.9,0.9857142857142858,0.9130434782608695,0.029090197280090026,0.0112076997756958,558.5664558887481,0.006554865837097168,0.9798124304562073,0.9792993630573248,0.9793650793650793,0.9825119236883942,0.9809220985691574,0.9793322734499205,0.9713831478537361,0.9841017488076311,0.9809220985691574,0.9841017488076311,0.9761904761904762,0.003625076010184988,CMAES+kNN,breast-cancer
7,4,500,triangular,,2,0.9313304721030042,0.9295774647887324,0.9420289855072463,0.9142857142857143,0.9142857142857143,0.9571428571428572,0.9714285714285714,0.9285714285714286,0.9,0.9571428571428572,0.8985507246376812,0.023880345449996215,0.012808799743652344,633.6526753902435,0.0074554443359375,0.9766332856461611,0.9729299363057324,0.9793650793650793,0.9793322734499205,0.9761526232114467,0.9666136724960255,0.9682034976152624,0.985691573926868,0.9777424483306836,0.9809220985691574,0.9793650793650793,0.005561352885169981,CMAES+kNN,breast-cancer
8,4,1000,triangular,,2,0.9298998569384835,0.8732394366197183,0.9420289855072463,0.9142857142857143,0.9285714285714286,0.9857142857142858,0.9571428571428572,0.9428571428571428,0.9142857142857143,0.9857142857142858,0.855072463768116,0.04072664714453971,0.014409899711608887,784.886873960495,0.008355808258056641,0.9798124304562073,0.9761146496815286,0.9793650793650793,0.9777424483306836,0.9809220985691574,0.9904610492845787,0.9745627980922098,0.9793322734499205,0.9793322734499205,0.9825119236883942,0.9777777777777777,0.004150057761604222,CMAES+kNN,breast-cancer
9,8,250,triangular,,2,0.944206008583691,0.9577464788732394,0.9420289855072463,0.9285714285714286,0.9285714285714286,0.9714285714285714,0.9714285714285714,0.9571428571428572,0.9285714285714286,0.9571428571428572,0.8985507246376812,0.02196040090943108,0.01601099967956543,825.3511962890625,0.009256505966186523,0.9764743284056588,0.9713375796178344,0.9825396825396825,0.9682034976152624,0.9777424483306836,0.9761526232114467,0.972972972972973,0.9809220985691574,0.9841017488076311,0.9682034976152624,0.9825396825396825,0.005733304037582672,CMAES+kNN,breast-cancer
10,8,500,triangular,,2,0.949928469241774,0.9577464788732394,0.927536231884058,0.9857142857142858,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.9571428571428572,0.9,0.9714285714285714,0.9565217391304348,0.024211883691182195,0.017612099647521973,906.1548580169678,0.010260820388793945,0.9758384994436496,0.9729299363057324,0.9746031746031746,0.9745627980922098,0.9809220985691574,0.972972972972973,0.9618441971383148,0.985691573926868,0.972972972972973,0.9793322734499205,0.9825396825396825,0.006355426914507536,CMAES+kNN,breast-cancer
11,8,1000,triangular,,2,0.9356223175965666,0.9154929577464789,0.9420289855072463,0.9142857142857143,0.9285714285714286,0.9714285714285714,0.9571428571428572,0.9142857142857143,0.9142857142857143,0.9714285714285714,0.927536231884058,0.02225846033489772,0.019213199615478516,1044.433066558838,0.011161732673645019,0.9810840883802258,0.9777070063694268,0.9746031746031746,0.9825119236883942,0.9825119236883942,0.9825119236883942,0.9809220985691574,0.9777424483306836,0.9904610492845787,0.9777424483306836,0.9841269841269841,0.004231654933495341,CMAES+kNN,breast-cancer
12,4,250,triangular,,4,0.9599427753934192,0.9436619718309859,0.9710144927536232,0.9857142857142858,0.9285714285714286,0.9571428571428572,1.0,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9420289855072463,0.02371808204464005,0.02081429958343506,1080.7829891681672,0.012062478065490722,0.9761564139246542,0.9777070063694268,0.9698412698412698,0.9777424483306836,0.9745627980922098,0.9761526232114467,0.9697933227344993,0.9793322734499205,0.9809220985691574,0.972972972972973,0.9825396825396825,0.004141348692756904,CMAES+kNN,breast-cancer
