,cmaes__f__n_neighbors,cmaes__s__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,4,250,triangular,,1,0.9470672389127325,0.9154929577464789,0.9565217391304348,0.9428571428571428,0.9428571428571428,0.9857142857142858,0.9857142857142858,0.9285714285714286,0.9142857142857143,0.9714285714285714,0.927536231884058,0.025496293375555378,0.002351069450378418,36.522057271003725,0.0011005878448486328,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,breast-cancer
1,4,500,triangular,,1,0.9470672389127325,0.8873239436619719,0.927536231884058,0.9714285714285714,0.9428571428571428,0.9571428571428572,1.0,0.9428571428571428,0.9285714285714286,0.9571428571428572,0.9565217391304348,0.028312526372920623,0.004702138900756836,112.21377432346344,0.0021515607833862303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,breast-cancer
2,4,1000,triangular,,1,0.9613733905579399,0.9436619718309859,0.9710144927536232,0.9285714285714286,1.0,0.9714285714285714,0.9857142857142858,0.9714285714285714,0.9428571428571428,0.9857142857142858,0.9130434782608695,0.02653379622605468,0.007053208351135254,267.22446291446687,0.0031019926071166994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,breast-cancer
3,8,250,triangular,,1,0.9556509298998569,0.9436619718309859,0.9565217391304348,0.9428571428571428,0.9428571428571428,0.9714285714285714,0.9857142857142858,1.0,0.8714285714285714,0.9714285714285714,0.9710144927536232,0.03342124653247756,0.009404277801513672,310.85723168849944,0.0043027400970458984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,breast-cancer
4,8,500,triangular,,1,0.944206008583691,0.9577464788732394,0.9710144927536232,0.9285714285714286,0.9142857142857143,0.9714285714285714,1.0,0.9285714285714286,0.9142857142857143,0.9857142857142858,0.8695652173913043,0.03785434279135992,0.01175534725189209,396.34538214206697,0.005303430557250977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,breast-cancer
5,8,1000,triangular,,1,0.9642346208869814,0.971830985915493,0.9855072463768116,0.9571428571428572,0.9571428571428572,0.9857142857142858,1.0,0.9428571428571428,0.9428571428571428,0.9571428571428572,0.9420289855072463,0.019515965084584405,0.014106416702270507,547.078257060051,0.006304597854614258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,breast-cancer
6,4,250,triangular,,2,0.9399141630901288,0.9295774647887324,0.9565217391304348,0.9428571428571428,0.9142857142857143,0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9285714285714286,0.9714285714285714,0.8840579710144928,0.025668067879454852,0.016457486152648925,583.6003143310547,0.007405996322631836,0.978063900810682,0.9713375796178344,0.9841269841269841,0.9777424483306836,0.9793322734499205,0.9793322734499205,0.972972972972973,0.9825119236883942,0.9761526232114467,0.9745627980922098,0.9825396825396825,0.004086207886410004,stand+CMAES+kNN,breast-cancer
7,4,500,triangular,,2,0.9341917024320457,0.9295774647887324,0.927536231884058,0.9428571428571428,0.9142857142857143,0.9285714285714286,0.9857142857142858,0.9285714285714286,0.9142857142857143,0.9571428571428572,0.9130434782608695,0.02150561908298895,0.018808555603027344,659.2920313835144,0.00850694179534912,0.9772691146081705,0.9729299363057324,0.9777777777777777,0.9825119236883942,0.985691573926868,0.9713831478537361,0.972972972972973,0.985691573926868,0.972972972972973,0.9793322734499205,0.9714285714285714,0.005462387160262487,stand+CMAES+kNN,breast-cancer
8,4,1000,triangular,,2,0.9456366237482118,0.9014084507042254,0.9565217391304348,0.9285714285714286,0.9714285714285714,0.9571428571428572,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9857142857142858,0.8985507246376812,0.027690126485843427,0.02115962505340576,814.3027199745178,0.009607172012329102,0.9826736607852488,0.9777070063694268,0.9904761904761905,0.9793322734499205,0.9825119236883942,0.9872813990461049,0.9777424483306836,0.9841017488076311,0.9920508744038156,0.9745627980922098,0.9809523809523809,0.005486407747479922,stand+CMAES+kNN,breast-cancer
9,8,250,triangular,,2,0.9384835479256081,0.9014084507042254,0.9565217391304348,0.9142857142857143,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.9857142857142858,0.9,0.9428571428571428,0.9420289855072463,0.02689160024437818,0.02351069450378418,857.9354887485504,0.010507678985595703,0.9731362263551104,0.9761146496815286,0.9714285714285714,0.9761526232114467,0.9697933227344993,0.972972972972973,0.9602543720190779,0.972972972972973,0.9809220985691574,0.9777424483306836,0.973015873015873,0.005290631210435315,stand+CMAES+kNN,breast-cancer
10,8,500,triangular,,2,0.9184549356223176,0.8873239436619719,0.9130434782608695,0.9285714285714286,0.8857142857142857,0.9571428571428572,0.9857142857142858,0.9285714285714286,0.9,0.9428571428571428,0.855072463768116,0.03639917052537205,0.0258617639541626,943.4236392021179,0.011456823348999024,0.979176601494198,0.9856687898089171,0.9714285714285714,0.9793322734499205,0.9904610492845787,0.9825119236883942,0.9713831478537361,0.9745627980922098,0.9888712241653418,0.9745627980922098,0.973015873015873,0.006898697783467868,stand+CMAES+kNN,breast-cancer
11,8,1000,triangular,,2,0.9513590844062947,0.9436619718309859,0.9710144927536232,0.9428571428571428,0.9285714285714286,0.9571428571428572,1.0,0.9428571428571428,0.9142857142857143,0.9714285714285714,0.9420289855072463,0.023179900329791094,0.028212833404541015,1094.156514120102,0.01230759620666504,0.9756795422031473,0.9777070063694268,0.9761904761904762,0.9745627980922098,0.9745627980922098,0.972972972972973,0.9761526232114467,0.9697933227344993,0.9777424483306836,0.9777424483306836,0.9793650793650793,0.0026675297175428533,stand+CMAES+kNN,breast-cancer
12,4,250,triangular,,4,0.9556509298998569,0.9577464788732394,0.9565217391304348,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.9857142857142858,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.927536231884058,0.017603049995568887,0.030563902854919434,1130.6785713911056,0.013208413124084472,0.9763153711651565,0.9745222929936306,0.9809523809523809,0.972972972972973,0.972972972972973,0.9761526232114467,0.9825119236883942,0.9761526232114467,0.9777424483306836,0.9713831478537361,0.9777777777777777,0.0033765732747660124,stand+CMAES+kNN,breast-cancer
13,4,500,triangular,,4,0.9613733905579399,0.9436619718309859,0.9710144927536232,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9857142857142858,0.9571428571428572,0.9285714285714286,0.9571428571428572,0.9565217391304348,0.015613251084140974,0.03291497230529785,1206.3702884435654,0.014009237289428711,0.9783818152916866,0.9792993630573248,0.9793650793650793,0.9777424483306836,0.9825119236883942,0.9809220985691574,0.9697933227344993,0.9793322734499205,0.9809220985691574,0.9841017488076311,0.9698412698412698,0.0046098316548285195,stand+CMAES+kNN,breast-cancer
14,4,1000,triangular,,4,0.9556509298998569,0.9295774647887324,0.9710144927536232,0.9285714285714286,0.9428571428571428,0.9714285714285714,0.9857142857142858,0.9571428571428572,0.9428571428571428,0.9857142857142858,0.9420289855072463,0.020544678476128963,0.03526604175567627,1361.3809770345688,0.014909887313842773,0.979653473215705,0.982484076433121,0.9777777777777777,0.9777424483306836,0.972972972972973,0.9841017488076311,0.9809220985691574,0.9841017488076311,0.9777424483306836,0.972972972972973,0.9857142857142858,0.004312886696970242,stand+CMAES+kNN,breast-cancer
15,8,250,triangular,,4,0.9570815450643777,0.9436619718309859,0.9710144927536232,0.9571428571428572,0.9285714285714286,0.9857142857142858,0.9857142857142858,0.9714285714285714,0.9285714285714286,0.9571428571428572,0.9420289855072463,0.020179083928009805,0.03761711120605469,1405.0137458086015,0.01581099033355713,0.9721824829120966,0.9713375796178344,0.973015873015873,0.9682034976152624,0.9666136724960255,0.9809220985691574,0.9634340222575517,0.9682034976152624,0.9793322734499205,0.9745627980922098,0.9761904761904762,0.005383777027073299,stand+CMAES+kNN,breast-cancer
16,8,500,triangular,,4,0.9570815450643777,0.9436619718309859,0.9710144927536232,0.9857142857142858,0.9285714285714286,0.9571428571428572,1.0,0.9571428571428572,0.9142857142857143,0.9857142857142858,0.927536231884058,0.02715348274347463,0.03996818065643311,1490.5018962621689,0.016761422157287598,0.9736130980766174,0.9761146496815286,0.9682539682539683,0.972972972972973,0.9777424483306836,0.9761526232114467,0.9650238473767886,0.9682034976152624,0.9825119236883942,0.9713831478537361,0.9777777777777777,0.005132580715677181,stand+CMAES+kNN,breast-cancer
17,8,1000,triangular,,4,0.9599427753934192,0.971830985915493,0.9855072463768116,0.9571428571428572,0.9571428571428572,0.9571428571428572,1.0,0.9428571428571428,0.9285714285714286,0.9714285714285714,0.927536231884058,0.022093329874877644,0.04231925010681152,1641.2347711801528,0.0176621675491333,0.9720235256715943,0.9665605095541401,0.9682539682539683,0.9713831478537361,0.9777424483306836,0.9697933227344993,0.9761526232114467,0.9682034976152624,0.9825119236883942,0.972972972972973,0.9666666666666667,0.00503378597562005,stand+CMAES+kNN,breast-cancer
18,4,250,triangular,,8,0.9599427753934192,0.9577464788732394,0.9710144927536232,0.9714285714285714,0.9571428571428572,0.9571428571428572,0.9857142857142858,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9420289855072463,0.0154402327207735,0.04467031955718994,1677.7568284511567,0.01866304874420166,0.9750437132411381,0.9777070063694268,0.9777777777777777,0.9745627980922098,0.9713831478537361,0.9777424483306836,0.9761526232114467,0.9777424483306836,0.9713831478537361,0.972972972972973,0.973015873015873,0.0025650559492479226,stand+CMAES+kNN,breast-cancer
19,4,500,triangular,,8,0.9628040057224606,0.9436619718309859,0.9710144927536232,0.9714285714285714,0.9714285714285714,0.9571428571428572,1.0,0.9571428571428572,0.9285714285714286,0.9714285714285714,0.9565217391304348,0.018209737252469282,0.04702138900756836,1753.4485455036163,0.019563627243041993,0.9756795422031473,0.9713375796178344,0.9793650793650793,0.9713831478537361,0.9825119236883942,0.9713831478537361,0.9682034976152624,0.9777424483306836,0.9825119236883942,0.9761526232114467,0.9761904761904762,0.004725974721888643,stand+CMAES+kNN,breast-cancer
20,4,1000,triangular,,8,0.9642346208869814,0.971830985915493,0.9710144927536232,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.9857142857142858,0.9714285714285714,0.9285714285714286,0.9857142857142858,0.9420289855072463,0.018448906413426405,0.04937245845794678,1908.4592340946197,0.020464134216308594,0.9740899697981243,0.9681528662420382,0.973015873015873,0.9713831478537361,0.972972972972973,0.9745627980922098,0.9761526232114467,0.9761526232114467,0.9761526232114467,0.972972972972973,0.9793650793650793,0.0029502384693078417,stand+CMAES+kNN,breast-cancer
21,8,250,triangular,,8,0.9642346208869814,0.9577464788732394,0.9710144927536232,0.9714285714285714,0.9571428571428572,0.9857142857142858,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9571428571428572,0.9565217391304348,0.011496817523656321,0.0517235279083252,1952.0920028686523,0.021415400505065917,0.973454140836115,0.9761146496815286,0.9746031746031746,0.9666136724960255,0.9777424483306836,0.9745627980922098,0.9682034976152624,0.9697933227344993,0.9777424483306836,0.9761526232114467,0.973015873015873,0.0037635568885133856,stand+CMAES+kNN,breast-cancer
22,8,500,triangular,,8,0.9628040057224606,0.971830985915493,0.9710144927536232,0.9714285714285714,0.9285714285714286,0.9714285714285714,1.0,0.9714285714285714,0.9428571428571428,0.9857142857142858,0.9130434782608695,0.02515208809259901,0.05407459735870361,2037.5801533222198,0.02226583957672119,0.9713876967095851,0.9665605095541401,0.9714285714285714,0.9713831478537361,0.972972972972973,0.972972972972973,0.9697933227344993,0.9666136724960255,0.9745627980922098,0.9745627980922098,0.973015873015873,0.0027654375692243364,stand+CMAES+kNN,breast-cancer
23,8,1000,triangular,,8,0.9613733905579399,0.971830985915493,0.9710144927536232,0.9571428571428572,0.9571428571428572,0.9571428571428572,1.0,0.9571428571428572,0.9428571428571428,0.9714285714285714,0.927536231884058,0.018316123093653675,0.05642566680908203,2188.313028240204,0.02326676845550537,0.9725003973931012,0.9713375796178344,0.9698412698412698,0.9745627980922098,0.9745627980922098,0.9697933227344993,0.9713831478537361,0.972972972972973,0.9745627980922098,0.9713831478537361,0.9746031746031746,0.0018882092124824308,stand+CMAES+kNN,breast-cancer
