,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,10,0,0,0,0,0,0,0,0,0,0,0.0,0.006650781631469727,0.12636830806732177,0.0021590232849121095,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.013301563262939454,0.16072919368743896,0.004078412055969238,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,100,0,0,0,0,0,0,0,0,0,0,0.0,0.01995234489440918,0.2149362802505493,0.005970644950866699,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.026603126525878908,0.41355066299438475,0.007912468910217286,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
4,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.03325390815734863,0.8010061025619507,0.009740281105041503,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
5,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,2,10,0,0,0,0,0,0,0,0,0,0,0.0,0.03990468978881836,0.8336738824844361,0.011607956886291505,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,2,50,0,0,0,0,0,0,0,0,0,0,0.0,0.04655547142028808,0.8730620384216309,0.013815975189208985,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
7,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,2,100,0,0,0,0,0,0,0,0,0,0,0.0,0.053206253051757815,0.9327942132949829,0.016025090217590333,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
8,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,2,500,0,0,0,0,0,0,0,0,0,0,0.0,0.05985703468322754,1.200356125831604,0.018313169479370117,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
9,Cascading:low >= high,1,0,2,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.06650781631469727,1.2932678937911988,0.018313169479370117,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
10,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,3,10,0,0,0,0,0,0,0,0,0,0,0.0,0.073158597946167,1.320104455947876,0.020536136627197266,0,0,0,0,0,0,0,0,0,0,0,0.0,RCA+kNN,digits10
