,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.01,True,0.0,0.0065718889236450195,1.3684606075286865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits10
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9823594266813671,0.9783783783783784,0.0,0.9726775956284153,0.988950276243094,0.0,0.0,0.9776536312849162,0.994413407821229,0.0,0.0,0.1,10000,0.01,False,0.49123994683003797,0.013143777847290039,2.9648241281509398,0.003737211227416992,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,SDML+kNN,digits10
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.05,True,0.0,0.01971566677093506,4.003260755538941,0.003737211227416992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits10
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9728562615669339,0.9783783783783784,0.0,0.9562841530054644,0.9723756906077348,0.9833333333333333,0.9832402234636871,0.9553072625698324,0.9832402234636871,0.9662921348314607,0.9774011299435028,0.1,10000,0.05,False,0.2920334411221298,0.026287555694580078,6.022167730331421,0.01008460521697998,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,SDML+kNN,digits10
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.1,True,0.0,0.0328594446182251,7.074995684623718,0.01008460521697998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits10
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9746757257566399,0.9837837837837838,1.0,0.9836065573770492,0.9723756906077348,0.9611111111111111,0.9720670391061452,0.9553072625698324,1.0,0.0,0.943502824858757,0.1,10000,0.1,False,0.2929023767725149,0.03943133354187012,8.748255205154418,0.01652350425720215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.30000000000000004,SDML+kNN,digits10
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.25,True,0.0,0.04600322246551514,9.674908137321472,0.01652350425720215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits10
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9713493530499075,0.9675675675675676,0.0,0.9344262295081968,0.0,0.9777777777777777,0.0,0.0,0.9832402234636871,0.9775280898876404,0.9887005649717514,0.1,10000,0.25,False,0.47615497934540774,0.052575111389160156,10.978754138946533,0.020875310897827147,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4898979485566356,SDML+kNN,digits10
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100000,0.01,True,0.0,0.059147000312805176,17.00014910697937,0.020875310897827147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits10
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9650837988826816,0.0,0.0,0.0,0.0,0.9777777777777777,0.0,0.9497206703910615,0.9720670391061452,0.9606741573033708,0.0,0.1,100000,0.01,False,0.47283008450750924,0.0657188892364502,23.83103804588318,0.023679161071777345,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.48989794855663565,SDML+kNN,digits10
10,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100000,0.05,True,0.0,0.07229077816009521,30.174349236488343,0.023679161071777345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SDML+kNN,digits10
