,cmaesfme__s__n_gen,cmaesfme__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,50,full,,1,0.9671675013912076,0.9837837837837838,0.9772727272727273,0.9726775956284153,0.9613259668508287,0.9611111111111111,0.9497206703910615,0.9608938547486033,0.9776536312849162,0.9550561797752809,0.9717514124293786,0.01049175132596751,0.010253000259399413,2200.527800655365,0.008585453033447266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,digits10
1,50,diagonal,,1,0.9571508069003896,0.9837837837837838,0.9659090909090909,0.9617486338797814,0.9281767955801105,0.9444444444444444,0.9162011173184358,0.9497206703910615,0.9888268156424581,0.9831460674157303,0.9491525423728814,0.022985368126781324,0.020506000518798827,2328.4934874534606,0.02514493465423584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,digits10
2,100,full,,1,0.9688369504730105,0.9891891891891892,1.0,0.9672131147540983,0.9668508287292817,0.9555555555555556,0.9553072625698324,0.9553072625698324,0.9664804469273743,0.9662921348314607,0.9661016949152542,0.013978345606822823,0.030759000778198244,6681.652137470245,0.033012104034423825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,digits10
3,100,diagonal,,1,0.9532554257095158,0.9513513513513514,0.9829545454545454,0.9562841530054644,0.9502762430939227,0.9722222222222222,0.9385474860335196,0.9162011173184358,0.9776536312849162,0.9606741573033708,0.9265536723163842,0.02053311352069392,0.041012001037597653,6947.388513946533,0.0482485294342041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,digits10
4,250,full,,1,0.9654980523094046,0.972972972972973,0.9829545454545454,0.9617486338797814,0.9834254143646409,0.9722222222222222,0.9441340782122905,0.9608938547486033,0.9664804469273743,0.9550561797752809,0.9548022598870056,0.012013633496105042,0.05126500129699707,16567.31541662216,0.055495166778564455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,digits10
5,250,diagonal,,1,0.9543683917640512,0.972972972972973,0.9715909090909091,0.9453551912568307,0.9558011049723757,0.9444444444444444,0.9497206703910615,0.9441340782122905,0.9553072625698324,0.9606741573033708,0.943502824858757,0.010533587539521837,0.06151800155639649,17234.945475697517,0.0713231086730957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAESFme+kNN,digits10
6,50,full,,2,0.9515859766277128,0.9621621621621622,0.9772727272727273,0.9508196721311475,0.9392265193370166,0.9555555555555556,0.9441340782122905,0.9497206703910615,0.9664804469273743,0.9213483146067416,0.9491525423728814,0.014635091445050355,0.0717710018157959,19435.47327635288,0.07589936256408691,0.9829345204971248,0.9826302729528535,0.9808760024676126,0.9851301115241635,0.9808168316831684,0.9839208410636983,0.9851668726823238,0.9833127317676144,0.9833127317676144,0.9833230389129092,0.9808641975308642,0.0015593196474040856,stand+CMAESFme+kNN,digits10
7,50,diagonal,,2,0.9276572064552031,0.9459459459459459,0.9318181818181818,0.9344262295081968,0.8950276243093923,0.9277777777777778,0.8770949720670391,0.9106145251396648,0.9720670391061452,0.9550561797752809,0.9265536723163842,0.02652066974693536,0.08202400207519531,19563.438963150977,0.08284955024719239,0.9721758486366165,0.9789081885856079,0.9636027143738433,0.9770755885997522,0.969059405940594,0.9746444032158318,0.9555006180469716,0.9734239802224969,0.9777503090234858,0.9796170475602224,0.9722222222222222,0.007243656517658071,stand+CMAESFme+kNN,digits10
8,100,full,,2,0.9582637729549248,0.9513513513513514,1.0,0.9562841530054644,0.9558011049723757,0.9444444444444444,0.9497206703910615,0.9553072625698324,0.9720670391061452,0.9382022471910112,0.96045197740113,0.01634032418901219,0.09227700233459472,23916.597613167763,0.0859675645828247,0.9825017003648056,0.9838709677419355,0.9845774213448488,0.9838909541511772,0.9801980198019802,0.9802102659245516,0.9789864029666254,0.984548825710754,0.9826946847960445,0.9833230389129092,0.9827160493827161,0.0018967597691348281,stand+CMAESFme+kNN,digits10
9,100,diagonal,,2,0.9398998330550918,0.9243243243243243,0.9545454545454546,0.9344262295081968,0.9558011049723757,0.9444444444444444,0.9385474860335196,0.9217877094972067,0.9664804469273743,0.949438202247191,0.9096045197740112,0.016750320117060537,0.10253000259399414,24182.333989644052,0.09298532009124756,0.9726705002164101,0.9733250620347395,0.9765576804441702,0.9646840148698885,0.9709158415841584,0.9758812615955473,0.977132262051916,0.9728059332509271,0.9777503090234858,0.9715873996294009,0.9660493827160493,0.004283138826071793,stand+CMAESFme+kNN,digits10
10,250,full,,2,0.9577072899276572,0.9567567567567568,0.9715909090909091,0.9562841530054644,0.9779005524861878,0.95,0.9441340782122905,0.9664804469273743,0.9553072625698324,0.9550561797752809,0.943502824858757,0.01067056339325581,0.11278300285339356,33802.26089231968,0.09622266292572021,0.9827490261547023,0.9851116625310173,0.9771745835903763,0.9826517967781908,0.9839108910891089,0.9839208410636983,0.9820766378244746,0.9839307787391842,0.9802224969097652,0.9870290302655961,0.9814814814814815,0.002598962381484955,stand+CMAESFme+kNN,digits10
