,cmaes__c__n_neighbors,cmaes__c__weights,cmaes__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,1,uniform,50,full,,1,0.9749582637729549,0.9837837837837838,0.9943181818181818,0.9726775956284153,0.9668508287292817,0.9611111111111111,0.9664804469273743,0.994413407821229,0.9664804469273743,0.9775280898876404,0.9661016949152542,0.011500701574220538,0.010866069793701172,1320.127714776993,0.003290081024169922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
1,1,uniform,50,diagonal,,1,0.9782971619365609,0.972972972972973,0.9943181818181818,0.9562841530054644,0.9779005524861878,0.9833333333333333,0.9720670391061452,0.9720670391061452,0.994413407821229,0.9831460674157303,0.9774011299435028,0.010755012967858196,0.021732139587402343,1351.3386944293975,0.01056983470916748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
2,1,uniform,100,full,,1,0.9721758486366165,0.9621621621621622,0.9886363636363636,0.9672131147540983,0.9723756906077348,0.9777777777777777,0.9664804469273743,0.9608938547486033,0.9832402234636871,0.9719101123595506,0.9717514124293786,0.008423884377718243,0.03259820938110351,3944.0167458534243,0.013865137100219726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
3,1,uniform,100,diagonal,,1,0.9777406789092933,0.9675675675675676,1.0,0.9453551912568307,0.9723756906077348,0.9833333333333333,0.9776536312849162,0.9720670391061452,1.0,0.9719101123595506,0.9887005649717514,0.015457677036100813,0.043464279174804686,4007.911362671852,0.021086502075195312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
4,1,uniform,250,full,,1,0.9699499165275459,0.9675675675675676,0.9829545454545454,0.9726775956284153,0.9558011049723757,0.9833333333333333,0.9608938547486033,0.9664804469273743,0.9776536312849162,0.9775280898876404,0.9548022598870056,0.010009066292966017,0.05433034896850586,10503.483051753044,0.02440149784088135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
5,1,uniform,250,diagonal,,1,0.9782971619365609,0.9891891891891892,0.9829545454545454,0.9672131147540983,0.9723756906077348,0.9777777777777777,0.9664804469273743,0.9776536312849162,0.994413407821229,0.9662921348314607,0.9887005649717514,0.009750129632001905,0.06519641876220703,10661.745687913895,0.03157331943511963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
6,1,distance,50,full,,1,0.9693934335002783,0.9837837837837838,0.9886363636363636,0.9672131147540983,0.9613259668508287,0.9722222222222222,0.9608938547486033,0.9776536312849162,0.9664804469273743,0.9606741573033708,0.9548022598870056,0.010455111382472843,0.0760624885559082,11955.246331834793,0.03487939834594726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
7,1,distance,50,diagonal,,1,0.9705063995548135,0.9675675675675676,0.9943181818181818,0.9672131147540983,0.9668508287292817,0.9555555555555556,0.9608938547486033,0.9553072625698324,0.9832402234636871,0.9662921348314607,0.9887005649717514,0.012874977630005177,0.08692855834960937,11979.92979812622,0.04223031997680664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
8,1,distance,100,full,,1,0.9721758486366165,0.9783783783783784,0.9886363636363636,0.9617486338797814,0.9668508287292817,0.9833333333333333,0.9553072625698324,0.9664804469273743,0.9888268156424581,0.9550561797752809,0.9774011299435028,0.01218857398486869,0.09779462814331055,14511.662132692338,0.0455322265625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
9,1,distance,100,diagonal,,1,0.9760712298274903,0.972972972972973,0.9943181818181818,0.9781420765027322,0.9723756906077348,0.9666666666666667,0.9720670391061452,0.9664804469273743,0.994413407821229,0.9775280898876404,0.9661016949152542,0.009974444187690739,0.10866069793701172,14562.851655459404,0.05283575057983399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
10,1,distance,250,full,,1,0.9721758486366165,0.972972972972973,0.9829545454545454,0.9781420765027322,0.9723756906077348,0.9666666666666667,0.9720670391061452,0.9664804469273743,0.9832402234636871,0.9719101123595506,0.9548022598870056,0.00799739018354276,0.11952676773071289,21099.215628528596,0.056145238876342776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
11,1,distance,250,diagonal,,1,0.9777406789092933,0.9837837837837838,0.9943181818181818,0.9617486338797814,0.9668508287292817,0.9888888888888889,0.9720670391061452,0.9608938547486033,0.9888268156424581,0.9775280898876404,0.9830508474576272,0.011300754672088631,0.13039283752441405,21238.302600407602,0.06342060565948486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
12,4,uniform,50,full,,1,0.9755147468002225,0.9837837837837838,0.9943181818181818,0.9672131147540983,0.9779005524861878,0.9777777777777777,0.9776536312849162,0.9720670391061452,0.9664804469273743,0.9775280898876404,0.96045197740113,0.009114259168250496,0.14125890731811525,22517.748981738092,0.0667046070098877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
13,4,uniform,50,diagonal,,1,0.9777406789092933,0.972972972972973,0.9886363636363636,0.9781420765027322,0.9834254143646409,0.9888888888888889,0.9720670391061452,0.9776536312849162,0.9664804469273743,0.9775280898876404,0.9717514124293786,0.007022193663367634,0.1521249771118164,22543.26944463253,0.07402849197387695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,digits10
