,error,itml__gamma,itml__max_iters,itml__num_constraints,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.01,50,1000,1,0.9610461880912632,0.9783783783783784,0.9829545454545454,0.9617486338797814,0.9502762430939227,0.9444444444444444,0.9497206703910615,0.9608938547486033,0.9720670391061452,0.9550561797752809,0.9548022598870056,0.012235600114171755,0.009850120544433594,15.505746817588806,0.007335829734802246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,digits10
1,,0.01,50,2000,1,0.9582637729549248,0.9783783783783784,0.9715909090909091,0.9562841530054644,0.9502762430939227,0.9444444444444444,0.9497206703910615,0.9608938547486033,0.9720670391061452,0.9438202247191011,0.9548022598870056,0.011540886432505035,0.019700241088867188,46.44139518737793,0.014018607139587403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,digits10
2,,0.01,50,4000,1,0.9560378408458542,0.9783783783783784,0.9772727272727273,0.9562841530054644,0.9502762430939227,0.9444444444444444,0.9441340782122905,0.9553072625698324,0.9664804469273743,0.9438202247191011,0.943502824858757,0.012943488036625546,0.02955036163330078,125.47374436855316,0.017270398139953614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,digits10
3,,0.01,50,8000,1,0.9499165275459098,0.9621621621621622,0.9772727272727273,0.9453551912568307,0.9447513812154696,0.9388888888888889,0.9441340782122905,0.9553072625698324,0.9553072625698324,0.9438202247191011,0.9322033898305084,0.0122877473755346,0.039400482177734376,397.66896386146544,0.02033979892730713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,digits10
4,,0.01,250,1000,1,0.9627156371730662,0.9837837837837838,0.9772727272727273,0.9672131147540983,0.9502762430939227,0.9444444444444444,0.9553072625698324,0.9664804469273743,0.9664804469273743,0.9550561797752809,0.96045197740113,0.01145244881883858,0.04925060272216797,411.0461169958115,0.02341606616973877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,digits10
5,,0.01,250,2000,1,0.9593767390094602,0.9837837837837838,0.9772727272727273,0.9562841530054644,0.9502762430939227,0.9444444444444444,0.9497206703910615,0.9608938547486033,0.9720670391061452,0.949438202247191,0.9491525423728814,0.01300462102940534,0.05910072326660156,441.70553891658784,0.026568055152893066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,digits10
6,,0.01,250,4000,1,0.9577072899276572,0.9783783783783784,0.9772727272727273,0.9508196721311475,0.9502762430939227,0.9444444444444444,0.9497206703910615,0.9553072625698324,0.9720670391061452,0.949438202247191,0.9491525423728814,0.012271794278698242,0.06895084381103515,516.6640545129776,0.029604387283325196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,digits10
7,,0.01,250,8000,1,0.9499165275459098,0.9675675675675676,0.9772727272727273,0.9453551912568307,0.9447513812154696,0.9444444444444444,0.9441340782122905,0.9553072625698324,0.9553072625698324,0.9382022471910112,0.9265536723163842,0.01382731345392263,0.07880096435546875,782.6040463209152,0.03264460563659668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,digits10
8,,0.01,500,1000,1,0.9610461880912632,0.9837837837837838,0.9772727272727273,0.9562841530054644,0.9502762430939227,0.95,0.9497206703910615,0.9608938547486033,0.9720670391061452,0.9606741573033708,0.9491525423728814,0.011967963018756151,0.08865108489990234,795.4018189668656,0.03569273948669434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,digits10
9,,0.01,500,2000,1,0.9565943238731218,0.9783783783783784,0.9772727272727273,0.9508196721311475,0.9502762430939227,0.9444444444444444,0.9441340782122905,0.9608938547486033,0.9608938547486033,0.949438202247191,0.9491525423728814,0.011924092560314308,0.09850120544433594,825.3665196895599,0.03878531455993652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+ITML+kNN,digits10
