,error,knn__n_neighbors,mean,rca__chunk_size,rca__num_chunks,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,10,0,0,0,0,0,0,0,0,0,0,0.0,0.011094164848327637,0.13901267051696778,0.0025937795639038087,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.022188329696655275,0.1722940683364868,0.004604697227478027,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,100,0,0,0,0,0,0,0,0,0,0,0.0,0.03328249454498291,0.22387909889221191,0.0065140962600708004,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.04437665939331055,0.39387667179107666,0.008550047874450684,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
4,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.055470824241638184,0.7774131774902344,0.01059567928314209,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
5,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,2,10,0,0,0,0,0,0,0,0,0,0,0.0,0.06656498908996582,0.8124898910522461,0.012750720977783203,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,2,50,0,0,0,0,0,0,0,0,0,0,0.0,0.07765915393829345,0.8766874551773072,0.015805554389953614,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
7,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,2,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0887533187866211,0.9318722724914551,0.019239592552185058,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
8,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,2,500,0,0,0,0,0,0,0,0,0,0,0.0,0.09984748363494873,1.1176498889923097,0.022727179527282714,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
9,Cascading:low >= high,1,0,2,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.11094164848327637,1.2032521486282348,0.022727179527282714,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
10,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,3,10,0,0,0,0,0,0,0,0,0,0,0.0,0.122035813331604,1.2246798276901245,0.02590653896331787,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
11,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,3,50,0,0,0,0,0,0,0,0,0,0,0.0,0.13312997817993164,1.2595861196517943,0.028841662406921386,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
12,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,3,100,0,0,0,0,0,0,0,0,0,0,0.0,0.14422414302825928,1.3077766180038453,0.031480717658996585,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
13,Cascading:low >= high,1,0,3,500,0,0,0,0,0,0,0,0,0,0,0.0,0.1553183078765869,1.3731086254119873,0.031480717658996585,0,0,0,0,0,0,0,0,0,0,0,0.0,stand+RCA+kNN,digits10
