,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,25,diagonal,1,0.9935364727608494,1.0,0.9905660377358491,1.0,1.0,0.9907407407407407,0.9907407407407407,0.9907407407407407,0.9722222222222222,1.0,1.0,0.008339319430983384,0.004585361480712891,1035.269043970108,0.002225446701049805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,digits6
1,,1,100,diagonal,1,0.9907663896583564,1.0,0.9905660377358491,0.990990990990991,0.981651376146789,0.9907407407407407,0.9907407407407407,0.9814814814814815,0.9907407407407407,1.0,0.9905660377358491,0.005830449055438404,0.009170722961425782,5134.305963563919,0.004442834854125976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,digits6
2,,4,25,diagonal,1,0.9935364727608494,0.9910714285714286,1.0,0.9819819819819819,0.9908256880733946,1.0,1.0,0.9907407407407407,0.9907407407407407,1.0,0.9905660377358491,0.005817765364399093,0.013756084442138671,6382.576640486717,0.006734991073608398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,digits6
3,,4,100,diagonal,1,0.9935364727608494,1.0,1.0,0.9819819819819819,1.0,1.0,0.9907407407407407,0.9814814814814815,1.0,1.0,0.9811320754716981,0.008313707276774288,0.018341445922851564,11132.691013264655,0.009036970138549805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,digits6
4,,8,25,diagonal,1,0.9944598337950139,1.0,0.9905660377358491,0.9819819819819819,1.0,1.0,0.9814814814814815,0.9907407407407407,1.0,1.0,1.0,0.007329975510968047,0.022926807403564453,12484.842042350769,0.011435174942016601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,digits6
5,,8,100,diagonal,1,0.9944598337950139,1.0,1.0,0.972972972972973,1.0,1.0,0.9907407407407407,1.0,0.9814814814814815,1.0,1.0,0.009267000254134359,0.027512168884277342,17035.853968834876,0.01371314525604248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,digits6
6,,1,25,diagonal,2,0.9916897506925207,1.0,0.9905660377358491,0.990990990990991,1.0,0.9814814814814815,1.0,0.9907407407407407,0.9814814814814815,1.0,0.9811320754716981,0.007737888242640792,0.03209753036499023,18071.123012804987,0.01574249267578125,0.9974351082384323,0.9979402677651905,0.9959058341862845,0.9989711934156379,0.997946611909651,0.9969230769230769,0.997948717948718,0.997948717948718,0.9969230769230769,0.9979508196721312,0.9959058341862845,0.0009418928435348699,JDEkNN+kNN,digits6
7,,1,100,diagonal,2,0.9907663896583564,1.0,1.0,0.972972972972973,0.981651376146789,1.0,0.9907407407407407,0.9907407407407407,0.9907407407407407,1.0,0.9811320754716981,0.009129838252118161,0.03668289184570313,22170.159932398798,0.017839741706848145,0.9966143428747307,0.995880535530381,0.9979529170931423,0.9948559670781894,0.9948665297741273,0.9969230769230769,0.9969230769230769,0.997948717948718,0.997948717948718,0.9948770491803278,0.9979529170931423,0.0013053232652412766,JDEkNN+kNN,digits6
8,,4,25,diagonal,2,0.9916897506925207,0.9910714285714286,1.0,0.9819819819819819,0.9908256880733946,1.0,1.0,0.9907407407407407,0.9814814814814815,1.0,0.9811320754716981,0.007669245582687754,0.04126825332641602,23418.430609321593,0.02005774974822998,0.9967169385451934,0.9969104016477858,0.9959058341862845,0.9989711934156379,0.997946611909651,0.9969230769230769,0.9938461538461538,0.997948717948718,0.9989743589743589,0.992827868852459,0.9969293756397134,0.001932774626721292,JDEkNN+kNN,digits6
9,,4,100,diagonal,2,0.9926131117266851,1.0,1.0,0.963963963963964,1.0,1.0,0.9907407407407407,0.9907407407407407,1.0,0.9906542056074766,0.9905660377358491,0.01052907903853443,0.045853614807128906,28168.544982099535,0.02227191925048828,0.9963065558633426,0.9989701338825953,0.9979529170931423,0.992798353909465,0.997946611909651,0.9958974358974358,0.9948717948717949,0.9958974358974358,0.997948717948718,0.9959016393442623,0.9948822927328557,0.001791225675219421,JDEkNN+kNN,digits6
