,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,sdml__balance_param,sdml__num_constraints,sdml__sparsity_param,sdml__use_cov,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.01,True,0.0,0.008953380584716796,1.2586336851119995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+SDML+kNN,digits6
1,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9889908256880734,1.0,1.0,0.9819819819819819,0.0,0.0,0.9907407407407407,0.0,0.9722222222222222,0.0,0.0,0.1,10000,0.01,False,0.49455270971149606,0.017906761169433592,3.3831594705581667,0.002766108512878418,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,stand+SDML+kNN,digits6
2,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.05,True,0.0,0.026860141754150392,4.3850332498550415,0.002766108512878418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+SDML+kNN,digits6
3,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9815880322209436,0.9821428571428571,1.0,0.9819819819819819,0.9908256880733946,0.9629629629629629,0.9907407407407407,0.9722222222222222,0.0,0.9719626168224299,0.0,0.1,10000,0.05,False,0.3927738362413022,0.035813522338867185,5.830300784111023,0.008013367652893066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,stand+SDML+kNN,digits6
4,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.1,True,0.0,0.044766902923583984,6.78172881603241,0.008013367652893066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+SDML+kNN,digits6
5,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9844961240310077,0.0,1.0,0.0,1.0,0.9907407407407407,0.0,0.9907407407407407,0.9444444444444444,0.0,0.9811320754716981,0.1,10000,0.1,False,0.4825346066035918,0.053720283508300784,7.81022002696991,0.011939239501953126,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.48989794855663565,stand+SDML+kNN,digits6
6,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10000,0.25,True,0.0,0.06267366409301758,8.854706263542175,0.011939239501953126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+SDML+kNN,digits6
7,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9787626962142197,0.9910714285714286,1.0,0.9459459459459459,0.9908256880733946,0.9907407407407407,0.9722222222222222,0.9814814814814815,0.9537037037037037,1.0,0.9622641509433962,0.1,10000,0.25,False,0.01835691876195813,0.07162704467773437,10.433416938781738,0.018457984924316405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+SDML+kNN,digits6
8,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100000,0.01,True,0.0,0.08058042526245117,16.489760422706603,0.018457984924316405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stand+SDML+kNN,digits6
9,Cascading:Non SPD result: the system is too ill-conditioned for this solver. The system is too ill-conditioned for this solver,1,0.9833948339483395,1.0,0.0,0.0,0.0,0.9722222222222222,0.9722222222222222,0.9907407407407407,0.0,0.0,0.9811320754716981,0.1,100000,0.01,False,0.49169115539178304,0.08953380584716797,22.481244564056396,0.021713781356811523,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,stand+SDML+kNN,digits6
