,cmaesfme__s__n_gen,cmaesfme__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,100,full,,1,0.28,0.3,0.175,0.375,0.4,0.2,0.275,0.25,0.275,0.25,0.3,0.0659545297913646,0.004136896133422852,23.336960434913635,0.0014719486236572266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,gaussians
1,100,diagonal,,1,0.3075,0.375,0.175,0.375,0.325,0.25,0.325,0.25,0.325,0.375,0.3,0.06229967897188557,0.008273792266845704,38.84718511104584,0.0027846574783325197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,gaussians
2,250,full,,1,0.275,0.2,0.225,0.375,0.4,0.25,0.275,0.275,0.275,0.225,0.25,0.06123724356957946,0.012410688400268554,97.22389028072357,0.004084730148315429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,gaussians
3,250,diagonal,,1,0.5975,0.225,0.975,0.925,0.4,0.925,0.25,0.8,0.275,0.7,0.5,0.2864546211880688,0.016547584533691408,135.1769776582718,0.0053708553314208984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,gaussians
4,500,full,,1,0.2825,0.275,0.15,0.4,0.35,0.25,0.275,0.25,0.325,0.25,0.3,0.0642748006609122,0.020684480667114258,248.7310599565506,0.006672430038452149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,gaussians
5,500,diagonal,,1,0.5675,0.875,0.175,0.4,0.85,0.25,0.875,0.675,0.35,0.25,0.975,0.29623681405254143,0.024821376800537108,321.8962430238724,0.007971429824829101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAESFme+kNN,gaussians
6,100,full,,2,0.2825,0.25,0.25,0.275,0.35,0.275,0.225,0.35,0.25,0.275,0.325,0.04190763653560052,0.02895827293395996,345.233203458786,0.009264326095581055,0.6261111111111111,0.6361111111111111,0.6277777777777778,0.5972222222222222,0.5944444444444444,0.6305555555555555,0.6527777777777778,0.6361111111111111,0.6388888888888888,0.6277777777777778,0.6194444444444445,0.01726696696435561,CMAESFme+kNN,gaussians
7,100,diagonal,,2,0.295,0.325,0.25,0.275,0.35,0.3,0.25,0.35,0.2,0.325,0.325,0.04716990566028301,0.033095169067382815,360.7434281349182,0.01083390712738037,0.6344444444444445,0.6638888888888889,0.6388888888888888,0.6083333333333333,0.6638888888888889,0.6277777777777778,0.6333333333333333,0.6305555555555555,0.6277777777777778,0.6361111111111111,0.6138888888888889,0.017222222222222215,CMAESFme+kNN,gaussians
8,250,full,,2,0.285,0.3,0.25,0.325,0.35,0.275,0.225,0.375,0.2,0.25,0.3,0.05267826876426369,0.037232065200805665,419.1201333045959,0.012208986282348632,0.625,0.6333333333333333,0.6305555555555555,0.625,0.6083333333333333,0.6277777777777778,0.6388888888888888,0.6333333333333333,0.6166666666666667,0.6277777777777778,0.6083333333333333,0.010015420209622195,CMAESFme+kNN,gaussians
9,250,diagonal,,2,0.5525,0.3,0.95,0.875,0.35,0.95,0.225,0.8,0.2,0.525,0.35,0.29314032475932067,0.041368961334228516,457.07322068214415,0.013567686080932617,0.7841666666666667,0.6361111111111111,0.9805555555555555,0.9472222222222222,0.6055555555555555,0.9444444444444444,0.6361111111111111,0.9305555555555556,0.6194444444444445,0.8277777777777777,0.7138888888888889,0.1489937959599926,CMAESFme+kNN,gaussians
