,cmaes__f__n_neighbors,cmaes__s__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,4,250,triangular,,1,0.28,0.3,0.175,0.4,0.35,0.25,0.275,0.225,0.275,0.25,0.3,0.060000000000000005,0.0014516353607177735,12.16574306488037,0.0012008190155029298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
1,4,500,triangular,,1,0.2725,0.225,0.175,0.375,0.4,0.225,0.275,0.25,0.275,0.25,0.275,0.06466258578188783,0.002903270721435547,44.23774197101593,0.002151203155517578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
2,4,1000,triangular,,1,0.275,0.275,0.175,0.375,0.4,0.175,0.3,0.25,0.3,0.25,0.25,0.06982120021884472,0.00435490608215332,108.39484887123108,0.0033022880554199217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
3,8,250,triangular,,1,0.2825,0.225,0.2,0.4,0.4,0.25,0.275,0.325,0.25,0.25,0.25,0.06619101147436864,0.005806541442871094,134.53105595111847,0.004002881050109863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
4,8,500,triangular,,1,0.2775,0.2,0.175,0.4,0.4,0.25,0.225,0.25,0.3,0.25,0.325,0.07369701486491838,0.007258176803588867,167.0929804325104,0.005003905296325684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
5,8,1000,triangular,,1,0.2775,0.225,0.175,0.375,0.4,0.225,0.275,0.275,0.25,0.25,0.325,0.06656763477847175,0.00870981216430664,231.60184621810913,0.0060550451278686525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
6,4,250,triangular,,2,0.28,0.25,0.25,0.325,0.35,0.25,0.25,0.35,0.2,0.225,0.35,0.054543560573178565,0.010161447525024413,243.7675892829895,0.006955480575561524,0.6266666666666667,0.65,0.625,0.6222222222222222,0.6138888888888889,0.6194444444444445,0.6305555555555555,0.6361111111111111,0.6222222222222222,0.6222222222222222,0.625,0.009638528651609699,CMAES+kNN,gaussians
7,4,500,triangular,,2,0.285,0.275,0.225,0.275,0.375,0.3,0.25,0.35,0.225,0.275,0.3,0.046368092477478515,0.011613082885742188,275.83958818912504,0.008056116104125977,0.6194444444444445,0.6388888888888888,0.6277777777777778,0.6,0.6027777777777777,0.6194444444444445,0.6305555555555555,0.6138888888888889,0.6194444444444445,0.6222222222222222,0.6194444444444445,0.01124914262850921,CMAES+kNN,gaussians
8,4,1000,triangular,,2,0.2825,0.25,0.225,0.275,0.35,0.275,0.25,0.35,0.225,0.3,0.325,0.044791182167922286,0.013064718246459961,339.9966950893402,0.009056806564331055,0.6202777777777778,0.6305555555555555,0.6277777777777778,0.6166666666666667,0.5916666666666667,0.625,0.6361111111111111,0.6083333333333333,0.6277777777777778,0.6305555555555555,0.6083333333333333,0.013090968519942419,CMAES+kNN,gaussians
9,8,250,triangular,,2,0.285,0.275,0.25,0.3,0.35,0.275,0.225,0.425,0.2,0.25,0.3,0.06144102863722253,0.014516353607177734,366.1329021692276,0.010007619857788086,0.6255555555555555,0.6277777777777778,0.6388888888888888,0.6111111111111112,0.5972222222222222,0.625,0.6416666666666667,0.6555555555555556,0.6138888888888889,0.6222222222222222,0.6222222222222222,0.015850380686319002,CMAES+kNN,gaussians
10,8,500,triangular,,2,0.2875,0.3,0.225,0.275,0.35,0.275,0.25,0.375,0.225,0.275,0.325,0.04776243293635699,0.01596798896789551,398.6948266506195,0.011008143424987793,0.6297222222222222,0.6333333333333333,0.6361111111111111,0.6305555555555555,0.6,0.6277777777777778,0.6416666666666667,0.625,0.6305555555555555,0.6416666666666667,0.6305555555555555,0.0111837900773319,CMAES+kNN,gaussians
11,8,1000,triangular,,2,0.265,0.25,0.225,0.3,0.35,0.275,0.225,0.325,0.175,0.25,0.275,0.048989794855663564,0.01741962432861328,463.20369243621826,0.011908698081970214,0.6241666666666666,0.6222222222222222,0.6277777777777778,0.6222222222222222,0.5916666666666667,0.6333333333333333,0.6527777777777778,0.6305555555555555,0.6166666666666667,0.6277777777777778,0.6166666666666667,0.014648663192705781,CMAES+kNN,gaussians
12,4,250,triangular,,4,0.25,0.25,0.175,0.225,0.375,0.15,0.275,0.325,0.175,0.275,0.275,0.0670820393249937,0.018871259689331055,475.3694355010986,0.01270904541015625,0.5475,0.5472222222222223,0.5388888888888889,0.5472222222222223,0.5333333333333333,0.5611111111111111,0.5666666666666667,0.5277777777777778,0.5694444444444444,0.5333333333333333,0.55,0.013802509165338714,CMAES+kNN,gaussians
13,4,500,triangular,,4,0.2325,0.25,0.175,0.2,0.35,0.125,0.2,0.35,0.15,0.275,0.25,0.07335700375560605,0.020322895050048827,507.44143440723417,0.013809514045715333,0.5463888888888889,0.575,0.5416666666666666,0.5416666666666666,0.5305555555555556,0.5527777777777778,0.55,0.5305555555555556,0.5638888888888889,0.5388888888888889,0.5388888888888889,0.013554303220839833,CMAES+kNN,gaussians
14,4,1000,triangular,,4,0.245,0.25,0.175,0.225,0.35,0.125,0.275,0.375,0.15,0.275,0.25,0.07648529270389177,0.0217745304107666,571.5985413074493,0.01501002311706543,0.5469444444444445,0.55,0.5444444444444444,0.5527777777777778,0.5388888888888889,0.5472222222222223,0.5666666666666667,0.5305555555555556,0.5666666666666667,0.5361111111111111,0.5361111111111111,0.011814539065631523,CMAES+kNN,gaussians
15,8,250,triangular,,4,0.2425,0.25,0.175,0.225,0.35,0.15,0.2,0.375,0.15,0.275,0.275,0.07420411039827915,0.023226165771484376,597.7347483873367,0.015710210800170897,0.5491666666666667,0.5611111111111111,0.5416666666666666,0.5416666666666666,0.5388888888888889,0.5694444444444444,0.5472222222222223,0.5305555555555556,0.5722222222222222,0.5361111111111111,0.5527777777777778,0.013554303220839834,CMAES+kNN,gaussians
16,8,500,triangular,,4,0.2575,0.25,0.2,0.225,0.35,0.175,0.275,0.4,0.175,0.275,0.25,0.0689655711206686,0.024677801132202148,630.2966728687286,0.016560935974121095,0.5513888888888889,0.5722222222222222,0.55,0.55,0.5444444444444444,0.5611111111111111,0.5611111111111111,0.5333333333333333,0.5472222222222223,0.5555555555555556,0.5388888888888889,0.010918468892796414,CMAES+kNN,gaussians
17,8,1000,triangular,,4,0.2375,0.25,0.175,0.225,0.35,0.15,0.225,0.325,0.175,0.275,0.225,0.061491869381244214,0.026129436492919923,694.8055386543274,0.017311573028564453,0.5452777777777778,0.5555555555555556,0.5416666666666666,0.5416666666666666,0.5361111111111111,0.5555555555555556,0.5472222222222223,0.525,0.5694444444444444,0.55,0.5305555555555556,0.012487648218327235,CMAES+kNN,gaussians
18,4,250,triangular,,8,0.2525,0.225,0.225,0.35,0.325,0.2,0.15,0.35,0.25,0.225,0.225,0.06368869601428498,0.027581071853637694,706.9712817192078,0.018212199211120605,0.4297222222222222,0.44722222222222224,0.42777777777777776,0.4388888888888889,0.3888888888888889,0.4305555555555556,0.44166666666666665,0.4083333333333333,0.4222222222222222,0.4222222222222222,0.46944444444444444,0.020862941922917114,CMAES+kNN,gaussians
19,4,500,triangular,,8,0.255,0.25,0.225,0.35,0.4,0.2,0.15,0.35,0.225,0.2,0.2,0.07810249675906654,0.02903270721435547,739.0432806253433,0.019212675094604493,0.42694444444444446,0.4361111111111111,0.4305555555555556,0.425,0.39444444444444443,0.4361111111111111,0.43333333333333335,0.4027777777777778,0.4166666666666667,0.425,0.46944444444444444,0.019446428470207933,CMAES+kNN,gaussians
20,4,1000,triangular,,8,0.2525,0.25,0.225,0.35,0.4,0.2,0.15,0.35,0.225,0.2,0.175,0.08019507466172719,0.030484342575073244,803.2003875255584,0.020163512229919432,0.43,0.44166666666666665,0.43333333333333335,0.42777777777777776,0.4,0.4583333333333333,0.44166666666666665,0.4027777777777778,0.4111111111111111,0.42777777777777776,0.45555555555555555,0.019356945989093707,CMAES+kNN,gaussians
21,8,250,triangular,,8,0.2525,0.25,0.225,0.35,0.4,0.2,0.125,0.35,0.25,0.2,0.175,0.08325412902673356,0.03193597793579102,829.3365946054458,0.020964407920837404,0.43,0.4361111111111111,0.4361111111111111,0.425,0.4027777777777778,0.4305555555555556,0.4444444444444444,0.4083333333333333,0.425,0.425,0.4666666666666667,0.017069212773041353,CMAES+kNN,gaussians
22,8,500,triangular,,8,0.2475,0.25,0.225,0.325,0.4,0.2,0.15,0.325,0.225,0.2,0.175,0.07454025757937788,0.033387613296508786,861.8985190868377,0.02196502685546875,0.4272222222222222,0.4388888888888889,0.44166666666666665,0.4222222222222222,0.39444444444444443,0.4361111111111111,0.44166666666666665,0.4,0.4166666666666667,0.4222222222222222,0.4583333333333333,0.01891338281172133,CMAES+kNN,gaussians
23,8,1000,triangular,,8,0.2525,0.25,0.225,0.35,0.4,0.2,0.15,0.325,0.25,0.2,0.175,0.07701460900374682,0.03483924865722656,926.4073848724365,0.022765469551086426,0.4272222222222222,0.4388888888888889,0.42777777777777776,0.43333333333333335,0.4,0.4388888888888889,0.42777777777777776,0.40555555555555556,0.4222222222222222,0.41944444444444445,0.4583333333333333,0.016043921197992937,CMAES+kNN,gaussians
24,4,250,triangular,,16,0.27,0.375,0.225,0.325,0.25,0.275,0.225,0.275,0.25,0.25,0.25,0.04444097208657795,0.036290884017944336,938.5731279373169,0.02366592884063721,0.4013888888888889,0.4083333333333333,0.4222222222222222,0.39444444444444443,0.3861111111111111,0.41944444444444445,0.40555555555555556,0.375,0.4,0.3972222222222222,0.40555555555555556,0.01356568383008309,CMAES+kNN,gaussians
