,cmaes__f__n_neighbors,cmaes__s__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,1,50,diagonal,,1,0.93,1.0,0.95,0.975,0.8,1.0,0.95,0.9,0.75,0.975,1.0,0.08351646544245031,0.008562326431274414,0.8964767217636108,0.0007037162780761719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
1,1,100,diagonal,,1,0.96,0.95,1.0,0.95,1.0,0.95,0.925,0.9,0.925,1.0,1.0,0.03570714214271424,0.017124652862548828,2.3522257804870605,0.001590561866760254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
2,1,250,diagonal,,1,0.965,0.95,0.9,1.0,1.0,0.95,0.925,0.975,1.0,0.975,0.975,0.03201562118716424,0.025686979293823242,5.963773322105408,0.002881932258605957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
3,4,50,diagonal,,1,0.77,0.95,0.175,0.975,0.4,0.75,0.95,0.975,0.775,0.925,0.825,0.2583118270617898,0.034249305725097656,6.711111903190613,0.00417637825012207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
4,4,100,diagonal,,1,0.95,0.875,0.975,1.0,0.975,0.975,0.975,0.95,0.8,1.0,0.975,0.060207972893961466,0.04281163215637207,8.201504921913147,0.005470681190490723,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
5,4,250,diagonal,,1,0.9275,0.925,0.925,1.0,0.85,0.9,0.95,0.925,1.0,0.975,0.825,0.05528336096873996,0.051373958587646484,11.984234762191772,0.006767749786376953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
6,8,50,diagonal,,1,0.865,0.875,0.95,0.9,0.975,0.975,0.85,0.975,0.275,0.975,0.9,0.2016184515365595,0.0599362850189209,12.755993628501892,0.008068251609802245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
7,8,100,diagonal,,1,0.915,0.875,1.0,0.725,0.975,0.85,0.925,0.95,0.85,1.0,1.0,0.08529361054615991,0.06849861145019531,14.334823107719421,0.009355592727661132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
8,8,250,diagonal,,1,0.8775,0.95,0.975,1.0,0.775,0.95,0.95,0.85,0.35,0.975,1.0,0.18823190484081068,0.07706093788146973,18.32168984413147,0.010651612281799316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,CMAES+kNN,gaussians
9,1,50,diagonal,,2,0.925,0.975,0.975,0.975,0.8,1.0,0.95,0.9,0.7,1.0,0.975,0.09420721840708385,0.08562326431274414,19.218166565895082,0.011942172050476074,0.9736111111111111,0.9944444444444445,0.9888888888888889,0.9833333333333333,0.9194444444444444,0.9944444444444445,0.9972222222222222,0.9638888888888889,0.925,0.9972222222222222,0.9722222222222222,0.027756936626079576,CMAES+kNN,gaussians
