,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,25,full,1,0.4325,0.425,0.375,0.525,0.4,0.225,0.3,0.55,0.45,0.525,0.55,0.10491067629178645,0.0036360502243041994,8.303205156326294,0.0014795303344726563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
1,,1,25,diagonal,1,0.985,0.975,1.0,1.0,0.975,0.95,0.975,1.0,1.0,1.0,0.975,0.016583123951777013,0.007272100448608399,10.185478234291077,0.0027887582778930663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
2,,1,100,full,1,0.8025,0.85,0.75,0.775,0.925,0.825,0.775,0.8,0.75,0.75,0.825,0.05297405025104273,0.010908150672912597,40.12802481651306,0.004125022888183593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
3,,1,100,diagonal,1,0.985,0.975,1.0,1.0,1.0,0.925,1.0,1.0,1.0,0.975,0.975,0.022912878474779193,0.014544200897216798,47.5712085723877,0.005435729026794433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
4,,4,25,full,1,0.2675,0.2,0.15,0.375,0.4,0.175,0.275,0.275,0.3,0.225,0.3,0.0775,0.018180251121520996,55.41892910003662,0.006760835647583008,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
5,,4,25,diagonal,1,0.9725,1.0,0.95,0.975,0.975,0.95,0.925,0.975,1.0,1.0,0.975,0.02358495283014151,0.021816301345825195,57.36254205703735,0.008060908317565918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
6,,4,100,full,1,0.305,0.225,0.175,0.4,0.375,0.25,0.3,0.25,0.275,0.55,0.25,0.10356157588603991,0.025452351570129393,88.35921814441681,0.009384393692016602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
7,,4,100,diagonal,1,0.985,1.0,0.975,1.0,1.0,0.95,0.95,1.0,1.0,1.0,0.975,0.020000000000000018,0.029088401794433595,96.23608303070068,0.010682201385498047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
8,,8,25,full,1,0.28,0.275,0.175,0.375,0.4,0.25,0.275,0.25,0.275,0.25,0.275,0.06103277807866852,0.03272445201873779,104.51594593524933,0.011998558044433593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
9,,8,25,diagonal,1,0.98,1.0,1.0,0.975,0.975,1.0,0.95,0.975,1.0,0.925,1.0,0.02449489742783178,0.03636050224304199,106.53226640224457,0.013306546211242675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
10,,8,100,full,1,0.2675,0.2,0.175,0.375,0.4,0.225,0.225,0.25,0.35,0.25,0.225,0.07420411039827915,0.039996552467346194,138.44152240753175,0.014624786376953126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
11,,8,100,diagonal,1,0.975,1.0,0.9,1.0,1.0,0.95,0.95,0.975,1.0,1.0,0.975,0.0316227766016838,0.04363260269165039,146.60193116664885,0.01594588756561279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDEkNN+kNN,gaussians
12,,1,25,full,2,0.3475,0.325,0.375,0.375,0.375,0.3,0.225,0.4,0.3,0.425,0.375,0.05640257086339239,0.04726865291595459,154.90513632297515,0.017247223854064943,0.6863888888888889,0.6777777777777778,0.7083333333333334,0.6416666666666667,0.625,0.65,0.6583333333333333,0.7055555555555556,0.7083333333333334,0.8194444444444444,0.6694444444444444,0.05222591594502002,JDEkNN+kNN,gaussians
13,,1,25,diagonal,2,0.9825,0.975,1.0,1.0,0.95,0.975,0.95,1.0,1.0,1.0,0.975,0.019525624189766652,0.050904703140258786,156.78740940093994,0.018527674674987792,0.9952777777777778,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.0017786456215091184,JDEkNN+kNN,gaussians
14,,1,100,full,2,0.7675,0.825,0.7,0.7,0.85,0.75,0.75,0.8,0.725,0.775,0.8,0.04879805323985785,0.05454075336456299,186.72995598316191,0.019835376739501955,0.915,0.9111111111111111,0.9083333333333333,0.9055555555555556,0.975,0.8972222222222223,0.9111111111111111,0.9055555555555556,0.9305555555555556,0.9027777777777778,0.9027777777777778,0.021702249982916224,JDEkNN+kNN,gaussians
15,,1,100,diagonal,2,0.98,0.975,1.0,0.975,1.0,0.975,1.0,0.95,0.975,0.95,1.0,0.018708286933869722,0.05817680358886719,194.17313973903657,0.02112259864807129,0.9925,0.9972222222222222,0.9916666666666667,0.9972222222222222,0.9888888888888889,0.9888888888888889,0.9972222222222222,0.9972222222222222,0.9916666666666667,0.9861111111111112,0.9888888888888889,0.0041294635409217925,JDEkNN+kNN,gaussians
16,,4,25,full,2,0.2925,0.275,0.225,0.35,0.35,0.25,0.25,0.4,0.25,0.25,0.325,0.055957573213998475,0.061812853813171385,202.02086026668547,0.022425103187561034,0.6302777777777778,0.625,0.6277777777777778,0.6388888888888888,0.6027777777777777,0.6388888888888888,0.65,0.6277777777777778,0.6111111111111112,0.6277777777777778,0.6527777777777778,0.014878624156491198,JDEkNN+kNN,gaussians
17,,4,25,diagonal,2,0.9625,1.0,0.875,0.975,0.95,1.0,0.9,0.95,1.0,0.975,1.0,0.04220485754033533,0.06544890403747558,203.9644732236862,0.02371048927307129,0.9866666666666667,0.9916666666666667,0.9694444444444444,0.9972222222222222,0.9777777777777777,0.9833333333333333,0.9833333333333333,0.9972222222222222,0.9944444444444445,0.9888888888888889,0.9833333333333333,0.008498365855987991,JDEkNN+kNN,gaussians
18,,4,100,full,2,0.2925,0.275,0.25,0.275,0.35,0.275,0.225,0.35,0.225,0.425,0.275,0.060259853965969744,0.06908495426177978,234.96114931106567,0.025015711784362793,0.6427777777777778,0.6388888888888888,0.625,0.6138888888888889,0.5972222222222222,0.6333333333333333,0.6388888888888888,0.6138888888888889,0.6444444444444445,0.8083333333333333,0.6138888888888889,0.05694376693363896,JDEkNN+kNN,gaussians
19,,4,100,diagonal,2,0.9875,1.0,1.0,1.0,0.975,0.975,0.975,0.975,1.0,1.0,0.975,0.012500000000000011,0.07272100448608398,242.83801419734954,0.026300454139709474,0.9894444444444445,0.9916666666666667,0.9944444444444445,0.9972222222222222,0.9861111111111112,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9972222222222222,0.9527777777777777,0.012595315609727391,JDEkNN+kNN,gaussians
20,,8,25,full,2,0.285,0.25,0.225,0.3,0.375,0.275,0.25,0.375,0.2,0.275,0.325,0.05612486080160911,0.07635705471038819,251.1178771018982,0.027605676651000978,0.6227777777777778,0.6388888888888888,0.6388888888888888,0.6083333333333333,0.5972222222222222,0.6277777777777778,0.6416666666666667,0.6194444444444445,0.6138888888888889,0.6333333333333333,0.6083333333333333,0.01474055462380178,JDEkNN+kNN,gaussians
21,,8,25,diagonal,2,0.96,1.0,1.0,0.975,0.925,1.0,0.9,0.975,1.0,0.825,1.0,0.05612486080160913,0.07999310493469239,253.13419756889343,0.02867558002471924,0.9858333333333333,0.9944444444444445,0.9888888888888889,0.9944444444444445,0.9722222222222222,0.9916666666666667,0.9972222222222222,0.9861111111111112,0.9972222222222222,0.9555555555555556,0.9805555555555555,0.01257385588639586,JDEkNN+kNN,gaussians
