,error,jde__s__n_gen,jde__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,25,diagonal,1,0.3825,0.5,0.175,0.375,0.4,0.3,0.225,0.25,1.0,0.3,0.3,0.22390008932557398,0.0032045125961303713,6.53356192111969,0.0014696598052978515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,gaussians
1,,100,diagonal,1,0.68,0.2,0.5,0.4,0.825,0.85,0.925,0.95,0.85,0.95,0.35,0.271062723368596,0.0064090251922607425,30.843136763572694,0.002783370018005371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,JDE+kNN,gaussians
2,,25,diagonal,2,0.3675,0.375,0.225,0.275,0.35,0.275,0.225,0.35,1.0,0.275,0.325,0.21652078422174625,0.009613537788391113,37.376698684692386,0.00403900146484375,0.6741666666666667,0.7222222222222222,0.6277777777777778,0.6111111111111112,0.6,0.6833333333333333,0.6416666666666667,0.6111111111111112,0.9916666666666667,0.625,0.6277777777777778,0.1115480990203855,JDE+kNN,gaussians
3,,100,diagonal,2,0.645,0.275,0.4,0.275,0.825,0.7,0.9,0.925,0.875,0.95,0.325,0.2758622844826744,0.012818050384521485,61.68627352714539,0.00464785099029541,0.83,0.6333333333333333,0.7194444444444444,0.6111111111111112,0.9055555555555556,0.875,0.9916666666666667,0.9805555555555555,0.9583333333333334,0.9888888888888889,0.6361111111111111,0.1531853150296749,JDE+kNN,gaussians
4,,25,diagonal,4,0.35,0.35,0.175,0.225,0.375,0.275,0.225,0.325,1.0,0.3,0.25,0.22444375687463441,0.016022562980651855,68.21983544826507,0.005255341529846191,0.6033333333333334,0.6361111111111111,0.5416666666666666,0.5527777777777778,0.5388888888888889,0.6,0.5638888888888889,0.525,0.9861111111111112,0.5527777777777778,0.5361111111111111,0.1314848721524202,JDE+kNN,gaussians
5,,100,diagonal,4,0.6275,0.25,0.35,0.225,0.8,0.75,0.875,0.95,0.875,0.975,0.225,0.30586966178423125,0.019227075576782226,92.52941029071808,0.00587158203125,0.7933333333333333,0.5722222222222222,0.6444444444444445,0.55,0.8972222222222223,0.8333333333333334,0.9916666666666667,0.9666666666666667,0.9583333333333334,0.9916666666666667,0.5277777777777778,0.18684845645338455,JDE+kNN,gaussians
6,,25,diagonal,8,0.3475,0.375,0.225,0.35,0.4,0.25,0.15,0.35,1.0,0.2,0.175,0.23330505781058414,0.022431588172912596,99.06297221183777,0.006549525260925293,0.49972222222222223,0.5361111111111111,0.42777777777777776,0.42777777777777776,0.4,0.49444444444444446,0.4388888888888889,0.40555555555555556,0.9833333333333333,0.425,0.4583333333333333,0.16594961491777563,JDE+kNN,gaussians
7,,100,diagonal,8,0.64,0.25,0.4,0.35,0.775,0.75,0.9,0.9,0.85,0.975,0.25,0.2770830200499482,0.02563610076904297,123.37254705429078,0.0072222471237182615,0.7361111111111112,0.4361111111111111,0.5805555555555556,0.42777777777777776,0.8583333333333333,0.7361111111111112,0.9694444444444444,0.9638888888888889,0.9416666666666667,0.9694444444444444,0.4777777777777778,0.22225347002526552,JDE+kNN,gaussians
8,,25,diagonal,16,0.345,0.35,0.225,0.325,0.3,0.275,0.225,0.275,0.975,0.25,0.25,0.21354156504062619,0.02884061336517334,129.90610897541046,0.00791306495666504,0.46555555555555556,0.45555555555555555,0.41944444444444445,0.4,0.39166666666666666,0.43333333333333335,0.4027777777777778,0.375,0.9722222222222222,0.4027777777777778,0.4027777777777778,0.17022225848563582,JDE+kNN,gaussians
9,,100,diagonal,16,0.66,0.325,0.5,0.325,0.875,0.6,0.9,0.975,0.825,1.0,0.275,0.27345017827750634,0.03204512596130371,154.21568381786346,0.008596372604370118,0.7091666666666666,0.4166666666666667,0.5277777777777778,0.4,0.85,0.6888888888888889,0.9527777777777777,0.9611111111111111,0.9277777777777778,0.9638888888888889,0.4027777777777778,0.2374148645330249,JDE+kNN,gaussians
