,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,1,weighted,0.9925,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,1.0,0.01145643923738961,0.0018607378005981445,0.021255350112915038,0.0005105733871459961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,gaussians
1,,1,1,orthonormalized,0.2775,0.225,0.2,0.4,0.4,0.25,0.275,0.25,0.275,0.25,0.25,0.06466258578188783,0.003721475601196289,0.04085917472839355,0.0009634256362915039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,gaussians
2,,1,2,weighted,0.9925,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,1.0,0.01145643923738961,0.005582213401794434,0.06228177547454834,0.0013981342315673828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,gaussians
3,,1,2,orthonormalized,0.2775,0.225,0.2,0.4,0.4,0.25,0.275,0.25,0.275,0.25,0.25,0.06466258578188783,0.007442951202392578,0.0950662612915039,0.0018245458602905273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,gaussians
4,,1,3,weighted,0.9925,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,1.0,0.01145643923738961,0.009303689002990723,0.12248234748840332,0.0022450923919677735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,gaussians
5,,1,3,orthonormalized,0.2775,0.225,0.2,0.4,0.4,0.25,0.275,0.25,0.275,0.25,0.25,0.06466258578188783,0.011164426803588867,0.1567859649658203,0.0026763200759887694,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LFDA+kNN,gaussians
6,,2,1,weighted,0.98,0.975,1.0,0.975,0.975,0.975,0.95,0.95,1.0,1.0,1.0,0.018708286933869722,0.013025164604187012,0.17804131507873536,0.003099489212036133,0.9941666666666666,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.0014958791130929125,LFDA+kNN,gaussians
7,,2,1,orthonormalized,0.2775,0.275,0.25,0.275,0.35,0.275,0.225,0.35,0.2,0.25,0.325,0.048023431780746355,0.014885902404785156,0.19764513969421388,0.003536891937255859,0.6263888888888889,0.6361111111111111,0.6388888888888888,0.6166666666666667,0.6027777777777777,0.6333333333333333,0.6361111111111111,0.625,0.625,0.6305555555555555,0.6194444444444445,0.010559209893748993,LFDA+kNN,gaussians
8,,2,2,weighted,0.9775,1.0,1.0,0.975,0.975,0.975,0.95,0.9,1.0,1.0,1.0,0.030516389039334253,0.0167466402053833,0.21906774044036864,0.0039648771286010746,0.9936111111111111,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.0012729376930432845,LFDA+kNN,gaussians
9,,2,2,orthonormalized,0.2775,0.275,0.25,0.275,0.35,0.275,0.225,0.35,0.2,0.25,0.325,0.048023431780746355,0.018607378005981445,0.25185222625732423,0.004613041877746582,0.6263888888888889,0.6361111111111111,0.6388888888888888,0.6166666666666667,0.6027777777777777,0.6333333333333333,0.6361111111111111,0.625,0.625,0.6305555555555555,0.6194444444444445,0.010559209893748993,LFDA+kNN,gaussians
