,error,knn__n_neighbors,lmnn__k,lmnn__learn_rate,lmnn__max_iter,lmnn__regularization,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,1,1e-07,50,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.0023121356964111326,0.6260726928710938,0.001598358154296875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
1,,1,1,1e-07,50,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.004624271392822265,1.074250912666321,0.0029548883438110353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
2,,1,1,1e-07,50,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.006936407089233399,1.5506267786026,0.004300212860107422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
3,,1,1,1e-07,250,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.00924854278564453,2.926398491859436,0.005668187141418457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
4,,1,1,1e-07,250,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.011560678482055664,4.346303939819336,0.007036042213439941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
5,,1,1,1e-07,250,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.013872814178466798,5.648756694793701,0.008400511741638184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
6,,1,1,1e-07,500,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.01618494987487793,8.014516472816467,0.009842181205749511,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
7,,1,1,1e-07,500,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.01849708557128906,10.310888695716859,0.011190247535705567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
8,,1,1,1e-07,500,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.020809221267700195,12.757058358192443,0.012531542778015136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
9,,1,1,1e-07,1000,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.023121356964111328,17.09442389011383,0.013882112503051759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
10,,1,1,1e-07,1000,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.02543349266052246,21.523606157302858,0.015255594253540039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
11,,1,1,1e-07,1000,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.027745628356933595,26.258856081962584,0.016707444190979005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
12,,1,2,1e-07,50,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.030057764053344725,26.695928025245667,0.01806635856628418,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
13,,1,2,1e-07,50,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.03236989974975586,27.258260869979857,0.019416213035583496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
14,,1,2,1e-07,50,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.03468203544616699,27.931529879570007,0.02047889232635498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
15,,1,2,1e-07,250,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.03699417114257812,30.010166740417482,0.021053433418273926,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
16,,1,2,1e-07,250,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.03930630683898926,32.20503947734833,0.021631455421447753,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
17,,1,2,1e-07,250,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.04161844253540039,34.32519397735596,0.022207021713256836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
18,,1,2,1e-07,500,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.043930578231811526,38.186439752578735,0.0228102445602417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
19,,1,2,1e-07,500,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.046242713928222656,42.12814371585846,0.02342085838317871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
20,,1,2,1e-07,500,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.048554849624633786,46.03001420497894,0.02400052547454834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
21,,1,2,1e-07,1000,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.05086698532104492,53.32302916049957,0.02457890510559082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
22,,1,2,1e-07,1000,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.05317912101745605,60.6278279542923,0.025154829025268555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
23,,1,2,1e-07,1000,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.05549125671386719,68.91500458717346,0.025733280181884765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
24,,1,4,1e-07,50,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.05780339241027832,69.55856664180756,0.02631244659423828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
25,,1,4,1e-07,50,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.06011552810668945,70.15367634296418,0.02688915729522705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
26,,1,4,1e-07,50,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.06242766380310059,70.88301756381989,0.02747809886932373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
27,,1,4,1e-07,250,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.06473979949951172,73.5536721944809,0.02805318832397461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
28,,1,4,1e-07,250,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.06705193519592285,76.15922982692719,0.028628730773925783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
29,,1,4,1e-07,250,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.06936407089233398,78.75121684074402,0.029200816154479982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
30,,1,4,1e-07,500,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.07167620658874511,83.72375345230103,0.029772114753723145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
31,,1,4,1e-07,500,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.07398834228515624,88.73983836174011,0.03035118579864502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
32,,1,4,1e-07,500,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.07630047798156739,93.73535814285279,0.03119511604309082,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
33,,1,4,1e-07,1000,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.07861261367797852,103.2902321100235,0.03177387714385986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
34,,1,4,1e-07,1000,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.08092474937438965,112.81773805618286,0.03234963417053223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
35,,1,4,1e-07,1000,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.08323688507080078,123.33259983062744,0.032926630973815915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
36,,1,8,1e-07,50,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.08554902076721191,124.24802832603454,0.033507275581359866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
37,,1,8,1e-07,50,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.08786115646362305,125.16056299209595,0.03408849239349365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
38,,1,8,1e-07,50,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.09017329216003418,126.34470267295838,0.03466765880584717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
39,,1,8,1e-07,250,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.09248542785644531,131.05129725933074,0.035252046585083005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
40,,1,8,1e-07,250,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.09479756355285644,135.39357283115388,0.03582684993743897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
41,,1,8,1e-07,250,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.09710969924926757,139.79029903411865,0.03640978336334229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
42,,1,8,1e-07,500,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.09942183494567872,148.31347472667693,0.036981606483459474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
43,,1,8,1e-07,500,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.10173397064208985,156.65701858997346,0.037556934356689456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
44,,1,8,1e-07,500,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.10404610633850098,165.02452549934387,0.03812961578369141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
45,,1,8,1e-07,1000,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.1063582420349121,181.65365359783172,0.03870527744293213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
46,,1,8,1e-07,1000,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.10867037773132324,197.99271602630614,0.039281797409057614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
47,,1,8,1e-07,1000,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.11098251342773438,214.5327805995941,0.039863204956054686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
48,,1,16,1e-07,50,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.11329464912414551,216.56755266189575,0.04043862819671631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
49,,1,16,1e-07,50,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.11560678482055664,218.68908007144927,0.04101626873016358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
50,,1,16,1e-07,50,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.11791892051696777,220.9826359272003,0.04159049987792969,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
51,,1,16,1e-07,250,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.1202310562133789,230.8012584209442,0.04217212200164795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
52,,1,16,1e-07,250,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.12254319190979004,240.51173794269562,0.04275045394897461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
53,,1,16,1e-07,250,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.12485532760620117,250.11273486614226,0.04332709312438965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
54,,1,16,1e-07,500,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.1271674633026123,269.02856214046477,0.0439051628112793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
55,,1,16,1e-07,500,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.12947959899902345,288.14888696670533,0.04448161125183105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
56,,1,16,1e-07,500,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.13179173469543456,307.1695665359497,0.04505951404571533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
57,,1,16,1e-07,1000,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.1341038703918457,344.7863705396652,0.045643067359924315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
58,,1,16,1e-07,1000,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.13641600608825682,382.28419556617735,0.04624640941619873,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
59,,1,16,1e-07,1000,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.13872814178466797,420.6641932010651,0.04685401916503906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
60,,1,32,1e-07,50,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.1410402774810791,424.85552949905394,0.04745323657989502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
61,,1,32,1e-07,50,0.5,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.14335241317749023,429.081720161438,0.04805493354797363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
62,,1,32,1e-07,50,0.9,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.14566454887390137,433.38388948440553,0.048647189140319826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
63,,1,32,1e-07,250,0.1,0.265,0.2,0.175,0.375,0.4,0.25,0.225,0.25,0.275,0.25,0.25,0.06726812023536856,0.1479766845703125,452.9443382024765,0.04924740791320801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,LMNN+kNN,gaussians
