,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.0036878108978271483,3.163614273071289,0.0009987592697143556,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
1,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.0073756217956542965,17.267485165596007,0.0018022775650024414,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
2,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.011063432693481446,45.32379062175751,0.002588224411010742,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
3,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.014751243591308593,101.55110566616058,0.0033881664276123047,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
4,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.018439054489135742,104.37964253425598,0.004168891906738281,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
5,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.02212686538696289,118.44750475883484,0.004960012435913086,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
6,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.02581467628479004,146.53733944892883,0.005738639831542968,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
7,"Input contains NaN, infinity or a value too large for dtype('float64').",1,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.029502487182617186,202.26206719875336,0.006528592109680176,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
8,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.03319029808044434,205.42568147182465,0.0073086261749267575,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
9,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.036878108978271484,219.52955236434937,0.008084702491760253,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
10,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.04056591987609863,247.58585782051085,0.008854389190673828,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
11,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.04425373077392578,303.81317286491395,0.009636569023132324,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
12,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.04794154167175293,306.64170973300935,0.01040201187133789,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
13,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.05162935256958008,320.7095719575882,0.01117410659790039,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
14,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.05531716346740723,348.7994066476822,0.011950087547302247,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
15,"Input contains NaN, infinity or a value too large for dtype('float64').",2,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.05900497436523437,404.5241343975067,0.012805891036987305,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
16,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,50,0,0,0,0,0,0,0,0,0,0,0.0,0.06269278526306152,407.687748670578,0.014561033248901368,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
17,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,250,0,0,0,0,0,0,0,0,0,0,0.0,0.06638059616088868,421.7916195631027,0.016297507286071777,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
18,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,500,0,0,0,0,0,0,0,0,0,0,0.0,0.07006840705871582,449.8479250192642,0.01810317039489746,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
19,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.1,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.07375621795654297,506.0752400636673,0.019843673706054686,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
20,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,50,0,0,0,0,0,0,0,0,0,0,0.0,0.07744402885437011,508.9037769317627,0.02160651683807373,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
21,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,250,0,0,0,0,0,0,0,0,0,0,0.0,0.08113183975219726,522.9716391563416,0.023354434967041017,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
22,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,500,0,0,0,0,0,0,0,0,0,0,0.0,0.08481965065002442,551.0614738464355,0.025123238563537598,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
23,"Input contains NaN, infinity or a value too large for dtype('float64').",4,0,0.01,1000,0,0,0,0,0,0,0,0,0,0,0.0,0.08850746154785157,606.7862015962601,0.02687218189239502,0,0,0,0,0,0,0,0,0,0,0,0.0,NCA+kNN,gaussians
