,cmaes__f__n_neighbors,cmaes__s__n_gen,cmaes__transformer,error,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,1,50,diagonal,,1,0.995,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.975,0.010000000000000009,0.003984856605529785,0.9388383626937866,0.0006766796112060546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
1,1,100,diagonal,,1,0.9875,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,0.95,1.0,0.016770509831248438,0.00796971321105957,2.4402815103530884,0.0012490272521972657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
2,1,250,diagonal,,1,0.9925,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.95,0.016007810593582136,0.011954569816589355,6.033461427688598,0.0018209218978881836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
3,4,50,diagonal,,1,0.9825,1.0,1.0,0.975,0.975,0.95,0.975,0.975,1.0,1.0,0.975,0.01600781059358214,0.01593942642211914,6.79609067440033,0.002394580841064453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
4,4,100,diagonal,,1,0.99,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.012247448713915901,0.019924283027648926,8.33506989479065,0.002941608428955078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
5,4,250,diagonal,,1,0.99,1.0,1.0,1.0,1.0,0.975,0.975,1.0,1.0,1.0,0.95,0.016583123951777013,0.02390913963317871,12.182356476783752,0.0034949064254760744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
6,8,50,diagonal,,1,0.985,1.0,1.0,1.0,1.0,0.975,0.925,0.975,1.0,1.0,0.975,0.022912878474779193,0.027893996238708495,12.977009582519532,0.004051661491394043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
7,8,100,diagonal,,1,0.985,1.0,1.0,1.0,1.0,0.95,0.95,0.975,1.0,1.0,0.975,0.020000000000000018,0.03187885284423828,14.57805917263031,0.004600167274475098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
8,8,250,diagonal,,1,0.99,1.0,1.0,1.0,1.0,0.975,1.0,1.0,0.95,1.0,0.975,0.016583123951777013,0.035863709449768064,18.579886841773988,0.005147528648376465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+CMAES+kNN,gaussians
9,1,50,diagonal,,2,0.9875,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,0.975,0.016770509831248438,0.03984856605529785,19.518725204467774,0.005699872970581055,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9888888888888889,1.0,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.002777777777777768,stand+CMAES+kNN,gaussians
