,error,jdeknn__f__n_neighbors,jdeknn__s__n_gen,jdeknn__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,25,full,1,0.9825,1.0,1.0,0.975,1.0,0.95,0.925,1.0,1.0,1.0,0.975,0.025124689052802223,0.004308438301086426,8.493802642822265,0.0006657600402832031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
1,,1,25,diagonal,1,0.9875,1.0,1.0,1.0,1.0,0.95,0.95,1.0,1.0,1.0,0.975,0.020155644370746392,0.008616876602172852,10.40782299041748,0.001235795021057129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
2,,1,100,full,1,0.985,1.0,0.975,1.0,1.0,0.975,0.95,0.975,0.975,1.0,1.0,0.016583123951777013,0.012925314903259277,40.866276717185976,0.0018028736114501954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
3,,1,100,diagonal,1,0.99,1.0,0.975,1.0,0.975,0.95,1.0,1.0,1.0,1.0,1.0,0.016583123951777013,0.017233753204345705,48.33464376926422,0.0023665666580200196,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
4,,4,25,full,1,0.9875,0.975,0.975,0.975,1.0,0.975,0.975,1.0,1.0,1.0,1.0,0.012500000000000011,0.02154219150543213,56.49393389225006,0.0029269695281982423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
5,,4,25,diagonal,1,0.99,1.0,1.0,0.975,1.0,0.975,0.975,1.0,1.0,1.0,0.975,0.012247448713915901,0.025850629806518553,58.507788920402525,0.003487682342529297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
6,,4,100,full,1,0.9875,0.975,1.0,1.0,1.0,0.95,0.975,1.0,1.0,1.0,0.975,0.016770509831248438,0.03015906810760498,90.57239389419556,0.004053521156311035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
7,,4,100,diagonal,1,0.985,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,0.95,0.020000000000000018,0.03446750640869141,98.45540778636932,0.004613733291625977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
8,,8,25,full,1,0.99,1.0,1.0,1.0,1.0,0.95,0.975,0.975,1.0,1.0,1.0,0.016583123951777013,0.03877594470977783,107.04812288284302,0.005176925659179687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
9,,8,25,diagonal,1,0.9875,1.0,1.0,1.0,1.0,0.975,0.925,1.0,1.0,1.0,0.975,0.02304886114323221,0.04308438301086426,109.15522677898407,0.0057372570037841795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
10,,8,100,full,1,0.99,0.975,1.0,1.0,1.0,0.95,1.0,0.975,1.0,1.0,1.0,0.016583123951777013,0.04739282131195068,142.54439535140992,0.00629720687866211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
11,,8,100,diagonal,1,0.985,1.0,1.0,1.0,0.975,0.975,0.95,1.0,1.0,1.0,0.95,0.020000000000000018,0.05170125961303711,150.90188813209534,0.006852436065673828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEkNN+kNN,gaussians
12,,1,25,full,2,0.9825,1.0,1.0,0.975,1.0,0.975,0.9,1.0,1.0,1.0,0.975,0.02968585521759479,0.05600969791412354,159.3956907749176,0.007420015335083008,0.9961111111111111,0.9944444444444445,0.9972222222222222,0.9916666666666667,0.9972222222222222,1.0,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.0022222222222222144,stand+JDEkNN+kNN,gaussians
13,,1,25,diagonal,2,0.9875,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,0.975,0.975,0.012500000000000011,0.06031813621520996,161.30971112251282,0.008704209327697754,0.9966666666666667,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9972222222222222,1.0,0.9944444444444445,0.9972222222222222,0.0016666666666666607,stand+JDEkNN+kNN,gaussians
14,,1,100,full,2,0.9825,1.0,0.975,1.0,0.975,0.975,0.95,0.975,0.975,1.0,1.0,0.016007810593582136,0.06462657451629639,191.7681648492813,0.009987807273864746,0.9930555555555556,0.9861111111111112,0.9972222222222222,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9972222222222222,0.0033448873829978482,stand+JDEkNN+kNN,gaussians
15,,1,100,diagonal,2,0.975,1.0,0.975,1.0,0.95,0.975,0.95,0.95,1.0,0.975,0.975,0.019364916731037102,0.06893501281738282,199.23653190135957,0.011273980140686035,0.9966666666666667,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.0016666666666666607,stand+JDEkNN+kNN,gaussians
16,,4,25,full,2,0.9825,1.0,1.0,0.975,0.95,0.95,0.975,1.0,1.0,0.975,1.0,0.019525624189766652,0.07324345111846924,207.3958220243454,0.01255483627319336,0.9925,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9805555555555555,0.9888888888888889,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9888888888888889,0.9888888888888889,0.005277777777777784,stand+JDEkNN+kNN,gaussians
17,,4,25,diagonal,2,0.9825,1.0,1.0,0.975,1.0,0.975,0.975,0.95,1.0,1.0,0.95,0.019525624189766652,0.07755188941955567,209.40967705249787,0.013840079307556152,0.9952777777777778,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9916666666666667,0.9972222222222222,0.9944444444444445,1.0,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.002169513798862952,stand+JDEkNN+kNN,gaussians
18,,4,100,full,2,0.9875,1.0,1.0,1.0,0.975,0.975,0.925,1.0,1.0,1.0,1.0,0.02304886114323221,0.08186032772064208,241.4742820262909,0.015119361877441406,0.9938888888888889,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9972222222222222,0.9916666666666667,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9833333333333333,0.9944444444444445,0.0040824829046386445,stand+JDEkNN+kNN,gaussians
19,,4,100,diagonal,2,0.9825,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,0.95,0.95,0.019525624189766652,0.08616876602172852,249.35729591846467,0.016400861740112304,0.9955555555555555,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9916666666666667,0.9944444444444445,1.0,0.9972222222222222,0.9972222222222222,0.9916666666666667,0.9944444444444445,0.002545875386086569,stand+JDEkNN+kNN,gaussians
20,,8,25,full,2,0.9925,1.0,1.0,1.0,1.0,0.975,1.0,0.95,1.0,1.0,1.0,0.01600781059358214,0.09047720432281495,257.95001101493835,0.01768150329589844,0.9947222222222222,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.0014958791130929125,stand+JDEkNN+kNN,gaussians
21,,8,25,diagonal,2,0.9825,1.0,1.0,1.0,1.0,0.975,0.9,0.975,1.0,1.0,0.975,0.02968585521759479,0.09478564262390136,260.0571149110794,0.01896634101867676,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.0021516574145596682,stand+JDEkNN+kNN,gaussians
22,,8,100,full,2,0.985,1.0,1.0,1.0,0.975,1.0,0.975,0.925,1.0,1.0,0.975,0.022912878474779193,0.0990940809249878,293.4462834835052,0.02025613784790039,0.9938888888888889,0.9888888888888889,0.9972222222222222,0.9972222222222222,0.9944444444444445,1.0,0.9944444444444445,0.9777777777777777,0.9972222222222222,0.9916666666666667,1.0,0.00630989816200031,stand+JDEkNN+kNN,gaussians
23,,8,100,diagonal,2,0.98,1.0,1.0,1.0,0.975,0.975,0.95,0.95,1.0,1.0,0.95,0.021794494717703387,0.10340251922607421,301.8037762641907,0.02154264450073242,0.9966666666666667,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9916666666666667,1.0,1.0,0.0024216105241892543,stand+JDEkNN+kNN,gaussians
24,,1,25,full,4,0.985,1.0,1.0,1.0,1.0,0.975,0.9,0.975,1.0,1.0,1.0,0.029999999999999995,0.10771095752716064,310.29757890701296,0.02282438278198242,0.9897222222222222,0.9916666666666667,0.9916666666666667,0.9833333333333333,0.9972222222222222,0.9916666666666667,0.9888888888888889,0.9805555555555555,0.9888888888888889,0.9888888888888889,0.9944444444444445,0.00465640405951119,stand+JDEkNN+kNN,gaussians
25,,1,25,diagonal,4,0.9875,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,0.975,0.016770509831248438,0.11201939582824708,312.21159925460813,0.023893857002258302,0.9922222222222222,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.0011111111111111072,stand+JDEkNN+kNN,gaussians
26,,1,100,full,4,0.99,1.0,0.975,1.0,0.975,0.975,1.0,0.975,1.0,1.0,1.0,0.012247448713915901,0.1163278341293335,342.67005298137667,0.024443864822387695,0.9913888888888889,0.9861111111111112,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9833333333333333,0.9944444444444445,0.0038188130791298766,stand+JDEkNN+kNN,gaussians
27,,1,100,diagonal,4,0.9875,1.0,1.0,1.0,1.0,0.975,0.95,0.975,1.0,1.0,0.975,0.016770509831248438,0.12063627243041992,350.1384200334549,0.024992656707763673,0.9927777777777778,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9888888888888889,0.9972222222222222,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.0030932024237944455,stand+JDEkNN+kNN,gaussians
28,,4,25,full,4,0.9925,1.0,1.0,1.0,1.0,0.95,1.0,0.975,1.0,1.0,1.0,0.01600781059358214,0.12494471073150634,358.29771015644076,0.025539875030517578,0.9916666666666667,0.9888888888888889,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9833333333333333,0.9972222222222222,0.9972222222222222,0.9888888888888889,0.9888888888888889,0.9944444444444445,0.004303314829119359,stand+JDEkNN+kNN,gaussians
29,,4,25,diagonal,4,0.99,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.012247448713915901,0.12925314903259277,360.3115651845932,0.026082158088684082,0.9922222222222222,0.9916666666666667,0.9888888888888889,0.9888888888888889,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.002078698548207738,stand+JDEkNN+kNN,gaussians
30,,4,100,full,4,0.9875,1.0,1.0,1.0,0.95,0.975,0.95,1.0,1.0,1.0,1.0,0.020155644370746392,0.1335615873336792,392.37617015838623,0.02662513256072998,0.9919444444444444,0.9944444444444445,0.9972222222222222,0.9861111111111112,0.9916666666666667,0.9972222222222222,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9777777777777777,0.9944444444444445,0.005753420882557779,stand+JDEkNN+kNN,gaussians
31,,4,100,diagonal,4,0.9875,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,0.975,0.975,0.012500000000000011,0.13787002563476564,400.25918405056,0.02717015743255615,0.9922222222222222,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.0024216105241892543,stand+JDEkNN+kNN,gaussians
32,,8,25,full,4,0.9875,1.0,1.0,1.0,1.0,0.975,0.95,0.95,1.0,1.0,1.0,0.020155644370746392,0.14217846393585204,408.8518991470337,0.027716970443725585,0.9936111111111111,0.9944444444444445,0.9972222222222222,0.9916666666666667,0.9916666666666667,0.9972222222222222,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.9972222222222222,0.002791632116978015,stand+JDEkNN+kNN,gaussians
33,,8,25,diagonal,4,0.985,1.0,1.0,1.0,1.0,0.975,0.925,0.975,1.0,1.0,0.975,0.022912878474779193,0.14648690223693847,410.95900304317473,0.02826094627380371,0.9908333333333333,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9972222222222222,0.9888888888888889,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.002499999999999991,stand+JDEkNN+kNN,gaussians
34,,8,100,full,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1507953405380249,444.34817161560056,0.028809332847595216,0.9919444444444444,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9861111111111112,0.9972222222222222,0.9916666666666667,0.9861111111111112,0.9861111111111112,0.9944444444444445,0.9944444444444445,0.004015786748555808,stand+JDEkNN+kNN,gaussians
35,,8,100,diagonal,4,0.9875,1.0,1.0,1.0,0.975,0.975,0.975,0.975,1.0,1.0,0.975,0.012500000000000011,0.15510377883911133,452.705664396286,0.02935795783996582,0.9922222222222222,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9916666666666667,0.002721655269759077,stand+JDEkNN+kNN,gaussians
