,error,jdepur__f__sig,jdepur__s__n_gen,jdepur__transformer,knn__n_neighbors,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,0.5,25,full,1,0.8725,0.75,0.95,0.9,0.925,0.675,0.8,0.8,0.975,1.0,0.95,0.10335013304297191,0.0030870676040649415,30.489100766181945,0.0014789342880249024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,gaussians
1,,0.5,25,diagonal,1,0.815,0.975,1.0,0.95,0.525,0.975,0.475,0.825,0.875,0.6,0.95,0.19274335267396384,0.006174135208129883,37.463617420196535,0.002803945541381836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,gaussians
2,,0.5,100,full,1,0.875,0.9,0.8,1.0,0.95,0.95,0.825,1.0,0.85,0.775,0.7,0.09617692030835673,0.009261202812194825,150.19925925731658,0.00411839485168457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,gaussians
3,,0.5,100,diagonal,1,0.8525,0.625,1.0,0.825,1.0,0.975,0.775,1.0,0.65,1.0,0.675,0.15266384640772024,0.012348270416259766,176.61039128303528,0.00544130802154541,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,gaussians
4,,1.0,25,full,1,0.925,0.975,1.0,0.9,0.775,0.95,0.9,0.85,0.975,0.975,0.95,0.06614378277661476,0.015435338020324707,205.24213597774505,0.00674896240234375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,gaussians
5,,1.0,25,diagonal,1,0.8925,0.725,0.575,1.0,0.825,0.925,0.975,0.975,1.0,1.0,0.925,0.1355774686295625,0.01852240562438965,211.93016946315765,0.008052849769592285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,gaussians
6,,1.0,100,full,1,0.895,0.9,1.0,0.975,0.95,0.5,0.925,0.8,0.925,0.975,1.0,0.14309088021254182,0.02160947322845459,325.4161393404007,0.009363627433776856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,gaussians
7,,1.0,100,diagonal,1,0.7675,0.9,1.0,0.95,0.875,0.625,0.7,0.725,0.55,0.65,0.7,0.14450346016618423,0.024696540832519532,352.115417265892,0.010682392120361327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,gaussians
8,,10.0,25,full,1,0.7225,0.9,0.775,0.975,0.9,0.4,0.6,0.55,0.325,0.975,0.825,0.2259563010849664,0.02778360843658447,380.49330706596373,0.011991453170776368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,gaussians
9,,10.0,25,diagonal,1,0.69,0.975,0.875,0.375,0.925,0.325,0.25,0.975,0.975,0.675,0.55,0.27910571473905726,0.030870676040649414,387.1036880016327,0.013314461708068848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+JDEPur+kNN,gaussians
