,error,knn__n_neighbors,lfda__k,lfda__metric,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,1,weighted,0.9925,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,1.0,0.01145643923738961,0.0031285524368286134,0.01876997947692871,0.0008057117462158203,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LFDA+kNN,gaussians
1,,1,1,orthonormalized,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.006257104873657227,0.03334763050079346,0.001272892951965332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LFDA+kNN,gaussians
2,,1,2,weighted,0.9925,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,1.0,0.01145643923738961,0.00938565731048584,0.06150991916656494,0.0017253398895263673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LFDA+kNN,gaussians
3,,1,2,orthonormalized,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.012514209747314453,0.09218325614929199,0.002187967300415039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LFDA+kNN,gaussians
4,,1,3,weighted,0.9925,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,1.0,0.01145643923738961,0.015642762184143066,0.12334153652191163,0.0027974843978881836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LFDA+kNN,gaussians
5,,1,3,orthonormalized,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.01877131462097168,0.14587316513061524,0.0035439252853393553,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LFDA+kNN,gaussians
6,,2,1,weighted,0.9825,0.975,1.0,1.0,0.975,1.0,0.925,0.95,1.0,1.0,1.0,0.025124689052802223,0.021899867057800292,0.16464314460754395,0.0039929628372192385,0.9966666666666667,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,1.0,0.9972222222222222,0.0016666666666666607,stand+LFDA+kNN,gaussians
7,,2,1,orthonormalized,0.98,1.0,1.0,1.0,0.95,0.975,0.95,0.95,1.0,1.0,0.975,0.021794494717703387,0.025028419494628907,0.1792207956314087,0.004424619674682617,0.9933333333333333,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.002545875386086569,stand+LFDA+kNN,gaussians
8,,2,2,weighted,0.985,0.975,1.0,1.0,0.975,1.0,0.95,0.95,1.0,1.0,1.0,0.020000000000000018,0.028156971931457518,0.20738308429718016,0.004854226112365722,0.9958333333333333,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,1.0,0.9972222222222222,0.002239516041194034,stand+LFDA+kNN,gaussians
9,,2,2,orthonormalized,0.98,1.0,1.0,1.0,0.95,0.975,0.95,0.95,1.0,1.0,0.975,0.021794494717703387,0.03128552436828613,0.23805642127990723,0.005281424522399903,0.9933333333333333,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.002545875386086569,stand+LFDA+kNN,gaussians
10,,2,3,weighted,0.985,0.975,1.0,1.0,0.975,1.0,0.95,0.95,1.0,1.0,1.0,0.020000000000000018,0.03441407680511475,0.26921470165252687,0.005723834037780762,0.9958333333333333,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9972222222222222,0.9944444444444445,0.001388888888888884,stand+LFDA+kNN,gaussians
11,,2,3,orthonormalized,0.98,1.0,1.0,1.0,0.95,0.975,0.95,0.95,1.0,1.0,0.975,0.021794494717703387,0.03754262924194336,0.2917463302612305,0.0061474800109863285,0.9933333333333333,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9888888888888889,0.002545875386086569,stand+LFDA+kNN,gaussians
12,,4,1,weighted,0.9825,0.975,1.0,1.0,0.975,1.0,0.925,0.95,1.0,1.0,1.0,0.025124689052802223,0.04067118167877197,0.3105163097381592,0.0065643548965454105,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9861111111111112,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.0024845199749997577,stand+LFDA+kNN,gaussians
13,,4,1,orthonormalized,0.98,0.975,1.0,1.0,0.95,0.975,0.95,0.975,1.0,1.0,0.975,0.018708286933869726,0.043799734115600585,0.3250939607620239,0.007035064697265625,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9861111111111112,0.9888888888888889,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9916666666666667,0.0024845199749997577,stand+LFDA+kNN,gaussians
14,,4,2,weighted,0.985,0.975,1.0,1.0,0.975,1.0,0.95,0.95,1.0,1.0,1.0,0.020000000000000018,0.0469282865524292,0.35325624942779543,0.0074721574783325195,0.9922222222222222,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.0016666666666666607,stand+LFDA+kNN,gaussians
15,,4,2,orthonormalized,0.98,0.975,1.0,1.0,0.95,0.975,0.95,0.975,1.0,1.0,0.975,0.018708286933869726,0.050056838989257814,0.38392958641052244,0.007895565032958985,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9861111111111112,0.9888888888888889,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9916666666666667,0.0024845199749997577,stand+LFDA+kNN,gaussians
16,,4,3,weighted,0.985,0.975,1.0,1.0,0.975,1.0,0.95,0.95,1.0,1.0,1.0,0.020000000000000018,0.05318539142608643,0.4150878667831421,0.008583331108093261,0.9925,0.9944444444444445,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9888888888888889,0.9944444444444445,0.9916666666666667,0.002499999999999991,stand+LFDA+kNN,gaussians
17,,4,3,orthonormalized,0.98,0.975,1.0,1.0,0.95,0.975,0.95,0.975,1.0,1.0,0.975,0.018708286933869726,0.056313943862915036,0.4376194953918457,0.00934772491455078,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9861111111111112,0.9888888888888889,0.9944444444444445,0.9888888888888889,0.9888888888888889,0.9861111111111112,0.9861111111111112,0.9916666666666667,0.0024845199749997577,stand+LFDA+kNN,gaussians
18,,8,1,weighted,0.98,0.975,1.0,1.0,0.975,0.95,0.95,0.975,1.0,1.0,0.975,0.018708286933869726,0.05944249629974365,0.4563894748687744,0.01003856658935547,0.9891666666666666,0.9888888888888889,0.9888888888888889,0.9861111111111112,0.9916666666666667,0.9888888888888889,0.9888888888888889,0.9916666666666667,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.0014958791130929125,stand+LFDA+kNN,gaussians
19,,8,1,orthonormalized,0.9875,1.0,1.0,1.0,1.0,0.975,0.925,0.975,1.0,1.0,1.0,0.02304886114323221,0.06257104873657227,0.47096712589263917,0.010875248908996582,0.9919444444444444,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.002307395517477235,stand+LFDA+kNN,gaussians
20,,8,2,weighted,0.985,0.975,1.0,1.0,0.975,0.975,0.95,0.975,1.0,1.0,1.0,0.016583123951777013,0.06569960117340087,0.49912941455841064,0.011601829528808593,0.9897222222222222,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.0012729376930432845,stand+LFDA+kNN,gaussians
21,,8,2,orthonormalized,0.9875,1.0,1.0,1.0,1.0,0.975,0.925,0.975,1.0,1.0,1.0,0.02304886114323221,0.0688281536102295,0.5298027515411377,0.012441802024841308,0.9919444444444444,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.002307395517477235,stand+LFDA+kNN,gaussians
22,,8,3,weighted,0.9825,0.975,1.0,1.0,0.975,0.95,0.95,0.975,1.0,1.0,1.0,0.019525624189766652,0.0719567060470581,0.5609610319137573,0.013318729400634766,0.9908333333333333,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9916666666666667,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.0017786456215091184,stand+LFDA+kNN,gaussians
23,,8,3,orthonormalized,0.9875,1.0,1.0,1.0,1.0,0.975,0.925,0.975,1.0,1.0,1.0,0.02304886114323221,0.07508525848388672,0.583492660522461,0.014161443710327149,0.9919444444444444,0.9944444444444445,0.9888888888888889,0.9916666666666667,0.9888888888888889,0.9944444444444445,0.9944444444444445,0.9916666666666667,0.9944444444444445,0.9916666666666667,0.9888888888888889,0.002307395517477235,stand+LFDA+kNN,gaussians
24,,16,1,weighted,0.9825,0.975,1.0,1.0,0.975,0.95,0.95,0.975,1.0,1.0,1.0,0.019525624189766652,0.07821381092071533,0.6022626399993897,0.01501309871673584,0.9886111111111111,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9861111111111112,0.9888888888888889,0.9888888888888889,0.9916666666666667,0.9861111111111112,0.9861111111111112,0.9916666666666667,0.0019444444444444374,stand+LFDA+kNN,gaussians
25,,16,1,orthonormalized,0.9925,1.0,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,0.01145643923738961,0.08134236335754394,0.6168402910232544,0.015837478637695312,0.9944444444444445,0.9888888888888889,0.9944444444444445,1.0,0.9944444444444445,1.0,0.9916666666666667,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.0035136418446315197,stand+LFDA+kNN,gaussians
26,,16,2,weighted,0.985,0.975,1.0,1.0,0.975,0.975,0.95,0.975,1.0,1.0,1.0,0.016583123951777013,0.08447091579437256,0.6450025796890259,0.016630959510803223,0.9894444444444445,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.9916666666666667,0.9861111111111112,0.9861111111111112,0.9916666666666667,0.002078698548207738,stand+LFDA+kNN,gaussians
27,,16,2,orthonormalized,0.9925,1.0,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,0.01145643923738961,0.08759946823120117,0.675675916671753,0.017128396034240722,0.9944444444444445,0.9888888888888889,0.9944444444444445,1.0,0.9944444444444445,1.0,0.9916666666666667,0.9972222222222222,0.9944444444444445,0.9916666666666667,0.9916666666666667,0.0035136418446315197,stand+LFDA+kNN,gaussians
28,,16,3,weighted,0.985,0.975,1.0,1.0,0.975,0.975,0.95,0.975,1.0,1.0,1.0,0.016583123951777013,0.09072802066802979,0.7068341970443726,0.01757495403289795,0.99,0.9916666666666667,0.9916666666666667,0.9888888888888889,0.9916666666666667,0.9888888888888889,0.9888888888888889,0.9916666666666667,0.9888888888888889,0.9861111111111112,0.9916666666666667,0.0018425693279752156,stand+LFDA+kNN,gaussians
