,error,knn__n_neighbors,lmnn__k,lmnn__learn_rate,lmnn__max_iter,lmnn__regularization,mean,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,1,1e-07,50,0.1,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.0037122011184692384,0.3043974876403809,0.0015534400939941407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
1,,1,1,1e-07,50,0.5,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.007424402236938477,0.5045151948928833,0.0029173374176025392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
2,,1,1,1e-07,50,0.9,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.011136603355407716,0.7055822134017944,0.004264974594116211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
3,,1,1,1e-07,250,0.1,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.014848804473876953,1.1071500778198242,0.005608177185058594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
4,,1,1,1e-07,250,0.5,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.01856100559234619,1.572739315032959,0.006952619552612305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
5,,1,1,1e-07,250,0.9,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.02227320671081543,1.6674044847488403,0.008303689956665038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
6,,1,1,1e-07,500,0.1,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.025985407829284667,2.2334789752960207,0.009659314155578613,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
7,,1,1,1e-07,500,0.5,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.029697608947753907,2.8194411754608155,0.011001157760620116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
8,,1,1,1e-07,500,0.9,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.03340981006622314,2.9169946670532227,0.012336921691894532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
9,,1,1,1e-07,1000,0.1,0.9875,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,0.975,0.012500000000000011,0.03712201118469238,3.7719022274017333,0.013677573204040528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
10,,1,1,1e-07,1000,0.5,0.995,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.975,0.010000000000000009,0.04083421230316162,4.753554916381836,0.015010643005371093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
11,,1,1,1e-07,1000,0.9,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.04454641342163086,4.849461221694947,0.01634988784790039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
12,,1,2,1e-07,50,0.1,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.048258614540100095,5.0264017343521115,0.017682766914367674,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
13,,1,2,1e-07,50,0.5,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.051970815658569335,5.227591204643249,0.01903047561645508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
14,,1,2,1e-07,50,0.9,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.055683016777038574,5.4186460971832275,0.020382118225097657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
15,,1,2,1e-07,250,0.1,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.059395217895507814,5.932644271850586,0.021721529960632324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
16,,1,2,1e-07,250,0.5,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.06310741901397705,6.478926062583923,0.023056721687316893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
17,,1,2,1e-07,250,0.9,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.06681962013244629,7.027883505821228,0.024392080307006837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
18,,1,2,1e-07,500,0.1,0.9825,1.0,0.975,1.0,0.95,0.975,0.975,1.0,1.0,1.0,0.95,0.019525624189766652,0.07053182125091553,7.8907599449157715,0.025729656219482422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
19,,1,2,1e-07,500,0.5,0.9825,1.0,0.975,1.0,0.95,0.975,0.975,1.0,1.0,1.0,0.95,0.019525624189766652,0.07424402236938477,8.764092993736266,0.027066731452941896,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
20,,1,2,1e-07,500,0.9,0.985,1.0,0.975,1.0,0.95,0.975,0.975,1.0,1.0,1.0,0.975,0.016583123951777013,0.077956223487854,9.6324298620224,0.027645683288574217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
21,,1,2,1e-07,1000,0.1,0.9925,1.0,0.975,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.975,0.01145643923738961,0.08166842460632324,10.908771109580993,0.02822134494781494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
22,,1,2,1e-07,1000,0.5,0.99,1.0,0.975,1.0,1.0,0.975,1.0,1.0,1.0,1.0,0.95,0.016583123951777013,0.08538062572479248,12.008272957801818,0.02879786491394043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
23,,1,2,1e-07,1000,0.9,0.99,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.012247448713915901,0.08909282684326172,13.366688799858093,0.029373669624328615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
24,,1,4,1e-07,50,0.1,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.09280502796173096,13.583649277687073,0.029951930046081543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
25,,1,4,1e-07,50,0.5,0.99,1.0,0.975,1.0,0.975,0.975,0.975,1.0,1.0,1.0,1.0,0.012247448713915901,0.09651722908020019,13.799169921875,0.030534744262695312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+LMNN+kNN,gaussians
