,error,knn__n_neighbors,mean,nca__learn_rate,nca__max_iter,score1,score10,score2,score3,score4,score5,score6,score7,score8,score9,std,time1,time2,time3,train_mean,train_score1,train_score10,train_score2,train_score3,train_score4,train_score5,train_score6,train_score7,train_score8,train_score9,train_std,technique,dataset
0,,1,0.99,0.1,50,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.012247448713915901,0.0049591541290283205,3.2495758056640627,0.0015215396881103516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,gaussians
1,,1,0.9925,0.1,250,1.0,1.0,1.0,1.0,0.975,1.0,0.975,1.0,1.0,0.975,0.01145643923738961,0.009918308258056641,17.817617559432982,0.002883648872375488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,gaussians
2,,1,0.9875,0.1,500,1.0,1.0,1.0,1.0,0.95,0.975,0.975,1.0,1.0,0.975,0.016770509831248438,0.01487746238708496,46.707438826560974,0.004230046272277832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,gaussians
3,,1,0.985,0.1,1000,1.0,1.0,1.0,1.0,0.95,0.95,0.975,1.0,1.0,0.975,0.020000000000000018,0.019836616516113282,104.51149311065674,0.005573368072509766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,gaussians
4,,1,0.99,0.01,50,1.0,1.0,1.0,1.0,0.975,0.975,0.975,1.0,1.0,0.975,0.012247448713915901,0.0247957706451416,107.41918263435363,0.006901955604553223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,gaussians
5,,1,0.9925,0.01,250,1.0,1.0,1.0,1.0,0.975,1.0,0.975,1.0,1.0,0.975,0.01145643923738961,0.02975492477416992,121.89259583950043,0.008237600326538086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,gaussians
6,,1,0.9875,0.01,500,1.0,1.0,1.0,1.0,0.95,0.975,0.975,1.0,1.0,0.975,0.016770509831248438,0.03471407890319824,150.8279637813568,0.009557723999023438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,gaussians
7,,1,0.985,0.01,1000,1.0,1.0,1.0,1.0,0.95,0.95,0.975,1.0,1.0,0.975,0.020000000000000018,0.039673233032226564,208.37104487419128,0.010881733894348145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,stand+NCA+kNN,gaussians
8,,2,0.9925,0.1,50,1.0,1.0,1.0,1.0,1.0,0.975,0.975,1.0,1.0,0.975,0.01145643923738961,0.04463238716125488,211.62062067985534,0.012184596061706543,0.9975,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.0008333333333333305,stand+NCA+kNN,gaussians
9,,2,0.9925,0.1,250,1.0,1.0,1.0,1.0,1.0,0.975,0.975,1.0,1.0,0.975,0.01145643923738961,0.0495915412902832,226.18866243362427,0.01347804069519043,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,0.9972222222222222,1.0,0.9972222222222222,0.9972222222222222,0.9944444444444445,0.0012422599874998786,stand+NCA+kNN,gaussians
